[00:00.000] 郭先生打电话没人接，连平时分值的发展什么的23900
[00:05.980] 打两瓶。
[00:07.820] 再打两遍没人接片网页上驾驶本和身份证拿了吗？
[00:13.250] 能给我一个。
[00:14.450] 画家也
[00:16.160] 多给点钱，谁还款？
[00:19.370] 反正就这么说，之前买这车300钱303,000点都能买的，
[00:25.470] 将假设还行。
[00:27.300] 您的手机号是139101089108对。
[00:31.870] 对零小时。
[00:33.520] 了，他为了我车开的可能。
[00:37.670] 的用户也不行。
[00:39.250] 这两天这车一下就上来了，一一天进厂得100 150台车，
[00:45.510] 我说一个月9:30到晚上交期，现在应该在。
[00:50.060] 9点多到现在到我这10分钟，
[00:52.510] 虽说有时间就接不了是吗？不知道。
[00:57.060] 您给您约的那个时候隔壁桌师傅勾A2453是吧？马上。
[01:02.200] 的车辆里边算是配置比较高了，一共60米。
[01:05.870] 反正我就说你这220豪华型基本上就是能买到车里边的最高配，没有。
[01:12.970] 2015年买车。
[01:18.150] 有时候签字吗？
[01:19.880] 不用了我直接送去了。
[01:21.930] 等会
[01:23.720] 11:30还是11:30就是三
[01:26.240] 二。
[01:27.080] 后边到几点。
[01:29.760] 公里数现在是10万以上到10点。
[01:32.720] 100872
[01:35.030] 11:30到
[01:37.720] 五。
[01:38.480] 您先说好，这不用了。
[01:40.140] 刚才楼长分了，待会儿
[01:42.350] 笑着说怎么不听话了？对。
[01:45.620] 依据快乐焦点。
[01:48.250] 还是用别的我这没啥事儿。
[01:51.280] 刹车。
[01:53.020] 输掉了。
[01:54.560] 过上了。
[01:57.440] 外观上画了不少伤了。
[02:01.270] 没那么多张。
[02:03.520] 说
[02:04.620] 关系。
[02:05.630] 我这看您这车这一圈都快给它画上了。
[02:08.610] 咱是不让休息等一下，哪有这样的，还有给别人看名字开门送。
[02:15.300] 给您留个回去看看，外观要是打算喷漆，您先交1500块钱。
[02:20.610] 赚1000块。
[02:21.380] 钱部分园长那边要三三明天谁知
[02:26.510] 谁知
[02:28.510] 我这来这了不知道带你出去。
[02:34.130] 212168. 
[02:36.160] 2 pm 2. 
[02:37.220] 1 A 162021. 
[02:40.540] 要求。
[02:42.610] 专车排水口。
[02:44.710] 讲一般市区的话有必要的话
[02:50.510] 条1500行没问题。
[02:53.510] 您交了1500，您判断气候给您2500。
[02:57.830] 是越的保养是吧？
[02:59.470] 对。
[03:01.230] 右前半轴防尘套。
[03:05.200] 我想
[03:06.320] 好像有点差在进一步完善。
[03:11.410] 上回的保养备注是右前半轴的防尘套坏了。
[03:15.390] 要办就连半轴还没换。
[03:19.000] 是不是联办楼？
[03:20.840] 那就往出甩油。
[03:24.210] 对。
[03:25.420] 光环这不给换了。
[03:30.000] 也没必要。
[03:32.690] 但是。
[03:36.830] 问题就是彻底坏了，可能连前面
[03:40.070] 长舒气也换了。
[03:42.180] 轮胎换过吗？轮胎。
[03:45.000] 换了没换过。
[03:46.830] 也没有了。
[03:49.450] 10万公里外观。
[03:51.690] 大。
[03:58.080] 还有一个地方。
[04:04.360] 基础的B宝是不花钱的，上回交过了。
[04:08.660] 前刹车片、刹车盘都换了，机油、机滤、空滤、
[04:15.540] 去年4月份空调滤芯
[04:17.580] 小电瓶也影响下等红灯熄火的不好使的。
[04:24.850] 那就没有了，估计电瓶没电了。
[04:28.380] 主要是大电瓶。
[04:31.680] 好的就行。
[04:33.470] 小电瓶无所谓。
[04:35.340] 有一个矛盾他不什么exo是吧？
[04:40.880] 一艘B飞O。
[04:44.320] 但不影响别人。
[04:48.100] 以前不是等红灯一踩刹车他就灭了，一开始。
[04:52.260] 现在没有。
[04:53.950] 对，灭不了车了，开始灭。
[04:56.420] 了，没有两秒的灯光就走了，这回没反应。
[05:00.870] 已经给您提示了是。
[05:03.020] 完了就没提是那店也没提这个。
[05:06.790] 没有提示说辅助电池故障或者什么的。
[05:10.090] 先甭管了。
[05:11.660] 这个有点怪，
[05:14.700] 提示什么你知道吧？靠制动灯。
[05:18.180] 您这主要是。
[05:20.940] 这车型得换整个尾灯。
[05:24.410] 这不是换灯泡的事了。
[05:29.020] 可是他着，所以有时候不想换。
[05:31.360] 不管他。
[05:33.140] 什么电车？
[05:34.370] 你车21年过年
[05:37.450] 半年时间就直接给你月份，
[05:41.360] 然后验车他要找他也看不出来。
[05:45.500] 不是验车您。
[05:47.930] 那不提示不算一过程灯光。
[05:51.510] 那就不知道你不知道他能算不算您过程体验灯光肯定没问题。
[05:56.090] 对。
[05:57.000] 好。
[06:00.170] 玩天窗的。
[06:01.580] 是没得做了吧？
[06:03.850] 可以。
[06:05.390] 发动机、机舱、
[06:11.310] 啥也没画，这上车有啥都不用换了。
[06:16.920] 说。
[06:17.740] 就拉出去，咱们竖起来。
[06:19.910] 打
[06:21.400] 的。
[06:26.340] 6
[06:31.870] 的。
[06:36.680] 的。
[06:38.100] 212。
[06:39.360] 的。
[06:40.420] 不是您这车伏电池在仪表台里面。
[06:45.170] 捂住电池辅助电池一在仪表台里边
[06:48.320] 就这么大点，一个小面包似的一个。
[06:50.960] 后备箱不是在和平，这是老款的车型。
[06:56.110] 那些话还得开什么？
[06:59.070] 这张交钱的空调滤芯。
[07:01.610] 清洁天窗的排水槽。
[07:03.960] 还有前面的水箱这张是不交钱的，这是上回教过的。
[07:07.260] 机油机滤空滤
[07:08.810] 没用。
[07:10.300] 1000 1000多块钱，千5 1500。
[07:14.750] 时间大概可能再加上中午吃饭三小时块，现在10:30我先把材料给您发了。
[07:21.540] 要不如果这9:20就进来。
[07:25.800] 押回宁埠约再早点来。
[07:27.670] 是吧？再早点，我今天是预约。
[07:30.660] 不是下回你不预约了，3:30你就到这。
[07:34.190] 行我就说了你这。
[07:36.970] 你在在家等到9:00吃早饭了，没事干，你非得等这时间不用等那时间。
[07:41.940] 8:30你8:30您直接我想着一个人到这肯定这车就能进去了，这个点8:30来就肯定能进去了。
[07:49.210] 我就认为既然是预约了预约了几点，我还紧着喊着这点，
[07:55.430] 早了我说人家没完事。
[07:57.360] 您说这会儿满院载着车停车的话没了原来。
[08:00.190] 五环以外的店行了。
[08:02.130] 还有
[08:04.640] 他预约这块怎么跟什么区别？
[08:08.300] 比直接来的做保养了，稍微靠前一点，但您这全都是预约，前面您比如说了10:00 9:00约，还正干着您这来，
[08:17.810] 也没戏，签个字那就
[08:20.500] 我就走出我再给您清单，咱们带走的。
[08:23.360] 您就牵着一个月的那张不交钱不用签。
[08:26.490] 让人。
[08:28.160] 搁那车上还有要拿东西吗？
[08:29.660] 我把那手机微信打开，把餐券给您发了。
[08:32.610] 找找找地吃饭，
[08:34.220] 待会等到11:30再过一小时，然后吃饭就行了。
[08:38.440] 抓哪个？
[08:39.960] 手机微信，然后通讯录，第二个通讯录上面公众号I百得利集团还有吗？
[08:47.490] 百得利集团。
[08:52.430] 没有你家号还得加一个。
[08:54.790] 三
[08:56.760] 百百得利集团
[08:58.240] 的
[09:06.110] 坏。
[09:08.120] OK. 
[09:12.280] 关注右下角我的
[09:16.480] 上面打您手机号登录，
[09:19.690] 上面。
[09:23.170] 谁知。
[09:32.370] 南方。
[09:35.090] 老化了。
[09:46.410] 要。
[09:47.360] 回头中午吃完饭要是嫌这老蹦信息麻烦您就只给他删了就行。
[09:52.470] 了。
[09:54.520] 因为你要不能我这中午吃饭的餐券都没法给您。
[10:00.200] 在本文内容注册了
[10:04.970] 调查这还小圆点。
[10:12.770] 慢慢不用了，等会我跟他问了一遍
[10:16.980] 了。
[10:24.540] 了。
[10:26.780] 是四季，
[10:32.270] 没看你稍微绷会，甭管这边一会儿这一会儿走走过去就行了。
[10:37.760] 抽风了。
[10:59.390] 要出去我这了，我这有了。您一位还是几位？
[11:03.380] 一一位。
[11:04.800] 您不用我这都有了，你把这退了，重新来一遍。
[11:09.450] 我这能搜出来。
[11:11.110] 这奇怪的餐具。
[11:13.620] 截个图。
[11:16.780] 到时候您从照片里面找找。
[11:18.720] 就把这退了就行了，那照片就对照片扫就行。
[11:23.140] 照片好找。
[11:24.620] 他们。
[11:26.370] 活着就没事了，把这些会你完事洗完车以后给您打电话。
[11:29.850] 话没有汽车站
[11:31.590] 了。
[11:32.400] 不用那车留着的给您取车，让车不留着，咱一会完事就不用给他了，完事我给您打清单。
[11:38.510] 我就先不用。
[11:40.780] 您就多就不用急着下决定，知道怎么回事就行，打算分就行。
[11:45.490] 谢谢。
[11:46.430] 没事搁进里边二楼或者销售那边的都有在那喝水的。
[11:50.620] 谁知
[11:53.000] 你这个人。
[11:55.640] 老村口的没接着。
[12:04.600] 场、
[12:06.890] 坏
[12:10.670] 花
[12:20.220] Nasa，
[12:25.640] 玩。
[12:29.120] 说他妈不话没事，画完了以后
[12:31.450] 相当厉害，谁知一就挖出来。
[12:39.070] 没有农业还是不灵了。
[12:46.790] 好。
[12:47.890] 他卖布鞋车型一
[12:49.860] 一分买了一两百。
[12:53.200] 他这怎么的？
[12:56.310] tmdV6的
[12:58.920] 320。
[13:00.240] 0。
[13:02.970] 7000多，我要钱别的
[13:07.870] 就算了，搁这了。
[13:11.310] 328我他妈以为200。
[13:15.070] 少了。
[13:19.480] 我给你200头。
[13:21.500] 我就光看122。
[13:24.030] 22tmd一两百的。
[13:27.390] 报少了，320还能
[13:29.850] 还能再多来点。
[13:32.240] 上班了。
[13:33.140] 有时候在找着了，没看车型，我连车都没看给我的单子一看这公里数。
[13:38.730] 得了就知道了，把书下来估计把晒字
[13:46.270] 原来这老头开的是32，
[13:53.020] 了
[14:01.920] 快。
[14:05.070] 远
[14:06.860] 的。
[14:08.970] 还有好多家吗？
