[00:01.310] 然后交到客户刚开始。
[00:03.680] 是马宋君。
[00:19.670] 不是。
[00:29.410] hello。
[00:30.960] 我拿个钥匙来看眼科去。
[00:38.390] 739152
[00:40.340] 上面
[00:42.320] 不和他们签了。
[00:45.400] 分开了原汁原味。
[00:47.080] 我不想登在一起。
[00:49.200] 走吧咱这边。
[01:32.680] 看演出。
[01:35.450] 10公里在这弄得。
[01:37.290] 这10公里，然后看一下底盘号，这是台长的车吗？不是。
[01:43.550] 这是咱们新的车。
[01:46.790] 你看这地方二怎么
[01:50.290] 739152。
[01:51.890] 对咱们订购的
[01:53.650] 等于
[01:54.730] 70952。
[01:59.090] 73910。
[02:02.410] 然后开演生产日期，
[02:04.260] 剩下其他的就是您来了。
[02:06.680] 看一下车辆外观内饰了。
[02:09.600] 2020年6月份生产的，
[02:12.390] 27月份刚到店。
[02:15.090] 行了，你说那价车辆外观。
[02:32.920] 然后一会我跟你说一下，就交流专员，
[02:35.600] 以后你确认完车辆以后，一会儿你交款项目咱们都介绍完了，基本上你说你帮我签字，合伙打了，咱们这边感兴趣。
[02:42.830] 行，然后一会就销售员跟你讲，说开通革命，
[02:45.720] 差不多一个多小时两小时就完事儿了。
[03:47.080] 同样有在这里吗？
[03:50.080] 同样有沉香，
[03:54.930] 大哥，
[03:57.520] 城乡有成像有。
[04:02.180] 没回我，你有他电话吗？你给他打电话没？
[04:04.720] 电话我怪汽车的一辆车拉到3000了。
[04:09.200] 在这边。
[04:10.720] 你这个电话是
[04:12.840] 180
[04:18.390] 1801021
[04:20.950] 0210197。
[04:23.120] 01978
[04:25.440] 1801021019。
[04:31.510] 对的，然后指标出来了，到时候您给我个电子版的，然后你把那登记证书的一二页，
[04:38.090] 还有三四页都拍照片发原图给我一下就行，还有过户票也是拍照片发原图，谢谢。
[04:47.900] 我说他说是
[04:49.590] 他是北京
[04:51.800] 刚才
[04:52.880] 谁知
[04:55.400] 我在咱们门口。
[05:01.390] 行，他没跟我说后来了。
[05:03.330] 行没问题。
[05:04.310] 没问题。
[05:05.540] 找到那办手续，
[05:13.390] 咱得从这进去
[05:15.210] 喝点水不？
[05:18.450] 我不用。
[05:22.090] 还是进不去？
[05:23.800] 前厅。
[05:28.290] 前厅谁在帮开个门，谢谢。
[05:45.250] 得下午一两点钟了。
[05:46.950] 得下午1点了，1点就结束，因为你
[05:50.560] 这个点我试试办临牌，还得把那排11:30他那休息，12:30上班，
[05:56.740] 争取12:30去办理，
[05:58.310] 然后一点几差不多你走就OK了，那不能。
[06:01.960] 他11:30睡吗？倒是一般30排量半天办不了是吗？
[06:06.100] 我估计应该选咱们一会儿。
[06:08.430] 我尽量我看能不能达到。
[06:11.550] 有人来了。
[06:15.040] 了，您这边看到您。
[06:16.840] 对。
[06:18.000] 还需要我给你
[06:40.970] 没事简单。
[06:42.430] 近两个我给你，你下午是不是还得上班去？
[06:49.820] 身份证拿着。
[06:51.090] 我的身份证您的身份证，然后车主的身份证都给我用一下。
[06:58.730] 7月24号就在。
[07:00.920] 没有在这帮我签个女生。
[07:03.590] 知道。
[07:05.470] 为什么？
[07:06.180] 这还是一样的，合同确认完了，我把合同给你打过去看眼睛我就行。
[07:12.760] 您是一
[07:15.980] 好，有一个资源他我的
[07:20.550] 说完原告。
[07:29.490] 对。
[07:55.350] 你说我
[07:56.270] 跟陈主任联系，然后我说没事谢谢不用了，我这边真的有事，现在在忙。
[08:03.050] 好好行没问题。
[08:06.870] 你清远那边你还需要信心的，但是我没你这个是什么人寿我也没弄过。
[08:14.750] 那个不应该
[08:19.180] 需不需要4还在处理，行行，你说需要我确认什么？
[08:26.870] 王尚、王少普、
[08:31.930] 王少普。
[08:35.760] 28. 
[08:40.510] 海淀
[08:48.290] 这上面
[08:50.030] 不是还有啥问题吗？不是确认完就完事了吗？
[09:00.190] 4月29阳历4月29。
[09:08.150] 再见。
[10:01.960] 还得干啥？签合同。
[10:07.400] 我去
[10:08.680] 就不用。
[10:12.480] 就算一下
[10:13.810] 这颜色的演播室。
[10:16.020] 客场对。
[10:17.900] 多少视频开了？
[10:20.440] 说给帮我签完了。
[10:22.940] 签完了。
[10:27.590] 还是一样，你手机里有文件赵马。
[10:29.890] 电码。
[10:37.950] 对，他里边不带什么灭火器那些什么，回头一会我交车礼包
[10:43.440] 就给你了，32327023。
[10:46.860] 3270237023，我看脚垫后备箱垫还没放进去，对，都没给您做，因为开完发票
[10:55.800] 时间
[10:57.630] 开完发票以后给你讲完车，他们就把交通费元就把车就放在那边了。
[11:08.630] 这么长时间。
[11:09.920] 没事，我打几电话就行了。
[12:21.000] 了
[12:21.960] 了。
[12:23.580] 你负责我去
[12:26.920] 还有如果群里看看
[12:28.690] 我们忙好位置看。
[13:00.010] 他还是一个保持男的
[13:01.520] 说更广一点，报太短，就前面这种是吧？
[13:05.800] 对，有点
[13:07.540] 那种。
[13:08.520] 还行。
[13:11.140] 辛苦你。
[13:12.330] 想
