[00:03.280] 你要自个卖住房补贴就没有了，
[00:06.760] 自己卖就没有置换补贴，8置换补贴都是以上加价，
[00:11.640] 置换补贴都是需要店内置换费，
[00:19.450] 这是厂家要求没办法。
[00:22.340] 到时您驾您那别克不是给您估过吗？就大概给您估计一会被
[00:32.200] 实行网上的给的价都高，
[00:35.800] 但实际成交到不了那个价格，
[00:43.480] 人标多少事，人家是您这车最好的状态能卖到这个钱，但实际人家
[00:49.130] 他们要去现场再去测您的车，
[00:57.470] 您看他怎么跟您说，您是直接把比如说他给您这5万，您是直接一次性给我5万，还是给我签给我一个预付款？
[01:05.970] 还要先给你个预付款，肯定是到不了这个价格。
[01:12.210] 那就肯定他要是想把它复能给您，您就综合算一下，他北京合适你就卖他。
[01:20.950] 再买，对车到现在在弄，其实还建议车到了之后你在处理您的，就是说
[01:28.000] 有什么厦门猪没车开，
[01:33.720] 价格到时候您把您10周开过来，我们您做一个拍卖。
[01:37.980] 您那车上没拍卖过吗？大概报一下吗？
[01:44.480] 我们也是走网站的拍卖，其实那个圈子很小，买您的车买来买去就这几个经销商。
[01:52.580] 都是一个人，对。
[01:56.070] 你刚才的
[01:57.520] 来了哪有豪车之道？
[02:00.620] 我哪有。
[02:02.330] 你这样比较车主要就一台，然后你这边定好可以
[02:09.610] 尽快过来先做一个订单什么的合适一些。
[02:14.130] 然后
[02:18.170] 您要说想要现在的价格也没有问题。
[02:21.680] 就是说我现在
[02:25.490] 现在E级车基本上优惠浮动也就是这样了，上下不动不了太多
[02:31.410] 了，车这东西没有，您想象中过一段时间会便宜很多，不会。
[02:41.560] 但说实话现在E级车价格是目前密集上市到现在最低的，因为感觉疫情这基金
[02:49.250] 生意不好做，所以他给的价格都比较低，
[02:55.640] 年底属于反弹高峰，年底基本上已利润把利润为主，
[03:01.170] 前期都是先补助的，
[03:04.180] 我们前期都是赔钱保住走，后边都是保量性一点利润。
[03:09.260] 姓什么？
[03:10.880] 没姓我必须这样说话，反正现在您再说您年底换成您旧车有没有折旧对
[03:17.170] 不对？您李万里怎么算下来您都不合适。
[03:22.590] 您不是现在买还能开始
[03:29.830] 快的话，我看那时候8月12号增长快的话，8月底应该能到。
[03:35.520] 因为他一妆他要这个车咱亦庄生产的，他要是给您
[03:40.790] 按它正常的生产周期12号去您生产一周左右的车是能生产出来的。
[03:46.530] 您在哪里？北京吗？北京门头。
[03:49.100] 养老，蔡先生改革本车昨天什么位置？谁知？
[03:55.120] 28跟观察对
[03:58.240] 这个车
[04:00.560] 他就是临时会有，因为颜色不是主流颜色，你要碰一台颜色得重新开一条线。
[04:07.350] 对，他会有一批车喷绘生产一批颜色，但是分给我们店里就一台，
[04:14.110] 这种车就分给别的店也越多。
[04:17.840] 基本上都会是一台左右。
[04:21.970] 好的好了。
[04:24.380] 来的话咱电话联系好，好吧，打扰我们。
[04:29.190] 再见。
[04:32.350] 没了。
[04:33.340] 您这边
[04:43.910] 星辰应收张您。
[04:46.190] 好了，我打电话。
