[00:02.800] 你好。
[00:04.060] 你打给我打电话，您好张女士打扰一下，我是北京百得利奔驰。
[00:10.560] 我这边之前给您您来我们店里看过。
[00:13.400] 车。
[00:13.940] 假如C过，您这还考虑吗？
[00:16.110] 考虑着。
[00:23.440] 我是在别的店找了一个朋友，就是跟别的店买，但是
[00:29.480] 他给的价格确实便宜，我不知道你那能不能给他，但是买的过程中都在协和做，然后我家里边
[00:37.760] 做点事儿就看都快了，然后。
[00:41.950] 然后当天说累就没买了，然后回去然后我朋友就跟我说这意思。
[00:49.060] 我让你买了我了吗？
[00:51.050] 了。
[00:51.820] 买什么买宝马。
[00:54.080] 不是，
[00:55.280] 我看我这卖因为过了一个月了，我也不要开车，那个是5月
[01:01.080] 5月29号，反正5月底的时候我就去先给合同了，然后那天我
[01:06.910] 乐乐那个事儿，然后他们不让我找去了，让yy车。
[01:11.270] 了。
[01:11.780] 然后我就到现在了，我也
[01:14.050] 我也没看上别的车，我也是。
[01:17.350] 说了，然后他们就说说
[01:22.520] 说你要为了买这个车，
[01:25.990] 别的店买了都得换个店买，
[01:29.230] 然后我说你就再换店买，然后再换个时间买之后，然后我就这两天我就这不是7月份了，然后我就问了问
[01:42.430] 没给领导打电话说因为之前有加我微信的就是别的电，我就
[01:49.190] 问老板那些店的，我说商量来怎么能给优惠大的那种，然后
[01:58.930] 但是还是有差距的，我心里就有点觉得
[02:04.320] 不合适了是吧？
[02:05.720] 对，你想明明比如说您60块钱能买东西，你现在这样，到时我
[02:13.490] 我姐姐咱别我去买东西不去也是，因为这个价钱其他店可能给不了。
[02:30.170] 大概差不多没什么太大的。
[02:35.160] 行，我也看给您关注，如果说您有活动您还没有买，我再跟您联系。
[02:40.510] 记一下好吧？
[02:42.690] 有问题，你想为什么要集中的料，没有有的什么内容防范月我的长大，
[02:54.500] 要是能卖也等等，怎么说
[03:07.870] 电话。
[03:09.430] 然后。
[03:13.200] 的。
[03:13.730] 是不是你们就的非常的还是要行行，好。
[03:26.270] 没问题，好的，好没来了，刚才。
[03:33.970] 你说了没有之外，
[03:38.020] 主要说明问题。
[03:43.450] 资本不便成为世界汽车工业领域不可实现的共性的
[03:55.920] 媒体自己受到
[03:57.680] 心脏微创新实施的，但是三盈利经中心的地方最好，
[04:06.820] 这样的到外地民营经济的
[04:09.600] 应该是民主
[04:11.410] 始终存在的发展的同性，谁知
[04:16.330] 这字甚至成为技术行业开展
[04:19.640] 能够履行相应的关键词，而这一切公民基于技术太阳的伟大工匠精神，
[04:26.800] 由他们所坚持的管理，汽车知道
[04:30.750] 是1864年围绕文化局长来的在
[04:36.790] 造出来了，比如这
[04:39.150] 我的老师
[04:40.840] 日本狮王进入前也是你把
[04:46.360] 内部规定一定其他的手机，
[04:50.820] 谁知
[04:54.280] 创出
[04:56.170] 自己
[04:57.320] 成本。
[04:59.520] 现在是
[05:01.730] 只能希望的。
[05:04.050] 的。
[05:05.320] 目前而且的现在
[05:08.160] 谁知逐渐被方面的典型形成了。
[05:13.950] 公司。
[05:14.620] 一。
