[00:01.040] 说说哪天几天了？
[00:03.000] 4月份。
[01:36.910] 行只能先等等。
[02:12.300] 来了。
[02:26.520] 那个指标还没给到，我应该没出来现在多少人。
[02:32.870] 经验。
[02:34.870] 不过好。
[02:38.760] 流行文化。
[02:44.720] 我就给发工资。
[02:47.090] 那个专业出来的应该是关注二。
[02:52.220] 干嘛的亮点查一下。
[02:59.870] 还记得。
[03:02.890] 到时候你们来官方
[03:10.520] 不要那么半个月吗？
[03:13.730] 对，1515天都占。
[03:16.340] 我知道这两天心了电工之后，这里
[03:22.930] 的厂房完整的卡号，
[03:42.350] 把这个电机我帮你这样。
[03:44.560] 接下来
[03:47.470] 车用没问题吧？
[03:49.830] 这什么问题我说
[03:55.570] 别着急，我这不方便。
[03:57.310] 心里别着急。
[04:00.020] 一会现在肯定。
[04:01.520] 一会采购了肯定我你这个东西。
[04:07.210] 好吗？
[04:08.370] 不过
[04:10.520] 没问题到时候。
[09:08.480] 好吧，别玩
[09:10.490] 场。
[09:11.270] 坏、
[09:15.050] 坏
[09:54.330] 数据
[09:55.640] 数据
[09:57.670] 场
[10:23.050] 一下。
[10:28.460] 采访。
[10:56.840] 的，
[10:58.590] 我就让小马给我标一车，
[11:02.380] 你说你的
[11:04.870] 我就让小马标一车
[11:07.200] 场。
[11:11.890] 数据。
[11:12.790] 数据、
[11:16.530] 远。
[11:18.360] 737034万订单。
[11:23.490] 数据。
[11:26.170] 37034，C260
[11:31.390] 五。
[11:37.830] 实力。
[11:40.060] 好，拜拜。
[11:42.680] 没有，我还以为绿的什么，我靠一下没了，要什么车这样。
[11:50.730] 要
[12:02.130] 还有咱们刚才我看还有一个事，
[12:06.830] 还有
[12:08.670] 刚才我看了一眼裤边那个绿的，
[12:11.660] 前两天咱们看车的时候剩四五个，刚才我一看还有俩，然后同事
[12:16.840] 定了一个还剩一个了现在。
[12:19.520] 跟你说一声。
[12:58.370] 看东周的
[13:05.530] 关东州贷款审批函吗？发一个。
[13:39.790] 我又紧张了一个
[13:41.420] 月
[13:42.350] 来了，这个平台上这边都已经今天了。
[14:02.510] 还有一个付春雨和付春雨。
[17:02.560] 上次不是说了这车没拍过吗？
[17:06.120] 嘴唇拍我没出嫁好像是。
[17:10.030] 还有我们书架，然后小韩给的。
[17:12.460] 看了一下，
[17:14.550] 一个小孩吉他的歌，我不想说了，三六号4个小时4。
[17:20.150] 小四
[17:22.800] 两周。
[17:23.800] 38走了。
[17:25.670] 不到39,000。
[17:27.150] 一。
[17:29.070] 不错，下火。
[17:33.120] 什么差不多。
[17:34.500] 马上我跟他说了，我说这次确实到不了出来，明天
[17:39.670] 你的上围已经申请了，
[17:44.800] 有的号码北京
[17:47.450] 那得能找能给他多少钱，
[17:52.010] 给他多少钱，给他1000块钱还怎么着，对应该喜欢对吧？对。
[17:58.380] 这怎么您上完其实也说过，
[18:02.020] 不是说别跟他提时间的事，您就说。
[18:05.520] 是我跟你说了咱就不说了，我说我这出错不是。
[18:09.400] 对。
[21:06.540] 是来早了，对。
[21:08.970] 这什么事儿不过
[21:13.250] 打算。
[21:16.290] 您还得什么水，稍等我一会儿。
[21:19.600] 就是车太晚了，他堵车怕晚了是吧？
[21:26.850] 行行，您还稍等了一会儿，50多点蒙古了，但是那客户了不够了。
[21:33.690] 今天我上午约两客户，
[21:37.660] 对。
[21:38.880] 所以
[21:49.000] 电脑还
[21:50.060] 窗外
[22:20.720] 你嘴巴说过一会，
[23:02.110] 数据
[23:45.910] 场、
[23:46.760] 场、场、
[23:54.210] 远。
[23:58.050] 场
[24:00.960] 场
[24:01.980] 来
[24:05.880] 场
[24:06.840] 坏
[24:13.180] 花。
[24:18.230] 句
[24:31.600] 数据
[24:37.910] 号
[24:39.400] 场
[24:41.570] 场
[24:42.650] 场
[24:46.060] 号
[24:49.020] 的。
[24:50.120] 场。
[24:54.810] 花
[24:55.940] 的
[24:57.950] 数据
[24:58.810] 数据
[25:00.990] 的
[25:15.470] 数据
[25:28.790] 场、
[25:33.850] 数据。
[25:35.660] 是对。
[25:40.970] 数据
[25:46.960] 对。
[25:50.780] SP
[25:52.530] 差不多了
[25:56.250] 的
[25:58.900] 号。
[26:02.170] 咱们中国科技在
[26:04.750] 小胖丫怎么了？
[26:07.360] 但是生活先让我们去培训，
[26:10.100] 微信聊天。
[26:11.660] 小波科技的在后边，那编号不是。
[26:16.670] 后边储运那边。
[26:19.000] 你们单独培训过。
[26:21.970] 都去那这个型号这个工程。
[26:27.540] 的
[26:29.160] 的。
[26:30.320] 的。
[26:33.920] 的
[26:35.050] 的
[26:39.210] 太
[26:42.160] 号
[26:45.890] 行。
[26:48.200] 数据
[26:49.910] 数据、
[26:50.660] 数据
[26:52.710] 的
[26:54.040] 的
[27:33.170] 前面有一个车，然后咱们
[27:38.550] 金融
[27:40.740] 体验
[27:43.560] 体验一个
[27:46.060] 目标任务，
[27:48.610] 点完了以后，
[27:49.980] 你要是感兴趣，
[27:51.720] 可以聊价格可以做，如果不感兴趣你不用说我不过去，就是不需要治疗好，就像我们这流程你咋操作一下？
[27:58.930] 先落水。
[28:00.440] 谁知
[28:02.520] 感觉就把照片
[28:06.710] 晚上
[28:09.070] 下面开始。
[28:29.320] 这边还得发短信的。
[28:31.420] 订完车订完之后再发一个。
[28:34.650] 我也不知道。
[28:37.320] 你那手机不能调日期吗？
[28:47.050] 的行，签完之后
[28:50.960] 我在后亭水等你到我的钱一个
[28:53.920] 一个合适的。
[28:55.380] 你把看东周付春雨的和同桌拿了一块钱，
[29:00.780] 不考虑你那什么手机苹果，
[29:03.920] 如果你就在那个时间和日期，
[29:06.730] 把自动时间给取消了，
[29:11.650] 刚刚
[29:15.190] 他就发短信了。
[29:19.080] 对，把短信给你师傅要一下。
[29:23.240] 订单短信是吗？
[29:25.120] 他没给过你是吧？
[29:27.490] 但是
[29:28.800] 但是往往会有机会有没有病的。
[29:34.580] 没事我给你发一个，你就把他告诉模板，你们那没事。
[29:40.070] 有
[29:41.870] 时间和日期没找着，没有。
[29:44.010] 在车里吗？
[29:45.910] 对设置。
[29:50.170] 就疼的地方。
[29:51.700] 我不当时说别傻，
[29:53.600] 我天不是吧，
[29:55.610] 但是那些标的他身上那种
[29:57.800] 通用时间和日期，你把这自动复制给你的直销，让你找到，
[30:03.370] 然后再把短信复制一下，然后你改里边仔细
[30:08.480] 哪个客户？
[30:09.990] 我那个的话他是周昨天都是晚上
[30:14.110] 6:00以后交易员，然后因为合同发生，因为看看
[30:21.590] 其实都行，你就调当天发就没毛病了。
[30:30.340] 等于还是客户是吗？
[30:32.880] 那就行就不倒了。
[30:38.440] 是他觉得没利润了。
[30:42.820] 他不是真的他没利润了，
[30:45.300] 看看他们什么都能做。
[30:47.940] 不是，等于是售后给弄的利润。
[30:52.380] 谁知。
[30:54.150] 在上面。
[30:57.570] 除了要看咱们这客户，要是我的客户我也跟他说，
[31:01.850] 我说他说上外边找外面找你，外边找你出门不管你花。
[31:07.230] 不是那谁。
[31:09.380] 远。
[31:12.330] 反正不好说。
[31:23.320] 以后后面肯定也赚了。
[32:08.140] 夏东说了吗？下东西多。
[32:13.160] 夏东收到夏冬。
[32:20.070] 要不我首台首手套吗？
[32:24.640] 夏东收到吗？夏东下楼。
[32:44.380] 然后我就在这边一起感觉。
[32:48.520] 不是你发完短信之后改回来，
[32:51.290] 然后再改回来，咱们看一眼就在那，应该就是那天。
[32:59.020] 你先签我去签。
[33:04.790] 行我再过来。
[33:06.160] 先。
[33:08.120] 不管准备，
[33:12.330] 办公中。
[33:16.920] 将康先生等会儿我这是付先生副院长，今天我现在。
[33:23.150] 客户签一个分期合同，我们大概55分钟。
[33:26.950] 吴先生您好，您听一下您的金融合同。
[33:32.670] 您有订单吗？
[33:34.950] 对。
[33:38.880] 好回去。
[33:41.160] 来我们先大概说一下。
[33:43.210] 金融合同一份
[33:45.100] 是三页，后边两页具体条款一会您可以每条都仔细阅读一下，然后我先跟您说一下您主要核对哪些
[33:51.760] 打印出来就在梅赛德斯奔驰汽车金融有限公司的公章，您主要核对这个事您当时购车时候签订的订单。
[33:59.820] 首先您的车型E300，常州运动轿车舒享版。
[34:04.800] 第300常州运动轿车书香
[34:07.540] 您的车架号后6位539769，
[34:10.960] 您的车架号539769，您的车辆实际售价优惠后424,800。
[34:17.710] 这样。
[34:18.640] 的工价
