[00:00.560] 初次阶段常女士
[00:03.230] 特别败火的女人，
[00:06.450] 电话13701370，
[00:11.250] 0，
[00:12.040] 10
[00:14.240] 二
[00:28.670] 谁知
[00:30.600] 谢谢你，电话我不至于你赶紧接客户。
[00:44.000] 您好，登记了常律师是吧？
[00:46.810] 您的销售顾问。
[00:49.110] 你这个车什么吗？产业都是电子版的车，少买实验，不是有车建成的车对吧？车看看车对面展厅有会议室，
[01:00.750] 那边都没开，我们刚才咱从楼上开始绕过去，
[01:03.720] 有事。
[01:05.380] E级轿跑车就多长？
[01:07.480] 4米9多一点。
[01:09.300] 还了
[01:10.690] 两
[01:12.980] 这个4部门是吗？这是上面这三个儿子。
[01:16.390] 咱们看的看看，
[01:24.280] 4门轿跑的无边框车门的这样的。
[01:27.240] 对，这车你觉得你用电动车，然后想起来咱们下面这个对有伤那块吗？对。
[01:36.560] 这款指导价是681,800的。
[01:39.050] 你不是有两个这的，他有一个动产，一个豪华的还是300
[01:45.090] 基础，还有一个
[01:47.530] 基本上就是300公里出来的。
[01:50.110] 他又了
[01:53.040] 他基本上就是了。
[01:57.380] 对之前的电话沟通，去过别的分区，谁知
[02:01.840] 但是这个车我们看
[02:03.670] 是吧？
[02:04.640] 您喝点什么？有茶咖啡，水生金水的水要凉的常温呢？
[02:09.540] 洋文的偿还，稍稍等，你拿着回家看看车，你刚刚说260是吗？
[02:15.970] 58万20不也是三百零三百，它分割到动感的，一个是豪华的，
[02:22.370] 然后还有一个350，
[02:24.550] 350就是四驱的配置更高，
[02:27.010] 然后咱们350也有那种特价车，
[02:29.530] 然后可以看到在后边停了下来。
[02:31.720] 谁知15万，
[02:38.670] 我就给你拿水，你再看看。
[02:52.590] 您在这等会一下。
[02:56.740] 急需整个化工。
[02:58.980] 急需没有查也行。
[03:02.120] 查一下茶水还有人没有了。
[03:06.550] 快。
[03:09.670] 谁知
[03:12.130] 就是说他的
[03:14.440] 条款不能站着。
[03:31.950] 咱那矿泉水现在没有了，因为给您拿点酸梅汤行吗？
[03:36.160] 原来坐着喝行吗？行，等一会没有咱先说说。
[03:40.370] 这个车
[03:43.710] 这个高度没问题吧，高度可以再往下调，要1米8的多少没问题，
[03:49.790] 坐后边可能费劲点，
[03:51.800] 后面因为它属于较话，我就把这事儿留下来的。
[03:55.840] 然后太高个人只能坐前面。
[04:00.150] 后面你发的你吧的。
[04:06.370] 你看人家
[04:08.120] 能够感受，
[04:09.890] 给你看看，
[04:21.020] 我也
[04:22.400] 有点谁知。
[04:24.910] 我再看看那个号牌，
[04:29.620] 这个年龄的
[04:30.900] 出一个信号。
[04:32.090] 不是刚上人家一年，
[04:33.840] 我女儿
[04:35.570] 出不了声。
[04:36.860] 那不行了。
[04:38.270] 分成一般7年还要换。
[04:44.350] 这个是吧？
[05:04.590] 在咱们注意
[05:06.050] 我挺重要，
[05:07.670] 我只用这个，但是我觉得对我不行，然后
[05:12.130] 他房子公证他
[05:15.000] 那个东西这里
[05:16.920] 你有空你看到你可以这样想，就是S另外那种
[05:21.510] 最后你说哪个？
[05:23.810] 知道。
[05:24.910] 等一会我这
[05:29.600] 重要的。
[05:30.320] 行。
[05:36.290] 6到。
[05:39.470] 一般的钱包，半岛晨报院的东西没问题。
[05:53.830] 你吧
[05:54.610] 你放了你离开了刚刚了还是了不？
[06:04.760] 太漂亮。
[06:09.990] 真是挺好看。
[06:11.960] 这是纯进口的对不对？走过场的。
[06:15.190] 对。
[06:18.550] 还能再优惠点吗？
[06:21.130] 这块。
[06:26.330] 那就是一定要看应该是看
[06:29.330] 滥用的笑话吗？上网了到1万多的时候，
[06:36.160] 要不行我不管投资100万，你看他去哪。
[06:40.440] 对，我就是说指导下，你不用看哪个等他们，我说我是个三板，我给你挂着翻译。
