[00:02.210] 内容来了，
[00:08.240] 基本熊熊，是不是他战败的客户？
[00:11.940] 不对，上次到店里20多户，
[00:33.870] 估计
[00:45.790] 你好，胡先生这边摆的跟销售顾问您这边现在还在店里吗？
[00:50.540] 想。
[00:51.800] 好的不好意思。
[00:54.290] 不知道。
[00:55.980] 怎么了，电话错误。
[00:58.130] 是186还是1什么618没有。
[01:01.300] 18611711131
[01:13.900] 为
[01:15.410] 刚才你说胡先生吗？
[01:19.630] 尾号133。
[01:22.610] 186171133。
[01:25.310] 好的。
[01:29.260] 6133是吗？
[01:30.910] 衣服来讲的话，
[01:53.960] 你写的那叫什么？
[02:38.520] 估计
[02:40.920] 你的录音都开开了。
[02:45.760] 您好，是胡先生吗？
[02:48.430] 您好，您在哪里这边销售顾问去接待您？
[02:54.050] 对。
[02:57.120] 谁知
[02:58.920] 您这边看哪款车需要什么，给您讲解73335。
[03:07.760] 好勒行，慢慢等到你回头再现在过来好吧？
[03:11.650] 好了，再见。
[03:15.210] 走了。
[03:25.600] 能走吗？
[03:27.080] 你刚才让我打了姓胡的走了，你没股份吗？没有。
[03:44.770] 这打不开。
[03:46.390] 好吧？
[03:47.880] 别人什么意思我在这里？
[03:54.570] 您好。
[03:56.280] 是王先生吗？
[04:02.890] 给
[04:15.000] 王先生是吧？
[04:17.690] 你好，销售工作还很小，是我的名片，第一次来我们店没有预约过来，行，咱这边茶水纯粹咖啡要喝点什么水？
[04:24.700] 您第一次来跟您说一下咱们使的服务公约，客户为尊以礼相待，诚信经营、合法得体，明码标价，公开透明，
[04:32.050] 配件渠道清晰，公式绝不很好销售，同时消费绝不使用甲见一次称号，然后欢迎广大消费者监督。
[04:38.080] 监督电话是4008181188，
[04:41.030] 咱们现在开的是什么车，使用感受怎么样，然后给你介绍一下新车这边现在没开车往D开车，您这边是摇号还是置换？
[04:49.430] 有现场走到旧指标是现成的，之前有看过咱们4级车，
[04:54.430] 之前没有第一次开那展车放到这款是C260L运动轿车，
[05:00.740] 您关注的是哪款呢？
[05:03.820] 您可以上市就这样是吧？这个事C写的。
[05:08.330] 260的。
[05:11.250] 现在这车价格吗？
[05:13.010] 这款车的指导价官方指导价是346,800，但是这个车目前现在又有优惠，优惠7万，优惠完之后是20
[05:20.290] 76,800。
[05:21.800] 承办签了多少？全班前31万多，32万差不多，就是说我不用贷款全款，
[05:28.620] 保险什么都有。
[05:30.870] 三十几30不到32万。
[05:33.560] 不到32万。
[05:36.040] 大概是哪个配置的？就这一款。
[05:38.740] 这车在网上就是四驱的，再往上就是C300，
[05:42.770] 这是四驱的，这是两驱的，不是在网上还有四驱的。
[05:48.520] 运动款是吧？
[05:50.710] 桌面网页比妈妈三亚
[05:54.030] 还有亨氏便宜，
[05:58.220] 可以好几万。
[06:02.000] 主要
[06:03.560] 需要什么东西？
[06:11.480] 不需要。
[06:13.380] 之后
[06:15.490] 的
[06:19.360] 防爆圈还有被的。
[06:21.720] 这没有备胎，不是防爆胎，没备胎也不对。
