[00:02.800] 稍等一下姐，我先把这桌号出来。
[00:04.980] I
[00:08.050] 平时都是您开是吧？开着有什么问题吗？
[00:11.300] 还好，我老公拍先生开，对，我们现在拍得很少了，已经今天晚上开的少了。
[00:19.660] 现在39,000。
[00:21.280] 多少？
[00:23.050] 这么多年了。
[00:30.150] 行不行？这我小车我了。
[00:36.420] 没啥问题。
[00:39.120] 那就行，然后登记的信息就留您的就行了是吧？
[00:43.350] 然后到时候电话通知您，电话里边留的13811525211。
[00:48.000] 证件号。
[00:50.540] 这证件号肯定不对。
[00:54.550] 证件号是错的，我就把证价号改过来行吗？你才会收获老公来干什么，有可能那个证件号也可能是系统同步的时候就同步错了，还有
[01:05.710] 车主做工没有。
[01:08.710] 倒没关系，车主咱们不考虑。
[01:12.670] 就把这证件号给电话留好了就行。
[01:17.920] 1580. 
[01:22.160] 这是一个，然后
[01:25.110] 048159好了，您是拿走还是放车的？
[01:32.230] 我把车登记一下。
[01:37.280] 应当是
[01:40.180] 39,000。
[01:41.060] 千2百
[01:42.310] 47。
[01:42.950] 七。
[01:44.650] 大概半箱油。
[01:46.670] 谁知。
[02:02.230] 胎有点时间长有点老化了，然后。
[02:05.320] 对，就有点裂了。
[02:07.410] 了还要化了。
[02:10.110] 前台开换了，
[02:13.560] 是吗？变动了，现在已经裂口子了，比后边裂的严重多了，
[02:19.310] 是吗？就这个位置。
[02:21.550] 这个不属于保障范围，就是自己订是吗？
[02:24.730] 还有多少钱应该能给您查一下。
[02:28.400] 我照个型号，一会我用电脑给您查一下。
[02:32.110] 好吧？
[02:32.940] 您觉得前台要。
[02:34.820] 还吗？
[02:35.890] 如果换的话。
[02:37.020] 万一块。
[02:38.160] 没有单独换过，要换了4个童话，反正最好建议就一块，因为4个全换是为啥送全换是免除任何工费，您只需要掏轮胎去
[02:47.750] 公费那4000来块钱就省了，还送你定位。
[02:50.450] 行，你们帮查一下。
[02:53.170] 还能关键还能。
[02:54.560] 送定位，
[02:55.760] 你自己做一定为3000多。
[02:58.410] 因为。
[03:00.010] 按俩他。
[03:00.620] 做定位就没有意义了。
[03:03.140] 新旧
[03:04.190] 搭配不上。
[03:07.890] 其实。
[03:08.590] 总体来说你看。
[03:12.360] 我这么一般都吃多长时间换一次？
[03:15.000] 45年。
[03:16.120] 四五年6年了。
[03:17.760] 6~85米。
[03:19.310] 6~8万。
[03:20.280] 稻米回来了。
[03:21.340] 不是四五年或者6~8公里，因为有的人开。
[03:23.950] 少有的人太多了，还不到8万。
[03:26.180] 您
[03:27.010] 一定没。
[03:27.960] 您4万公里。
[03:29.310] 但是他。
[03:30.120] 因为轮胎设计是可以理解为是一种香蕉类。
[03:33.490] 话它会老化，
[03:34.840] 像这种天气风吹日晒雨，也包括
[03:38.140] 下雪天，
[03:39.480] 到路上人们
[03:41.030] 所撒的那些。
[03:42.250] 溶血剂等等这些东西。
[03:44.180] 都会对橡胶加速它的老化形成，这就为什么他会开裂的原因。
[03:48.880] 为什么需要更换轮胎？因为如果轮胎老化以后，在夏天高温的时候，如果说它的性能弹性的失去了，
[03:59.010] 发现好，简单来说，比如速度快了，心态没事就猜，一马路牙子可能就报了，
[04:08.450] 一共是2000，因为就吹了就完了。
[04:13.420] 一般他们都是管钱，然后创意山歌白一点，你就让您上的那种看到就可以，我没有看到你帮我查一下，回去不我老了，行您知道吗？
[04:25.970] 行您直接扫我后边屏幕后边谁知也好，您中午跟广告。
[04:31.870] 行，我到时候一会我再给你查价格，我这先给您报保养的是
[04:38.750] 到这个地方开发了两个行，没问题。
[04:42.760] 好，可能还得出门，晚上过来几点您能过来估计
[04:50.730] 6点来看一下记录。
[04:53.600] 上次是你就不行，就明上午明天下午在9点以后，去年6月份红龙大道33,000，
[05:03.030] 8月份做的B类保养，财务反而实在不行这么着，
[05:08.750] 就在无形政策，
[05:10.340] 我先给您做登记
[05:14.740] 一搜，然后咱有合作的一天假，到时候弄完了，直接给你送到咱们配套
[05:20.210] 3000多给我开过去了，因为这个过程弄完之后才我家，而且有人都没有方向。
[05:27.730] 还有有人稍微一下
[05:32.440] 的。
[05:34.380] 就家里人了没有？
[05:38.140] 大家给我留一下周边的信息，还有
[05:43.820] 一个登录，
[05:59.950] 的
[06:02.280] 的。
[06:05.160] 我先把那两个圈的内容先加进去，而且咱们这次正好也是需要做A类保养，也就是基础保养就是A
[06:15.310] 然后他有券，然后还有送的叫什么车内。
[06:20.000] 对，他那叫车内雾化消毒，然后这两个项目先加进来了。
[06:24.640] 你保养什么工厂也都会去，空调是有什么问题吗现在？
[06:30.040] 因为滤芯确实一年多没晃。
[06:33.940] 算上了对应该B宝换，但是上次B保的时候并没有换。
[06:41.080] 所以
[06:42.380] 不太清楚当时是而且上次保养是在彭龙做的。
[06:47.020] 对，在另外一家店只换了一个机油机滤和空气滤芯，没有换空调滤芯。
[06:52.550] 咱们车的空调的滤清器还是
[06:57.380] 还有自己点击就可以了，我给您发一下还是17年5月份换的时间比较长，没有。
[07:05.600] 三三年了，手机号说了对17年5月份有一个记录，
[07:10.600] 相反的效果还是影响呼吸，没有影响咱们的多少
[07:17.910] 钱，我给您看一眼。
[07:20.630] 反正一般滤芯一般咱们事件一年2万公里换行为，
[07:26.130] 都是年或2万，对，因为他是那种类似于三层卢军纳米层的带弧形碳过滤的这种，
[07:33.920] 所以它的过滤效果其实就达饱和了。
[07:38.780] 您这个是俩滤芯，一大一小等于一个套餐是838块钱，
[07:43.820] 碰到利辛
[07:45.360] 21199，然后还有一个是两年需要换一下叫做刹车油的东西，也是17年的时候换过，
[07:51.760] 三密码也没换，上次B我就换机油了，有朋友来应该说，所以说上次保养是您先生去办的吗？一般的？
[08:00.580] 听清楚了，明白，那个
[08:05.120] 您可以看看跟先生沟通一下，先
[08:09.620] 个人。
[08:11.780] 杨白冰。
[08:18.750] 那个不是我先查一下，刚才没着急，我就没现场
[08:26.890] 电话。
[08:34.500] 钱
[08:40.170] 的
[08:42.080] 的
[08:43.300] 远
[08:46.450] 谁知
[08:49.920] 直接然后看看OK，资本效果跟没关系，是如果有关系的，出风量会跟滤芯有关系，
[08:59.310] 他可能出风险了，
[09:03.410] 因为就相当于是说白了它堵了
[09:07.010] 您的
[09:11.260] 车上有一些讲话，简单理解吧，就是空调滤芯就相当于是咱们带的口罩，
[09:17.170] 那么口罩戴的时间长了以后，包括咱们在呼吸过滤，它的效果肯定会特别差
[09:23.770] 的。
[09:32.190] 的。
[09:39.060] 二哥大概三四点，明天12点弄完了3点。
[09:48.570] 要点。
[09:52.980] 要不要用的
[10:01.030] 1099一条，
[10:04.720] 轮胎一共是4个的大片，
[10:08.610] 1000一条4400，
[10:10.820] 4400人工我们一起都免费，
[10:14.440] 免费就4400，您掏4400块钱，我把4条轮胎都给您换新了，然后包括平衡定位都做了，
[10:22.760] 滤芯给我换了，空调的800多，
[10:27.600] 那家一滤芯老姐
[10:29.640] 烧油。
[10:30.890] 行OK，咱就玩手机，就刹车油就是咱们踩刹车踏板其实是踩到了一个
[10:38.340] 他
[10:39.820] 就相当于采了一个开关，开关会让刹车油流到刹车片上，然后其实去给咱们做施加之中效果。
[10:50.090] 两年没有公里数要求，厂家手册上面有要求的。
[10:53.410] 两谁知而油是保养项目召回不会坏，您召回换的是减震器，
[11:03.800] 检查记事减震他不是杀你把图片发我一下轮胎
[11:07.890] 的，他看
[11:10.220] 刹车油多少？
[11:12.460] 我截图发给你，绝对发给我行吗？
[11:15.840] 茶油409。
[11:21.000] 场
[11:31.070] 我发过去了。
[11:32.680] 能收到了。
[11:35.040] 等会我去看一下前后轮是不是一个尺子。
[11:38.800] 看一下明天
[11:42.220] 不用
[11:45.080] 看。
[11:50.610] 这块
[11:55.270] 观点。
[12:01.170] 的。
[12:02.850] 话剧
[12:06.640] 场
[12:08.770] 的。
[12:11.230] 的
[12:13.060] 数据。
[12:18.910] 来。
