[00:00.570] 您的行驶本和驾照您带着。
[00:03.680] 可以拿来放进去。
[00:05.430] 没事，一会我给您过去看车。
[00:15.430] 这种检查时间会稍微长一点。
[00:17.940] 6点开始。
[00:19.190] 早上约8:30。
[00:21.210] 8:30. 
[00:21.570] 我就8:00打电话，您。
[00:23.320] 等一会。
[00:24.470] 您的车牌号多少？
[00:26.010] 对，金珠4863。
[00:29.440] 看一下我这有个8斤半，
[00:32.560] 我给您接待您是有一个召回是吧？召回保养对。
[00:38.790] 行，您稍坐一下，等我一下。
[00:41.580] 这得花多少时间？
[00:43.680] 车估计得放这。
[00:46.070] 前轴您这是一个间K的前传动轴的。
[00:49.550] 肥。
[00:49.990] 那个时间比较长。
[00:51.250] 估计得明天给您，明天
[00:55.380] 估计得明天给您。
[00:57.200] 对。
[01:03.430] 您稍等一下。
[01:06.680] 就忘了，原来不是说还有一个什么。
[01:09.630] 气囊是吧？气囊现在还没开始。
[01:13.080] 现在主要是
[01:14.630] 传动轴。
[01:16.200] 真的。
[01:17.080] 对传动轴
[01:18.520] 耗时比较长，他得把下边排气管
[01:22.170] 拆了传动轴。
[01:26.570] 在现在车间也是
[01:28.660] 这种召回也比较多，就是站时间长的。
[02:00.920] 您那车我记得我应该接着说。
[02:07.510] 您电话是对我那天应该给您打了个电话。
[02:13.520] 1360118494997。
[02:19.700] 我那天打行给您打的。
[02:22.700] 你来检查故障灯，
[02:30.830] 给您过去看一下车。
[02:37.400] 要是能住
[02:38.980] 车上有没有贵重内容也稍微
[03:02.390] 别的用着没什么事儿
[03:03.980] 了。
[03:05.040] 行。
[03:09.760] 您这车保养也都在这座的是吧？
[03:12.110] 在这喝。
[03:15.000] 把全面
[03:20.110] 现在是10万公里了，
[03:22.230] 12公斤左右。
[03:27.150] 行没事，刚才信息我查到了，没事。
[03:55.470] 您那车是有问题的。
[03:57.280] 刚才这启动这想就不正常。
[03:59.870] 这是真勤快，我还没怎么想。
[04:03.930] 这就是正式轮出问题了应该是。
[04:07.400] 这车有延保吗？
[04:09.240] 为什么？因为如果没有的我也不知道，没有这就去自费了，
[04:14.000] 以及反而的话这样的一些因素，
[04:24.830] 这就是他的
[04:26.420] 正是齿轮出问题了。
[04:33.250] 这东西不便宜，
[04:37.100] 得看一个轮还是两轮要两对，有的时候反正10 10来公里，
[04:42.300] 一般都是两个轮了，两个正式齿轮的话得
[04:46.380] 1万大几了？
[04:47.860] 什么不一样？
[04:50.830] 你回头可以查查有没有？
[04:53.570] 我先给您做检测。
[05:13.000] 到时您留我微信，有什么事我给您微信或者电话都行。
[05:17.210] 手机号就是微信。
[05:19.150] 行行你户口可以帮你一下。
[05:21.950] 新政我给您了吗？没有我不用了。
[05:26.360] 检查发动机故障灯报警启动一想。
[05:34.190] 这奔驰4万多就这么快。
[05:36.250] 这边蹭了一下。
[05:58.130] 您这车如果有外伤，现在还有划痕险吗？
[06:01.220] 要是有还显你要想走一次，现在可以先上一个代步车，
[06:06.610] 再不出险就是反潜，
[06:29.640] 再不签什么反潜代步车显示，比如走保险修您这车，
[06:34.320] 他给您可以给您返2000 2500。
[06:39.350] 行行明白了，我
[06:42.010] 现在等你行多少钱的贫血是1500。
[06:58.290] 反正理想
[07:00.880] 对嘎嘎啦响。
[07:05.350] 您等我一会我这样。
[07:08.020] 反正就好了，不说了，行。
[07:10.650] 有几个人怎么车，您这今儿得放着了。
[07:14.300] 估计应该是您那是传动轴比较麻烦。
[07:19.790] 没事，我记得
[07:21.580] 刚刚回来我也是因为是气囊的是吧？其他现在还没开始。
[07:30.340] 没不行吗？
[07:41.210] 这样。
[07:45.680] 那个是吧？对就是一代步车。
[07:48.980] 条直线，如果要是想走保险修修这车，把小商修修，现在办事最合适的。
[07:55.440] 这是一行期间他做的保险公司
[07:58.500] 的
[08:00.510] 他怎么办？
[08:02.130] 怎么办？
[08:03.970] 你要是办的话，您是想今天办吗？
[08:08.340] 对，也有扣款结账是吧？
[08:10.340] 行行没事，等最后那就取车的事，这招待会我给您我在宁波进去，我算完了以后大概多少钱检测完了。
[08:18.790] 行。
[08:20.260] 这就多长时间。
[08:23.570] show
[08:26.060] 得三四天，
[08:28.010] 先检查今天车间先给我报价。
[08:30.850] 这两个您帮我签一下。
[08:38.790] 行，给您一份。
[08:41.590] 行。
[08:45.240] 那就有什么事我再跟您联系。
[08:54.440] 行，您就甭等了。
[08:56.010] 好勒慢走您。
[08:57.730] 对，我给您看。
[09:01.720] 你稍等等。
[09:02.830] 着急。
[09:03.540] 完了。
[09:07.310] 你那车用的都挺好，没什么问题。
[09:09.800] 没有太大的问题，做了不着头了都快。
[09:14.030] 很痛苦，对。
[09:16.660] 他有质量问题他就召回，这就是
[09:28.350] 有机会今天就去了吗？您说完。
[09:30.680] 谁知
[09:31.880] 是这样，如果要是今儿能玩，估计也得在下班时间，你要是实在不方便，我这可以送车，我们怎么就不特别远不。
[09:41.740] 对，今天和星期天咱们还有时间。
[09:44.420] 行，我就看我看看时间，到时候再跟您联系。
