[00:00.000] 谁知车的话应该是黑色。
[00:05.420] 粉色。
[00:12.920] 明白您好先生，我这边是北京百得利奔驰展厅的客户专员，我姓侯，宋先生看您是从网站关注了奔驰车最近是有购车需求吗？咱们这边？
[00:22.560] 看看现场。
[00:24.880] 了解一下是吧？没问题，看的是奔驰了，一三百号华这款车对吧？
[00:34.410] 138然后豪华没问题，店里我帮您核实了一下，库存是有限车的，裸车只要价格，现在这款在492,800左右，先生是打算上哪的牌照购车？
[00:46.950] 北京指标做置换，对我发现算是的，我刚给您发了一个联系方式之后，公户的指标没问题，因为这个车咱们展厅里边也有现车，有段展厅看过实车了吗？对比过配置参数吗？
[00:59.660] 不远的话，您到时候待会再过来同学。
[01:02.230] 了解过了是吧？大概住哪个方向？离咱们西四环这边近吗？
[01:05.330] 还怎么进？
[01:08.380] 还可以顺义是吧？这个车它比较尴尬和还款的话，它今年会出一个新款，
[01:13.840] 如果您要是考虑可以买个新款书墙板的可能比它贵几万块钱。
[01:17.900] 目前我帮您看这台车现在店里边只有一台现车了，黑车送内饰了，您大概的购车时间小孩在几月份？宋先生？
[01:29.030] 三个月内是吧？行您可以再等等新款，要不着急的话，因为这个车的话可能再等差不多到月底我估计就卖完了，都等到月底一礼拜可能就卖完了。
[01:37.320] 我先给您发了个短信，咱们展厅台在西四环海淀5路居里边，要有时间随时要求您跟家人朋友可以来展厅，我们这边给您预约销售顾问，
[01:46.510] 让它到了两天给您算的报价，因为这个东西电话里边我们也给您算不了什么购置税保险，而且价格也随时都在有变动，你要俩月以后再。
[01:54.540] 购车可能价格会有很大的起伏。
[01:57.070] 而且两个月以后也是。
[01:59.690] 谁知。
[02:02.240] 谁知。
[02:03.690] 也许会提前，目前裸车的质量价格豪华，现在是492,800，如果您持北京牌照购车的话是现金8万起。
[02:11.560] 200的话。
[02:14.990] 这只是起点，就8万起谈，直接往那上盘就可以了，有可谈空间的。
[02:19.590] 抵押车。
[02:20.210] 方便可以过来开车。
[02:23.030] 2010款贷款
[02:24.880] A200的送转何时？
[02:26.390] 现金还有棋盘空间，不是综合优惠现金还有棋盘空间，综合优势就是综合优惠的，比如说综合优惠，您像保养、保险、装饰、
[02:34.820] 油卡这些的赠送，这些都是随机到店之后我们帮您查的，这属于综合优惠，我这边只负责给您报现金，现金我给您报8万，到展厅还有可谈空间，
[02:44.280] 还能在网上谈这8万。
[02:46.460] 存现金。
[02:47.750] 5800，一个是20多万4800。
[02:51.600] 在这个基础上，
