[00:00.000] 谢谢。
[00:05.420] 北京的社保。
[00:08.080] 你的话现在
[00:10.100] 我们聊了七八年的旅游。
[00:16.040] 您好先生，我是北京百得利奔驰4S店的张先生，看您是前两天来过咱们展厅，就是关注过奔驰车是吧？4月份的时候。
[00:26.260] 最近室友从网站又关注了，是近期有购车打算了吗？
[00:30.050] 因为一直没见到您过来看车。
[00:32.430] 好的谢谢。
[00:33.660] 行。
[00:51.860] 你们的钱
[00:53.740] 用
[00:55.570] 专业
[00:57.250] 不能
[01:01.970] 给您打个电话。
[01:05.120] 对，坐垫宝。
[01:10.960] 您看的是一三百吗先生？
[01:14.310] 您这样，因为您之前到过展厅，我这边是做网站回访的，我说销售跟您联系一下，因为网站上面很多信息都是二级经销商维护的，我让他帮您算算这个价格能不能做，一会给您回个电话过去，您看行吗？
[01:27.610] 妈说谁知
[01:37.490] 您是说我们销售侯学磊吗？
[01:39.710] 回来。
[01:42.060] 没给您回电话。
[01:44.120] 你好先生，我这边是北京百得利奔驰4S店吗？晚上关注了跟
[01:57.560] 说话我
[01:58.640] 挂了。
[02:30.590] 我让他再给您回一个，因为他不是负责做网站这块，他肯定是去问市场部，然后一些客户把您给忘了。
[02:38.090] 我让他再跟您联系一下，因为网站上面的信息好先生，我不瞒您说都是一些经销商在维护的，咱们正规店里边都有数据的时效性，店它网站的价格根本就不是咱们店里卖的价格，
[02:50.210] 所以我们电话里能报给您的肯定是您准假就能提车的价格。
[02:54.640] 所以说是北京买的奔驰4S店的，
[02:59.140] 在网站
[03:05.610] 您是在外地是吧？
[03:07.760] 行，您去看看您当地吧行吗？
[03:11.530] 这些就听。
[03:14.520] 对有限车队有现车，然后这个车的话侯晓磊给您报价格差不多7万到75,000左右，您到展厅的话因为咱们也来过了吗，到时候再让老客户看能不能再给您申请申请其他的福利。
[03:26.600] 您这样我给您发个短信，短信里边我再额外赠送您一个保养，您不用跟您的销售顾问提及，是除去所有的优惠吃饭，我额外个人送给您的。
[03:35.790] 然后您看您这两天来展厅，然后我再跟回头给商量商量，看能不能再给您申请点其他的政策，您看行吗？
[03:43.560] 我姓侯杨我也想好，但我。
[03:48.760] 但我们俩不是一个部门的，对，然后我先问问他，然后您看您这两天抽空我什么时候过来，您提前告诉我，或者直接联系活越累就行。
[03:55.950] 续保我看一下。
[03:58.030] 您直接打了0858739304，
[04:04.560] 9304。
[04:07.660] 现在我看一眼叔想是4998优惠7万差不多，
[04:14.350] 42 41 41出头。
[04:17.010] 差不多，我给您拿手机算一下，您稍等。
[04:20.980] 49
[04:23.640] 酒吧
[04:26.070] 减去
[04:28.590] 五
[04:30.570] 差不多424,000。
[04:31.780] 五。
[04:36.360] 你好女士，我这边是北京买的地方。
[04:39.130] 是我这边算完了差不多是42左右，因为我不知道您跟侯磊怎么沟通的吗？详细的您也再问问他，因为他是销售。
[04:46.850] 我们在卖吗？
[04:48.150] 对。
[04:49.560] 差不多42左右。
[04:53.230] 我看看。
[04:54.090] 12万左右。
[04:55.640] 了
[05:11.000] 落地我感觉算不了，这个车得交购置税先生您这样咱们落地的价格我让回来给您回个电话，让他给您详细算算。
[05:18.400] 您好，我这边不是已经买的维持4S店的，您这边是有在网站的关注跟直车吗？
[05:24.620] 现在我真的不太了解，我做网站回访的，我让他给您一块算算，因为我不是销售。
[05:33.490] 让她给您算算，甭管是微信还是电话的形式，我让他给您一个回复，尽快让他给您回，因为他今天正好也在店里边，您看行吗？
[05:40.430] 吗上。
[05:41.900] 行，您保持手机畅通张先生。
[05:45.970] 对，肯定是有现车的，您放心。
[05:48.060] 不会他
[05:48.620] 不是针对北京牌照的车的牌照。
[05:51.840] 营销商、
[05:52.760] 现车现提。
[05:54.330] 这里价格政策上
[05:59.920] 就是说指导价格应该是71万多，
[06:06.980] 我现在能不能看到有官方指导价格没有优惠，
[06:11.130] 我们的手机上台，当地的价格政策，大家会觉得
[06:17.140] 没有，是咱们展厅不是吧？
[06:22.550] 比如说你上河北牌。
[06:25.030] 房子，请问一遍，你接下来6000万。
[06:27.590] 了。
[06:30.030] 大家
[06:32.300] 您好，感谢您激动的今天。
[06:34.970] 我让他给您回个电话，因为销售政策这块我确实不太了解，我不参与售车，然后您的购车信息我提交到系统里了，销售顾问一会给您打过去，您注意保持手机畅通好吧？
[06:45.620] 没事吧？
[06:47.280] 行好勒，张先生再见，期待您光临，拜拜。
[06:52.000] 不客气，再见。
[06:55.330] 你好黑车。
