[00:01.190] 坏数据。
[00:04.450] 有的先生您上哪牌照购车？
[00:06.250] 多少年？
[00:10.160] 二。
[00:13.820] 应该。
[00:15.410] 对价格政策的话，您得到展厅来了解，我们电话里是给您报不了的先生。
[00:20.190] 明白。
[00:24.710] 我们有的展车和试驾车都有，你是打算今天过来吗？我提前给你做个约定。
[00:29.580] 跟别人说。
[00:31.090] 因为你说说
[00:33.580] 你就看着了，谁先说谁在优势的还是。
[00:38.660] 你说什么？
[00:39.840] 这边可能做的咱这边可能的先说您说。
[00:44.990] 四川的咱们这边授权国，但是说牌照的影响价格，当然具体您那边能优惠多少钱？
[00:51.470] 确实是只能到展厅上销售给您算一下，我们这边网络组是算不了报价的，没有相应授权。
[00:57.220] 没有收车价。
[00:58.210] 的政策，
[01:05.020] 没问题是可以的。
[01:06.310] 的
[01:08.740] 谁知
[01:12.400] 也。
[01:13.130] 可以没问题，您随时到展厅，我电话给您预留的来电手机，13678032090手机，先生您贵姓？
[01:20.090] 给你打电话，张先生您随时到展厅报您手机号，说您有做过预约来看车就行，试驾的时候所以最好随身携带好驾照。
[01:28.450] 然后这边给您做好登记了，7年的光临地址是在海淀区西四环四季青桥这边，我把地址以短信的形式下发到了您的来电手机号码上面，有什么需求您可以直接打给我好吧？
[01:39.200] 三天。
[01:42.090] 现车是有的，您放心先生，展车试驾车都有，咱们是西区最大作业，您随时过来就行。
[01:48.060] 好的，期待您光临，也祝您生活愉快，先生再见。
[01:51.840] 反正我就放弃了，不
[01:53.710] 说不够没有你就赶快下午了就上了好了，就把你的
[02:00.150] 这边开口了，联想默默心里面的
[02:04.200] 定位听你的电话压力上都还挺多的，都这样，我们家是就可以项目
[02:12.070] 拿两个
[02:13.720] 干啥都行，不知道跟领导干部
[02:23.870] 我感觉他们把我所有
[02:29.450] 根本上解决了，坐在那你别的跟我说话了，别说
[02:38.470] 完了去了他每天学习之前觉得有心里面整体的话应该不会
[02:44.130] 不见了，感谢您不好了，因为什么客户端。
[02:47.400] 们都吃完了。
[02:48.560] 可能会忙，没有这么花痴，我看看
[02:52.400] 每天吃饭都吃海洋吃，起床有点的好吃的。
[02:56.970] 冰红茶知道奶奶最好的谁知
[03:01.750] 有特别少。
[03:03.760] 然后再让你吃药。
[03:07.230] 掰半天没。
[03:08.510] 行。
