[00:00.170] 2020年7月29号张良客户林久强登录您在那吧。
[00:06.550] 估计你那个签了吗？
[00:08.800] 哪个？
[00:09.780] 上午那一期的人
[00:12.150] 上亿我都给完了。
[00:14.990] 这都没钱。
[00:18.880] 到这边了。
[00:20.430] 像这里一般都是两把钥匙都是200，我待会给您取件，要是。
[00:26.890] 我得带干粮。
[00:29.640] 他去卫生间了是吧？
[00:31.740] 拿口水没事。
[00:34.700] 我跟您说打电话让他送来的好吗？
[00:38.150] 车谁开您开还是她猜OK好。
[00:41.640] 我跟你说。
[00:52.480] 然后我也反感。
[00:53.800] 对，你要什么茶水矿泉水。
[00:59.070] 常温的还是凉的，我都看不住。
[01:02.490] 没事了，拿着纳凉你就没事。
[01:05.990] 来咱把手机拿了一块去拿去。
[01:11.270] 我们还在等我们就。
[01:13.610] 点水你。喝凉呵呵。
[01:17.390] 那不是两个小花坛。
[01:19.980] 我喝了还有没抓着？
[01:23.850] 完了咱一边去说这车，我一坐里边看的跟
[01:28.830] 跟着别说简直不一样。
[01:31.200] 之前开的是自动挡吗？
[01:33.160] 我们有自动的形成。
[01:35.940] 大同小异，就是位置变化比较多，档位最大变化，操作的肯定来一杯，我不要咱们弄那一边走那也行。
[01:44.880] 没问题。
[02:03.280] 能。
[02:09.170] 没门。
[02:12.880] 说实在的，
[02:14.800] 我姓郭郭进，就从您车的功能介绍，
[02:18.240] 我给他送汤了。
[02:19.930] 客人来了叫我吗？
[02:21.430] 然后过来给您前面订车出合工大票保险，我主要负责公众的讲解，
[02:26.270] 时间咱们差不多40分钟左右一个食堂，
[02:29.140] 首先买得360的长轴，
[02:31.490] 白车黑内，
[02:33.360] 车架号能在这您自己再核对一下。
[02:36.410] 747315跟您签的初始合同都是完全一样的。
[02:40.830] 这个很关键，这是不是黄鸡
[02:44.980] 就管理在这
[02:46.640] 做不了，包括一个分期批的都是这一台车。
[02:50.000] 这跟人的身份证号是的，一个车就一个肯定对二年都不会有虫子。
[02:55.780] 包括您合同上都是一样。
[03:00.750] 你给送去得了，能送过来你先。
[03:03.770] 哪里还有什么不，您这样您尽搁桌子上就行，哥，左边的桌子上让他待会要烧了。
[03:10.750] 好好该多好。
[03:14.230] 喝这东西。
[03:15.180] 对。
[03:16.490] 不要
[03:17.380] 别高兴您辛苦再拿家里了。
[03:28.380] 反观这是您刚才都确认过了是吧？
[03:31.600] 对，没问题的话就是哪位主要在做副驾，因为做后边咱们把功能做一个介绍。
[03:37.580] 我就做这种您做构架先收钱后，
[03:43.130] 坐在后面走，
[03:45.650] 空间可以。
[03:49.670] 他这边都没有合眼都是全那什么。
[03:53.700] 首先您这个车无钥匙启动是标配钥匙，在车里踩住刹车，您按一下启动键就可以了。
[04:01.390] 同时这车上有一个新的功能叫做梅赛德斯me互联对应的这两个案件，我待会给您实名认证激活，具体帮您干嘛用呢？
[04:09.670] 完事以后最后客服做一个面访仙几个字，
[04:12.990] 座椅的调节首先都厦门市大扭最下面包括您座椅的前后和高低，
[04:19.860] 小鸟主驾前后推座椅是可以延长的，增加进口的，从
[04:25.460] 对附件是手动提起来往前放就行了，后见。
[04:31.570] 这已经到头了。
[04:33.550] 已经伸出来到头没使用了。
[04:37.150] 这不是这有空间了，都关门了。
[04:41.650] 靠背前后
[04:43.820] 包括头枕都是电控，副驾的头枕是手动。
[04:49.460] 对收视上下N进去手放下，
[04:52.860] 进去收拾我这得没用，然后这个是前后。
[04:57.560] 对您那个暑假是没用的，装饰主驾的座椅有座椅的ge什么意思？调完您自己合适的一个驾驶位置，
[05:05.530] 按一下M对应的数字，第一声以后他就把这个位置锁定了。
[05:10.370] 所在一上了，如果它开比如说位置变化了，他C2
[05:16.720] 您开案一事您得打开N胎是他的不用来回老条，它是可以存三组都然后三人都可以随你，
[05:26.280] 前排座椅都有加热，冬天用的很多手动的简短关闭，可以。
[05:31.760] 这些常识4门的左只开则，
[05:35.670] 上面这个案件收镜子洗车机测车的时候，您手动调整一下，只有暑假能控制，
[05:41.700] 包括按量左侧调节左边镜子视角4个小箭头，
[05:47.590] 上下左右调位置，
[05:49.310] 安粮右侧条街右边一样，
[05:52.150] 4门的玻璃都是一键升窗，
[05:55.560] 最下面这个案件在您点亮的朴实，
[05:59.020] 大你手机后排的乘客玻璃是动不了的，运动装都用了，
[06:03.920] 把小牌你小一点。
[06:06.620] 后备箱的话在这
[06:09.400] 往后等一下是打开。
[06:12.510] 往前长安是光B他因为动对因为它是电您就不用下车了。
[06:18.490] 挂上我
[06:20.650] 294918
[06:22.740] 大灯的位置是左手圆圈区域，
[06:26.710] 这个小出现指向当前AOTO代表自动答，
[06:30.380] 光线只要不够它自动就开启了，不管您进隧道下地库，我知道咱们偏心了，他有时候辆如果我人控制
[06:39.750] 手动控制，对往右扭是手动强制大灯，现在进攻就开着了，正常只有日间行车灯开，这就让自动一般自动什么都不管，
[06:52.490] 左侧是勿动，
[06:56.760] 橙色小洞提示你，
[06:59.600] 小鸟上下传不登的高矮的，不是登的高压，是屏幕的亮度，仪表盘亮度，别人不要过去咋别扭，没有原生态这样是吧？这是这个
[07:13.050]  go安监是手刹4钩94ks他手上搁那了，对。
[07:18.550] 这个是手刹标识，这现在是上锁，它是电子的，平常手刹不做任何操作，
[07:25.260] 上锁的状态下挂档
[07:29.730] 自动就解除了。
[07:31.550] 什么意思？我再没听舅舅说，我现在手刹拉着呢，
[07:34.910] 手刹比我手刹拉着上了锁，我一挂掉自己打开了自己就解除了，停车，咱是不是得归到P档才灭车队，归到P档以后，
[07:46.310] 您灭车推到怎么归过去的分享，这就是提到一个叫pizza了，待会咱说胆敢先把手刹解决掉，
[07:54.610] 摘为P档以后灭车祸是主驾开门看手刹，
[08:00.430] 自动上，
[08:02.440] 手上就开门手刹自动这就不用你他自己大灯手刹都不管，全是电子了。
[08:08.720] 就没有以前咱们砸下勒一下，放下来不用了没有了。
[08:13.800] 方向盘的左侧
[08:15.710] 两个胆敢第一个长的集成的功能转向灯左右是一样的，
[08:20.320] 雨刷变成左侧，这小凤眼就不要那个了。
[08:24.270] 这小三角式雨刷指向零是关闭，现在
[08:27.550] 虚线这俩是感应的，开的话网上仅指向虚线只关一次，
[08:32.600] 下雨自动关就自己刺激，不下雨不刮上面就大胆。第二个对速度比下面快灵敏度更高，也是感应单实现双实线
[08:41.950] 强制慢速过一实现强制对快速度玻璃水就是界面，
[08:48.270] 也就著名杀手，前后的后没有，对，只有前面晃人是不是都回来闪两下远光推出去这都一样往那边推，她跟着三菱三菱眼光也得往死劲拉，疼着不孕，
[09:01.080] 方向盘也是电调，左边第二个短短杆，
[09:05.480] 前后高低，
[09:07.290] 钱到前后就是高低，完了
[09:13.220] 前后不是这么，这就是高低往前伸，缩了前后是这样的，B是这样的，方向4向调节，
[09:22.230] 中控的控制，您看一下这三个按键控制是左边这个屏幕，
[09:28.030] 这三个控制一会右边的屏幕，这个小皇子都是主界面，按一下
[09:32.950] 出现列表，黑色按键直接左右滑动去选触屏的。
[09:38.850] 按的话就是确认翱翔里边首先行驶一段时间，4个轮胎的压力只会有缺席或真的是都不错，能看到对快到保养提示，
[09:48.450] 冷却液机油确实诠释有种文体是吧？这就不用看了，这就是左侧返回，
[09:53.660] 形成李宁做法，回到就什么主界面，就教主今儿这是主界面，在行程里面
[10:01.290] 里程10.5上下滑动，
[10:05.220] 白色剩余油量还能跑126公里。
[10:08.740] 平常您驾驶习惯的一个记录，
[10:11.440] 百公里油耗平均速度驾驶公里数，
[10:14.240] 总体成交画家他在总界面在哪来的？你这个界面
[10:18.260] 这个是在行程里形成里头一共是6项，这是当前速度，这一圈就转回来了。
[10:24.160] 导航、收音机、媒体电话这4项和右边是完全一致的，待会右侧介绍。
[10:30.730] 样式指的是仪表盘的风格选择，现在是运动，
[10:35.430] 可以换成经典，换成前卫，喜欢两个仪表盘风格自己去选择就行了。
[10:41.630] 党位的变化最大，
[10:43.510] 以前都在这会就变成这样了，回到了对提示你应该不陌生，都在这。
[10:49.960] 这个案件就是驻车P档，任何档位下按他都是归到P档，挂到千万别说船了，停车打卦等必须踩刹车，这是一样的，
[10:58.970] 否则犯不上导网下是前进。
[11:02.220] 对党内跳转，第一手刹解除，
[11:05.820] 雷达会在屏幕弹屏，那不是我等一下你现在
[11:11.160] 现在第一就是说如果再想回我I一下，现在很快罢了，
[11:17.320] 回P回到这一D档那儿挡不说了，倒车挡是吧？我往下来一下行不好？
[11:24.350] 你踩就好了，A看着空挡，一挡完了不我就是自动挡，对您现在才上车就走了，我知道那个完了那是
[11:36.000] 什么运动场或者别着急没说到了，咱一项一项说，随着距离的接近，咱们看右边中控雷达就出现了，
