[00:00.000] 这是第一次来。
[00:01.530] 这样今天有预约吗？没有与他有关保养车在这。
[00:07.950] 往那边保养车是吧？行行咱们嘴巴有茶水咖啡泡泉水，这边有什么需要你开车我去。
[00:15.480] 好，箱子要咱们做。
[00:19.640] 对您稍等，我这边接一电话。
[00:23.230] 稍等一下。
[00:25.620] 对，怎么那样，没事您坐着。
[00:28.800] 看看再说。
[00:31.620] 13。
[00:32.740] 13。
[00:35.800] 算一个
[00:41.940] 对，我有一个不就没交。
[00:46.970] 行，您算吗？
[00:52.270] 那就行。
[00:54.800] 对不对？
[01:00.400] 对。
[01:04.780] 然后我就看数据上买不算，对。
[01:09.330] 明白
[01:18.150] 行
[01:19.380] 明白。
[01:20.040] 明白。
[01:22.090] 好了。
[01:24.500] 行。
[01:26.440] 来。
[01:27.770] 好了。
[01:30.020] 走好勒。
[01:30.860] 走来来。
[01:36.420] 现在行，反正S350是四驱的。
[01:39.820] 350没有四驱的，对350只有两区。
[01:44.390] 我们现在开市区，
[01:46.100] 现在看着上504驱的老了，那会儿是有误区，没有事情了，您讲述之前咱们奔驰现在从去年开始有一副公约，
[01:55.150] 跟您读一下，
[01:56.340] 就是为根以礼相待，诚信经营和法则体明码标价公开透明配件渠道提供是
[02:01.840] 绝不同伴销售前，他在绝不生带着一个童话监督电话，408818多少年了，现在就在这个清楚，就算咱们增值也是第一个成交客户分期方面不收分期服务费的一个平台，所以刚才说还S350，
[02:18.000] 现在没有市区了，没有资质了，拿换的话项目
[02:22.530] 还算算不了，有一个350跟那一块不一样，内饰。
[02:27.670] 你谈谈是不是这样的，大盘我跟是一样的，
[02:31.760] 然后我看新款的。
[02:34.840] 不是，那个是最新款，那还没出，对他没有。
[02:39.880] 以后改款项目这个项目里也有和睦的高配的。
[02:45.200] 对多少钱？
[02:47.320] 35083506对95 95。
[02:52.680] 94区。
[02:53.960] 对，不是四驱两驱的。
[02:56.330] 对。
[02:57.950] 是这边再换车，也是您这边个人用车用到有用。
[03:03.160] 公司个人公司自己的一块用明白，我们现在对我们有三个系统。
[03:09.410] 防盗门。
[03:11.150] 咱们这回换车时间打算在什么时候？那不着急。
[03:14.320] 不着急，我觉得合适就换，不可以就算了，看着合适的车在做兑换，其实这里面没有相连，现在车用怎么样？
[03:24.170] 用了还可以，刚做完保养，我每次保养完之后发动机过了那就会变了
[03:29.910] 了他了要不完了之前没有练，完了之后就练。
[03:33.510] 不是。
[03:35.160] 就跟小孩打一个打打预防针，打了跟心里闹死了，完全三一日来回包养之前是没有量的。
[03:42.000] 当然击穿两发动机单上是车最常见的一个包边，它相对来说应该是因为发动机故障灯亮，在修花了8万吨，
[03:52.850] 换换什么东西里面发动机都是
[03:55.810] 还有3万多块7万多，
[03:57.680] 还真没少花。
[04:03.600] 不过开了四六2000多，
[04:06.730] 拉拉说
[04:08.120] 拿了200。
[04:09.260] 三上300了。
[04:11.390] 我们600全下来280，
[04:15.890] 他们动漫百合网83503万元，市区户口一开始就习惯
[04:21.250] 他四十几万，我们没差多少钱吗？
[04:23.890] 300万户4买两辆五菱，或者说您比如说我想寒露光盘什么的，咱直接买慢慢喝，不买8核四五聊。
[04:34.370] 多少钱？
[04:35.410] 140一点多20万，对。
[04:38.990] 高调没必要太高调了，你就350就行，肯定能卖来。
[04:44.820] 对。
[04:45.730] 对宁夏来说赢。
[04:48.090] 对，就这个车我这车能置换多少钱，
[04:51.030] 置换多少钱得评估了，三个人评。
[04:56.630] 我知道您评一下，我今天看了停一下吗？
[05:02.920] 平时不落怎么？
[05:06.070] 您稍等一下。
[05:08.700] 走。
[05:13.250] 我一下。
[05:27.640] 什么车？
[05:38.360] 方正在评估标准，
[05:47.440] 咱走又突然
[05:49.350] 主要就是
[05:51.050] 这么直接，之前开完晨会夕会才走是吧？
[05:55.740] 不是之前都透露风声没有，
[05:58.410] 是吧？但一直说的续签的柿子人口不多，前天是有没有办法？
[06:04.380] 数量没有还不错，为什么不用到班门弄斧？
[06:06.930] 可能是个设计了，人家就不成了出现越来越先进，越来越接近状态的空间越来越大，
[06:16.100] 但是确实没做那么细这东西。
[06:19.150] 三习惯性问题，能不能再更偏向运动一些？
[06:24.500] 因为你要想谈地方谈培养商务，可能又选择S不迈巴赫不行，就对
[06:30.830] 平时买卖的吗？都是你们。
[06:32.740] 经营资本没有。
[06:41.330] 行驶本给我。
[06:43.730] 不行我先看看拿。
[06:45.110] 然后后面拿出来。
[06:47.210] 后面来后门。
[06:48.920] 在后面前面有问题，
[06:51.490] 下面拉不开，于是乎没有
[06:55.510] 这滚动的快，
[06:57.450] 不是空洞，
[07:01.670] 网络
[07:08.570] 了，
[07:09.630] 我先做一个生态中国，
[07:11.420] 完了新车挂哪个？
[07:13.480] 也是想法SS就没有事情开始不遗憾的。
[07:20.190] 我觉得还是区我们600是前驱的，
[07:23.880] 开的我感觉还没的车。
[07:26.790] 没有收口就开始了。
[07:31.240] 寿陵市市区了，
[07:34.270] 咱们的
[07:36.860] 心火还有对希望商务
[07:39.700] 在450473350再有样车吗？
[07:43.070] 有一只价格有看到
[07:50.270] 这边三池里面比较经典，
[07:52.360] 更好一点，接下来就是一个OK了，
[07:57.190] 我留个手机。
[07:59.550] 13911678380，
[08:07.890] 1391167
[08:09.870] 2488060。
[08:11.430] 139107832。
[08:23.600] 2014太多。
[08:25.600] 对谢谢这家A公司加
[08:28.940] 又开了不得不很多，2岁19年了是一年了车，
[08:33.360] 年年一年8月8份的，一年一年开了13万公里，
[08:38.590] 你不能跟医院多种条保养都很在
[08:43.090] 常年保养在三个月年审的在
[08:46.970] 到双保险。
[08:48.700] 下月年审是吧？保险在这做在你家做的保险，
[08:52.300] 在这做保险下个月开始，
[08:54.340] 我们这都是在教室保险柜，
[08:56.690] 我就先看车20分钟左右时间，我现在做心态挺多，怎么六安的车不开我就
[09:02.550] 就开了，车子违规的物品拍完以后，我会告诉你一个大概的市场，可以说你先参考一下。
[09:08.750] 以客观公正，因为我们现在很透明的都是我们的客户了，
[09:12.830] 因为现在过年现在是我们的新车政策相对非常透明，也能高这块。
[09:19.490] 你去换芯是不是比单独卖掉在二手车市场卖掉合算？
[09:24.240] 对。
[09:24.920] 如果要核算可以考虑以旧换新以后，第一是你是同品牌，它本身要不要高调，第二个说补贴你们还有
[09:33.270] 把二手车
[09:34.300] 处理了一个。
[09:35.690] 您买S的话，就是说买S的话，然后补贴应该就是1万多。
[09:41.110] 就是yy补贴的。
[09:43.060] 现在这个车颜色有什么需求就回去还可以做是吧？
[09:48.520] 此外，
[09:49.290] 后来我想看宝洁太热的
[09:52.660] 人介绍一下旧照片，
[10:06.010] 这边
[10:07.840] 试着和
[10:11.710] 是吧？是不是有个连连是假一块？
[10:20.750] 不用是吧？特别残酷。
[10:23.380] 2000
[10:25.230] 35033 40平，还要3
[10:28.510] 要。
[10:29.650] 你哪是吧？你看看
[10:31.410] 这么应对，但我也没看那方法了。
[10:34.450] 是这样说吗？这是颜色的，他要是平常是不是颜色？
[10:40.160] 不是有黑色的，是灰色的。
[10:43.320] 这叫覃辉兰，你看这方向盘就应该是您想要。
[10:47.720] 对咱们
[10:49.150] 打不开，对驾车咱们的登记人什么打算？
[10:57.710] 对您坐下去跟刚才那450没什么区别一样，对大小什么都一样，包括做一名。
[11:04.170] 对，就是一些很小的细节，你比如说讨论光盘，一个四驱，一个驾驶辅助，
[11:10.250] 一个抬头显示别能量转成那根量都是一样的。
[11:14.960] 对都是一样的，不是一大方向盘子大转向一打。
[11:19.670] 太阳城他就
[11:21.040] 这边有灯亮。
[11:22.500] 有没有？有是吧？这叫并线辅助。
[11:25.780] 不是就这么一个灯。
[11:27.860] 这边有一个到现在那捕捉已经没了。
[11:30.480] 你看看现在这种大众人说那叫什么转向补光，说完了原来当照射亮度的面积有限，600都没有。
[11:39.730] 对。
[11:40.740] 您打转向这补一下妆可能感觉好一点，但是现在这种灯都叫什么多方数据和LED卡通，说白了底边，
[11:49.260] 他对他是说就不需要你了，
[11:52.000] 包括大宗的随动转向，现在都不需要，咱能不需要动，你只需要材料里边的一个习惯了，因为原来天天阿里巴也是这个东西，
[12:00.700] 感觉这是高配的一种标准。
[12:02.710] 最早在什么上？
[12:05.480] 那时候卖黄花少数什么大众上不是用的特别多，随动转向和一个转向途径，
[12:11.520] 都有。
[12:12.670] 但现在都没有要求，他已经不需要了，凌驾执照。
[12:21.700] 张兰也打开一班里边看见了，后来没电视。
[12:27.250] 后排娱乐对没有，后排娱乐后面跟是
[12:32.640] 受不了，他反诉没有。
[12:37.750] 还有它是内置的，
[12:40.500] 它的配置虽然比那树林要更
[12:45.140] 更多样化一些。
[12:46.600] 哪个说
[12:48.170] 这个说没有配置好，就是项目里顶配的。
[12:51.810] 他就是350顶配，它也是要比450的，因为450就一个派是四驱，
[12:57.430] 他也是要比450D了，你只要第一动力之外，
[13:02.660] candy哪里面除了动力还有一个4区，然后剩下的就像您说的后排娱乐，
[13:07.570] 抬头显示，
[13:09.440] 这些都不一样，都没有
[13:11.930] 抬头显示，
[13:14.410] 开车过程中有一个屏幕能运作到这个位置，
[13:19.670] 不用低头也能看着0，
[13:21.640] 都行。
[13:25.990] 要有吸汗功能上需要给您再介绍一下。
[13:30.460] 完了拍的。
[13:31.990] 说实话自己确实差不多。
[13:34.120] 对大炮不差，好车道里边有电子市场说哥们儿买或者这么四书里边基本长度雪碧树林要是带
[13:42.050] 和的可以加装，这些东西我们没见过他家了。
[13:48.550] 俺这样
[13:49.760] 没按设计他的思路是什么，
[13:53.470] 三个人有程度对吧？
[13:54.890] 456为什么没有？是因为它和迈巴赫所以区分，
[13:58.570] 好多人买mic觉得开着向司机我开了太商务了，
[14:03.080] 我又想要S4叔是我又想要一些运动，所以他就不涉及泡沫。
[14:07.620] 既然我选择450，我又想让负心汉行不？我再花20万
[14:12.240] 上白班了，就这个思路是这么
[14:14.870] 这么就下来了，这小不是没事。
[14:18.100] 摆在什么数量级？
[14:21.070] 100万买一个商务流买一个。
[14:26.280] 那跟老板菜场那个吗？
[14:28.780] 一样几乎是的，都是5米5米、
[14:32.900] 1米5米25米3。
[14:37.300] 几乎一样。
[14:38.630] 因为S它作为奔驰的，
[14:41.840] 比如说最经典的车型，他一直继承了奔驰所有的技术，
[14:48.920] 那就成习惯了，就不想看病。
[14:52.480] 他愿意您重买同样级别的用品不乱我不舒服。
[14:57.150] 习惯
[15:10.080] 不可能完美。
[15:12.370] 这有它的优势，它有关的优势，还有
[15:15.830] 没事都是这种没信用。
[15:17.740] 几乎都是，而且那红的。
[15:20.430] 这个对没有前进的。
[15:22.760] 现在很少，
[15:30.240] 这一加热都有，
[15:31.780] 加热清凉，
[15:34.090] 扬州
[15:42.840] 这个还可以。
[15:44.740] 家里所有
[15:52.790] 有了
[15:53.600] 完全恢复。
[15:54.920] 你说书架吗？
[15:57.700] 这一块多钱完了之后看
[16:03.420] 放油，
[16:05.150] 放电车有就是保养
[16:09.740] 东西七六百多块钱工时费，他妈1000 1200，
[16:15.310] 说我这车该上保险，
[16:18.350] 我也不是纯电打完了吗？
[16:20.480] 车见车了。
[16:21.400] 开完了还在。
[16:23.030] 我打完了我现在没上来，我回头看看怎么条件。
[16:27.260] 验车到检测场往那车就被连接吗？
[16:30.900] 那车已经过了6年面积，
[16:35.270] 66年的一年一，
[16:37.100] 现在这个时间，
[16:38.710] 这时候没有四驱，
[16:41.270] 市区没有四驱用不上。
[16:43.810] 对，那用不上。
[16:46.870] 后边没有娱乐。
[16:48.810] 意外用不上，但是一类情况是你用针用你那车娱乐用的起回去没事。
[16:56.050] 我刚才说一下，他一开始说1400钱的油也给1900块钱，
[17:00.370] 总共是优惠1000多块钱。
[17:03.440] 然后
[17:04.700] ES
[17:05.700] 看这个数行不行？
[17:07.040] 可以。
[17:07.820] 你看行不行？
[17:09.720] 不是你上这些险种行不行？
[17:12.480] 他车架现在。
[17:14.230] 你车架就保险。
[17:16.960] 五
[17:24.120] 人没必要450
[17:27.260] 腾讯。
[17:28.730] 你要是说他是三五楼，你我估计300都可以。
[17:32.350] 活动几时的？
[17:33.420] 再加个几十万。
[17:35.110] 回头变装油该换了三次，以后该换了。
[17:40.600] 然后我想包括去年修了
