[00:00.000] 您好，感谢您致电百得利奔驰客户端的关系，您服务先生能帮您的。
[00:03.870] 您好。
[00:04.980] 您这是海淀的中风险区域是吧？能看出来吗？
[00:10.450] 可以看车。
[00:12.020] 非常不错，那几个街道我看都是在风险区域。
[00:18.770] 还有我们这块没事儿，没有人想。
[00:21.500] 电视。
[00:23.470] 对，您是想过来看车吗？
[00:26.290] 对，我就想问一下，因为我看咱们机场里面
[00:31.800] 电汇。
[00:34.400] 我们在四季青桥南两公里数再加上。
[00:39.510] 把抓到。
[00:40.780] 叫连五路居海淀5路直接。
[00:43.910] 反正就自己清镇。
[00:48.120] 一般风险。
[00:49.950] 现在去了咱们说。
[00:51.910] 我说我们手机上面都不是。
[00:54.550] 已经。
[00:55.860] 正常看车都。
[00:57.640] 手机上面碰出来了。
[00:59.810] 手机上面都是正常的，没有任何
[01:02.770] 就像您说的什么周围的都是立马的。
[01:06.160] 我知道没有。
[01:08.760] 您是想看哪款车的？
[01:12.900] 居然飞。
[01:16.680] 可以这两款车300号60都有现车也可以试乘试驾的。
[01:21.600] 3。
[01:22.610] 买正版城市上车。
[01:24.320] 有现车。
[01:25.280] 您是想近期买吗？
[01:27.760] 对。
[01:28.600] 可以看车的，您打算什么时候开车？
[01:32.960] 周末。
[01:35.400] 周末可以的先生您贵姓？
[01:38.380] 我就是中。
[01:39.930] 张相您好，您是北京牌买吗这款车？
[01:44.530] 对我不换。
[01:45.950] 日化是吧？可以，您到时候置换的话马上。
[01:48.680] 有朋友会吗？
[01:49.920] 换咱们有个置换补贴，然后车架到店来单独评估。
[01:53.750] 然后到店的话，车价是单独给您算的，新车
[01:59.010] 补贴是现金还是？
[02:00.890] 咽津基本都是现金主要。
[02:03.720] 特价的是吧？
[02:05.230] 对，纸剪的。
[02:08.640] 是这样，你现车是有黑的。
[02:12.320] 黑车有的。
[02:13.600] 动感的是吧？我跟您确认一下都有什么颜色的，您主要是染上黑的吗？
[02:19.270] 那也对外。
[02:21.620] 黑的。
[02:24.000] 上面这个是白车和黑车都有现车。
[02:28.420] 黑车的里边的内饰。
[02:30.650] 中专类。
[02:33.020] 东类。
[02:34.030] 开车的吗？
[02:34.960] 有一台是黑内的，但是应该这两天能到。
[02:40.090] 有黑内的，我黑面有境内。
[02:43.280] 然后一般是。
[02:44.520] 对。
[02:45.440] 对我们。
[02:46.510] 管用。
[02:48.270] 您这有没有有
[02:50.600] 误会？
[02:51.990] 用法现金优惠是有的，咱们电话这边报不了，这块就需要您到店送。
[02:57.390] 到现场看。
[02:58.870] 看得出来。
[02:59.690] 对。
[03:00.670] 价格的话因为市场基本都差不多，主要是搞电聊细节，对，咱们价格到店是可以申请的。
[03:07.410] 对。
[03:10.610] 相当于我
[03:14.020] 就放，然后保险肯定在这里面，你们。
[03:17.860] 咱们这没有强加的东西，
[03:20.250] 包括验车上牌保险什么，您都可以自己。
[03:23.840] 对都可以，但是在你们那方便吗？不是。
[03:28.840] 是这样。
[03:29.530] 电子的就可以直接上台。
[03:31.130] 咱们店里您要置换的话，咱们店内直接给您上牌，什么时候你比如说您当天来，
[03:37.430] 然后折新车和社，然后把旧车留着，新车给您办临牌开走，然后就车留下后期手续我们来办，
[03:44.690] 到时候通知您验车上牌就可以了。
[03:48.560] 费用大概多少钱？
[03:50.220] 置换的话，咱们这边说是没有fail，没有任何费用的。
[03:54.140] 没有换牌费。
[03:55.370] 吃饭费用。
[03:56.610] 验车的话你可正常验车应该是2000多。
[04:01.320] 我们。
[04:02.380] 比较焦虑。
[04:03.310] 对。
[04:09.750] 行没问题，先生，您刚说贵姓我没听。
[04:13.450] 一招。
[04:14.320] 张先生好，您电话13121956168这个号是吧？
[04:19.090] 对好的张先生，我这边话多少我给您发一个我个人的联系方式给您好。
[04:26.180] 行，然后还有我的电话和地址，可以没问题，您是周六过来还是周日过来？
[04:32.020] 我得看时间，因为我不上班吗？行，你等等看时间能不能过去。
[04:38.820] 好。没问题。我们。
[04:39.900] 单位不是对地区
[04:41.700] 还是有规定。
[04:42.700] 都会有的，咱们这边过来的话，你看我们手机都是立马反正
[04:47.860] 因为我们每天都在家，不要去。
[04:51.030] 不要去冲锋下去。
[04:53.300] 我明白，不是说您单位个人咱们也不愿意去对吧？
[05:01.600] 到时候在那停，时间长了给我变成活。
[05:06.300] 我每天都上班，我从黄山到这儿，
[05:10.170] 行吧？
[05:12.240] 好，我给您发过去了，联系方式为这后期有问题咱再联系好吧？
[05:16.400] 好勒，感谢来电，再见。
