[00:09.960] 来高价您好，由我来介绍一下，我是销售顾问徐绍轩，这有名片。
[00:14.200] 您看沃尔沃叉C60是吧？
[00:17.050] 用我给你拿个彩页了解一下，不就大概问一下，因为我们也都可以，咱来看看大概问一下有什么变化现在
[00:25.420] 这价钱多少钱要我们要买。
[00:27.970] 现在这款车是中高配全落地的价格基本上是在三十六七万左右，3600基本情况您是置换还是有指标？
[00:36.150] 有指标是吧？打算分期还是全款？
[00:39.900] 有可能怎么分，分期在我们店里有一个比较合适方案，就是首付20%两年免息，相当于您贷8020%多万，没有任何利息。
[00:50.330] 明白，对，然后您大概购车时间是什么时候打算什么卖车？
[00:56.800] 我要定下来买的话很快就10天半个月，还有什么想对比的吗？我给您
[01:03.030] 分析问题，别的品牌。
[01:05.070] 有一个看了一个什么牌子。
[01:08.050] 奥迪
[01:09.440] 我对奥迪也看过，N持也看过了，首尔握着就一直在看看，老师他第一次看
[01:16.410] 德国为品牌有所了解吗？还不知道yy都是U盘感觉怎么样，您看看这感觉有哪些点需要我需要给您讲一下。
[01:25.390] 我们不关心那什么，他具体的我们不是修车的，
[01:29.810] 他这个价钱性价比怎么样，这款车价比非常高的，因为你说多少个档就是多少个什么T5版本的话总分为三个配置，有低配中配和高配，然后这块是中配这个中配竞买人最多的，首先来说这个价位能买着前后雷达，
[01:45.970] 带自动刹车系统的创伤系统，然后0~130公里是自动驾驶辅助，放油门刹车都不用管，
[01:52.950] 然后前排座椅加热，前排坐垫的腿托调节，然后后视镜记忆加热和折叠，然后真皮座椅全都配齐了，19层的龙骨全时四驱，
[02:02.820] 2.0T高功率版本的，这要是买奔驰得是300的动力，然后买Q5L得是45的动力还可以，
[02:11.430] 也是全市4区，然后卧嗍安全配置全都配齐了，
[02:15.920] 全部落地，大概在三十六七万左右，这些我都什么
[02:21.160] 干了什么这都不要。
[02:23.280] 您可以要我还没有1/100版本落地，大概在33万左右，
[02:28.800] 该有的全都有了，安全大小是一样的，大小是一样，动力是一样的，都是四驱，只是舒适性配置有所区别，什么天窗什么几天都有权下来，
[02:38.410] 33万左右。
[02:39.750] 又购置税也都下来，对33什么这都在后面放吗？我没工夫。
[02:46.080] 电动尾门全都配齐了，没有的全都。
[02:49.040] 有了对不要这点是一边大的一边的。
[03:03.280] 那行吧。
[03:07.580] 大概1米71米71米61米61米6多。
[03:13.560] 咱们。
[03:15.290] 非常多，
[03:20.760] 差4米4米7 2470。
[03:23.420] 四五个了。
[03:25.000] 不错的是吧？对。
[03:26.590] 有没有6岁也不是七色的跟。
[03:30.720] 平时一般都不用，就万一要是比如说。
[03:34.660] 一个小孩什么的，这没问题绝对没问题，放心妻子。
[03:40.220] 77座版本的没有7扣7方面就是大的S大的SUV了。
[03:44.450] 号只有。
[03:47.340] 这个是多少钱？
[03:48.520] 全国第将近60多个，他是跟奥迪Q7
[03:52.570] 奔驰gl一做对比的，你跟车的什么叫C
[03:57.160] 这lc300L
[03:59.220] 跟他是一样的。
[04:03.400] 你说宝贝你是不是中暑了？我这件客户他现在奔驰300。
[04:09.450] 是一样，一张C300动力是一样的，
[04:13.690] 所以它性价比就很高了。
[04:15.550] 您这价格买260都买不上。
[04:18.430] 为什么了？您得价格30多万，260肯定我这不要你。
[04:24.750] 你们都知道那边跟他们一样。
[04:27.550] 价格是吗？性价比高。
[04:31.390] 我说就这一款
[04:34.210] 全下来的数据，
[04:36.420] 比如33万对。
[04:38.570] 性价比就很高，对。
[04:41.880] 您刚才问我性价比的事吗？我跟您说这就是性价比。
[04:45.010] 对吧？
[04:52.530] 最长是多少？17.474米7多。
[05:00.270] 这车主要使用人是谁？
[05:02.180] 您来看还是谁来看？您喝什么饮品吗？
[05:05.390] 我给你倒点饮料，我们有三种饮品，
[05:09.270] 我就觉得这好像还是。
[05:12.790] 大的
[05:20.790] 这车通过性也很好，都是自驱动力又强，安全配置还高。
[05:25.560] 沃尔沃品牌
[05:27.290] 专注就是安全，
[05:28.960] 比别要便宜很多。
[05:32.490] 对，一年或1万公里保养一次，小宝1000样，大宝一千七八。
[05:40.530] 你刚才说贷款怎么先交20%，对。
[05:44.620] 然后
[05:47.350] 您稍等一下，我回个消息。
[05:56.430] 可以先交20%，然后带80% 80%两年之内还清就可以了，每个月大几千块钱。
[06:02.310] 没有任何利息，
[06:04.590] 您首付几万块钱，10万左右就可以把车开走了。
[06:08.310] 多便宜？
[06:11.250] 每个月交多少钱？
[06:13.060] 这得看您算一下，到时候优惠多少钱都得算一下，详细算了大几千八。
[06:19.830] 每个月交几千块钱。
[06:23.630] 等于
[06:24.620] 5000。
[06:27.120] 6000六七千肯定不止您带20多万，24期一年快被1万了。
[06:32.240] 人首付低。
[06:33.910] 没事，为什么都有一个月还一万一千零三几年两年两年。
[06:40.980] 对，你把这24
[06:43.450] 三。
[06:44.760] 1万的话。
[06:47.360] 卧槽现在是
[06:49.810] 轿车也差不多价格33分左右。
[06:55.600] 行好大概了解好的。
[06:58.390] 这地儿你还没来过。
[06:59.860] 好，您给区里边帮拍，黑暗里还有什么有奔驰，有敌有保时捷您都可以看，对，您可以去了解，好了，好，您慢点，好。
[07:18.880] 没错。
[07:19.720] 没事了，昨天我跟马大明我们俩跟我先后一起接了一个客户，王宁给我先去，
[07:25.330] 我们俩一起把客户送走了。
[07:27.020] 它是3分54
[07:30.960] 都不做下来一家宁夏，您要是看一下对地方就行，喂王叔您说长我。
[07:37.570] 行，您说。
[07:40.800] 这块以后您看看。
