[00:00.430] 2020年
[00:02.260] 年7月15号，中粮客户罗丹教授录音
[00:06.490] 趋向的是吗？
[00:08.010] 把你
[00:16.280] 留一下身份证，您这样拿着拍一个照片，然后待会上一个功能，我知道您是要呆一下对
[00:23.870] 了。
[00:27.640] 拿走。
[00:29.280] 对身份证给我。
[00:31.460] 行。
[00:33.160] 来您给我了。
[00:34.550] 咱们去车上讲公投。
[00:36.330] 开走是吗？有张，然后要是有那个章那样，
[00:42.950] 你出来了。
[00:44.250] 然后什么有个脚架跟雇员证，你不用装。
[00:49.030] 行，我再给你打。
[00:50.440] 给我一个我到时印。
[00:51.990] 来员工经常讲，
[01:01.790] 我姓波不是
[01:02.880] 负责社会功能介绍，然后首先前面国家会给您订车，后期的话出大票不能保险，我们主要负责工程的一个讲解，
[01:11.580] 时间咱们差不多40分钟，首先你买的是介绍意思的三
[01:16.430] 挥锹听，
[01:24.120] 不能刚接上左两位刚开两会先吃饭。
[01:29.420] 没问题。
[01:31.760] 好拜拜。
[01:33.100] 抱歉。
[01:34.310] 咱们买的是1502153，
[01:37.750] 黑车黑内，这个是附加号780178075，跟您签字输入方式完全一致，
[01:45.280] 得检查一下您车辆的外观的是没有问题，咱们就开始讲功能了。
[01:49.350] 之前开过奔驰出现了吗？开过没车既要介绍OK上一代的是吧？行没问题，那您就坐副驾吧。
[01:59.350] 那个月做后边。
[02:02.130] 开过交配三板是吗？
[02:11.560] 刚才给您拍了三个照片，车上。
[02:15.110] 升级一个功能叫我们三个私密。
[02:18.310] 这两个案件您之前车上叫智能互联，现在升级了，待会我会给您实名这种激活以后的话，
[02:25.820] 咱们的手机是有一个对应的F的，回头激活以后您的手机上能看到这个车所有的数据信息，
[02:32.160] 比如说跑多少公里圣灯由玻璃水兽缺失，
[02:35.630] 什么保养轮胎压力，包括定位都会有，无钥匙启动是标配，
[02:41.090] 钥匙在车内踩刹车也是启动器。
[02:44.050] 座椅调节没有变化对吧？
[02:47.040] 都是在门市这跟一样。
[02:50.100] 随机那车有吗？有的最近也有是吧？N下M数据的。
[02:55.990] 对他会DD
[02:59.230] 疗程一个正常的状态。
[03:02.730] 前排的座椅咱们都是有加热的，
[03:05.980] 中间用得很多手动的简短关闭，可以多了一个副驾调节按键，点亮我在动作已是副驾位置，
[03:14.110] 方便司机帮助优厚调座位，
[03:17.400] 只是右边副驾驶，行行。
[03:21.860] 然后门市这些也是一样的，算是开锁，对中间受镜子这都没问题。
[03:27.290] 后备箱还是在门的左下折一下，好的。
[03:30.960] 一样自动大灯。
[03:33.980] 手刹有变化，以前建筑费是绞杀吧，对，这回变成电子的了，这个是手刹手动上锁你就按一下，
