[00:00.290] 不可能的。呀
[00:01.750] 高价位客户评估。
[00:03.960] 噢对对对，所以我就是买一个给他们，唉你以为
[00:08.070] 要不然的话我给他买他干嘛对吧？每年的这个
[00:12.180] 13年底好吧，今天才12 12。
[00:16.040] 第一，
[00:17.410] 我们这个手工就买了，
[00:21.240] 早买早用到后来，晚不也就15年
[00:25.620] 年底点可能也是最后一批了，吧其实我觉得奔驰开的都挺好的。
[00:32.060] 这一代确实各方面有一个计谋那个就是特别老的，那个
[00:36.360] 这个也挺过瘾，就是约束的。那个
[00:39.120] 那个是v8的，啊看起来也挺好的，
[00:42.720] 所以我还觉得还挺好的，但是这个有点贵了，
[00:46.910] 也挣不了那么多钱，这个是那个 g r s
[00:49.640] 那个电话那个159011301131013。
[00:57.400] 因为我
[00:58.830] 别的店价格差不多了，整体来说价格差不多，你想这种大盘店里说优质两三万的车，
[01:05.490] 你就加上吧因为这两个太大了，
[01:07.910] 奔驰的话价格还能更新一点太多，北京24家店都开这么几对，然后你说差个2000块钱打个车到那省1900，
[01:17.310] 这所以说确实是价格这方面
[01:20.760] 还是都比较稳定一点，
[01:22.510] 而且也比较透明，而且奔驰有一点比较好的是
[01:26.100] 他基本上没有价格，大起大落的时候，说你今年买了，完了之后，过俩月告诉你这车又被我忘了，
[01:32.190] 哈哈
[01:33.980] 确实价格体系比较稳定，
[01:38.230] 他也不跟别人比，
[01:39.480] 让我有点
[01:40.650] 有点意外我觉得，因为呢
[01:42.750] 135万一一直优惠都在6万多，这倒确实是。
[01:48.020] 他上7万是从今年2月份的时候，就当时只要12年13万，
[01:53.590] 厂家觉得这个
[02:32.150] 18年
[02:35.910] 怎么办呢？
[02:51.240] 因为
[02:52.120] 来了就说
[02:58.280] 翻着夹着看，
[03:06.750] 找不到这两个字做。
[03:07.640] 怎么样？
[03:08.630] 回顾了。
[03:09.450] 不知道啊
[03:10.730] 回来的时候
[03:37.270] 舒服拿不拿太多了。
[03:38.300] 做的时候
[03:47.070] 就说他说一遍多了个大姐，呢
[03:50.510] 嗯
[05:23.160] 这都在系统里面标注的。
[06:55.010] 他既然叫秋之好，
[06:56.850] 为什么凭空
[06:58.850] 牛粪一变又成了装机？啊
[07:02.210] 很可笑，那11岁的孩子99年
[07:07.150] 就领着国家放人了，
[07:09.090] 嗯嗯是形象太多了，到底是涨涨价还是两球之后，这刚才给不知道？
[08:13.200] Why
[08:15.060] 嘴巴外水吧的时候先马上进来，来干嘛就来。
[08:19.020] 好了好了。
[08:22.080] 30
[08:22.780] 5436。
[08:27.780] 车开完了，
[08:29.340] 回来我告诉你多少钱，呗
[08:31.280] 准备换什么车，呀
[08:32.690] 呃交易或者是那个
[08:35.890] 好好交易，但是
[08:37.740] 可以。
[08:41.180] 我想请你们喝个酒。
[08:43.040] 我走了，我等天。
[08:47.140] 请请来来来。
[08:50.770] 行，等等会我吧我去拿拿拿那个那表。
[08:54.160] 我看看工业啊这工业这边吧正好你在那那边。
[08:57.510] 呢
[08:57.910] 1600。
[09:04.680] 怎么说，呢看看行不行？
[09:08.000] 什么玩意？啊
[09:10.810] 我要求你
[09:26.570] 外迁迁哪卖哪的。
[09:28.550] 我也不知道卖哪了，我这个
[09:31.120] 我们现在就重复就是这一星期期间啊瞎折腾，以前都没这事儿，而且我而且我还跟市场的拜师问天，我说这个怎么都是买方的事，拿个卖方的事儿，他说你看前面
[09:42.140] 卖方名头这个位置我说的唉呦真喜欢，
[09:45.190] 这叫什么外迁承诺书，为什么要这个承诺承诺承诺什么？呀说白了，他现在之前有好多人是什么情况呢都属于代办的，
[09:53.510] 就是买车这个人都没看没看，这个车呢到北京那边帮着办，办完以后呢回当地他也不了解当地什么情况，
[09:59.770] 农村落户之类的，
[10:01.010] 迁过去以后路老户，
[10:02.740] 然后买买入就回来跟北京车走这边到
[10:05.710] 说你们北京社保所怎么这样的落不了户，为什么让我签的？
[10:09.300] 窗口就说吃哑巴亏，
[10:11.330] 嗯所以现在说我来我必须让买房，谁谁过来办这事了，签一声明。
[10:16.480] 如果你当地落不了户，
[10:17.930] 和我车子没什么关系，他是约束买方的，吧对对对对就是买方的您那个营业执照呢
[10:24.220] 你也知道我在你那
[10:26.090] 就是
[10:27.340] 实际上之前好多便民措施啊全是让自己这些办事的可以给改了。
[10:32.010] 以前很简单的一些事情，他没事就老找车手麻麻烦，车手就说那行吧，那就延。呗
[10:37.890] 对不对？我觉得简单一点，对，之前因为他那个有好多便民措施，嘛
[10:43.220] 这个整整整句话总结这个东西
[10:45.600] 能不能过了，呀
[10:46.700] 它每个地区它不有排放标准，嘛
[10:48.920] 再说你新城区在当地上上个班，
[10:53.660] 最少购置购置附加费好几万，吧
[10:56.170] 对不对？你那那种那种那种这个二手车过去没有什么什么钱，啊
[11:00.470] 那当地财财务这块它的税收也少，
[11:03.320] 嗯
[11:04.590] 不同意。
[11:07.030] 嗯
[11:08.160] 嗯
[11:09.070] 嗯我们写吧咱们再盖个章。
[11:13.370] 对。
[11:36.200] 这张应该有。
[11:38.090] 差不多。
[11:43.630] 不清楚。
[11:44.320] 啊
[11:45.970] 你这个办公别一年没有什么，我刚那会我老去做，
[11:53.310] 有一定
[11:54.730] 车行的发动机。
[11:57.690] 好。
[12:08.240] 然后这是自己打印的，之前的发那个那个特别不清楚，
[12:12.060] 给我打印一份轻松点的。吧
[12:14.850] 从设计中心车站管理思路不对，呀警察那边导游就让这帮人给折腾了，呀那行吧？
[12:21.470] 那咱们就开始
[12:22.420] 按程序来人家来对不对？警察无所谓的事对不对？
[12:31.270] 这卖哪去了你也不知道。
[12:33.980] 估计这车应该是像这种车，
[12:38.020] 内蒙或东北吧
[12:40.210] 是吧？
[12:41.100] 那你们卖给谁？啊
[12:42.770] 我我就不卖谁了，这跟我没关系了。
[12:45.650] 当时咱那时候我不是走我们集团那那个拍卖那个嘛直接直接就开出去了，
[12:50.200] 因为这也是我们当不了我们店里的这种这种车辆，我们不能卖。
[12:53.790] 原来我们那个原来我们之前置换那个车卖的时候，是当着我们的面开卖的好像是是吧？
[13:01.070] 就是现在现在都都是拍照片是吧？
[13:03.960] 牌子也拍的太贵。
[13:05.540] 都是拍。
[13:06.830] 那时候我们我去我去那复印件
[13:10.720] 的。
[13:11.620] 留个复印件就行，还是不是你那个名片就留这复印件还得需要要复印件。
[13:15.830] 思维附件盖上章就完了，章就不用留了，其他我都盖完了，没别的。
[13:19.750] 就是
[13:21.450] 嗯
[13:23.100] 这也是原来是当时我们看现在都在外面开一会儿开多少钱这个空间的政策。
[13:30.390] 对姐咱车画的不好点，嗯好不错。
[13:32.990] 还有条件有条件。
[13:35.040] 给他10万。
[13:42.280] 因为他本地不行他本地不行，本地4s店。
[13:46.050] 这个这个
[13:47.560] 我爱人几乎这个
[13:51.230] 唉外国语
[13:52.690] 那可能就是
[13:54.610] 我也不能
[13:59.550] 但是但是
[14:04.950] 几个月
[14:11.000] 嗯
[14:12.720] 车时。
[14:56.810] 谢谢各位领导，大家好。
[14:59.620] 嗯
[15:04.360] 好
[15:09.960] 嗯
[15:13.530] 嗯
[15:16.840] 嗯
[15:17.660] 嗯
[15:21.550] 嗯
[15:22.920] 我们。
[15:23.320] 就是
[15:24.220] 嗯
[15:27.730] 嗯
[15:31.870] 我们有一个共同点，
[15:36.920] 嗯
[15:39.470] 喂喂
[15:42.630] 那个了，就上次咱说。那个嘛
[15:45.320] 对。
[15:47.610] 行好了。
[15:50.830] 嗯
[15:52.510] 你在哪呢？
[15:53.600] 不合适的地方，
[15:55.160] 嗯现在是一个重点。
[15:57.010] 他们都在那了是吧？
[16:00.800] 你你这样你把他那个
[16:03.130] 你把那个那个车主那个
[16:05.650] 呃身份证号和银行卡号给给我。
[16:08.740] 发微信发过了，我知道就可以过头了。
[16:12.020] 嗯
[16:13.670] 有没有见过？
[16:33.000] 那个什么
[16:39.240] 那个那明天赶紧去办，回来我再联系你，我再取一个就行了。吧
[16:42.860] 嗯
[16:44.150] 我们这个是不是得你这个办完过户以后，然后有那指标上次那个给您了吗？给我了给我了，我就问他东西好了。
[16:52.330] 是这样的。
[16:53.800] 呃
[16:55.360] 我们那个指标才能让今天周几吧
[16:57.640] 平均周二周三周四，反正这周五之前肯定能办完了，
[17:01.170] 这过户手都办完，
[17:02.440] 喝完以后呢下周差不多四周四左右，
[17:06.530] 首先指标就能出来了。
[17:08.360] 对，出来以后然后我就给转给销售销售这边，呢先给您做那个完税。那个那那个
[17:14.850] 就是车车税跟公安完税，
[17:17.290] 然后再做新车那个上牌预约。
[17:20.440] 对，安排好安排好以后然后跟你联系，然后跟着去就行了。
[17:23.940] 嗯好嗯好的。
[17:25.380] 我们不联系。
[17:26.450] 吧
[17:50.390] 啊
[18:26.600] 滴滴滴滴滴滴滴滴滴滴滴的
[18:32.830] 在中国在中国的
[18:39.750] 这个
[18:43.250] 评估师名片评估，
[18:46.180] 动态静态20分钟，贵重物品行驶证、行驶板问题验证，
[18:53.310] 需要注意需要我注意的
[18:55.830] 三个工作日一周时间。
[18:58.470] 但是你这个啊这个他们没有。
