[00:00.610] 芸芸圆圆的。
[00:03.710] 1364。
[00:10.280] 1364。
[00:12.030] 113113。
[00:13.970] 099。
[00:16.870] 阿姨
[00:20.920] 阿姨您说。
[00:28.790] 优惠完了多少钱呢？
[00:30.400] 现在优惠这款车33。
[00:34.040] 5800钱的话，这款车是优惠65,000。
[00:36.950] 你这价格标准。
[00:39.540] 不是那个是数那是最低的。
[00:50.320] 您好，能看出来。
[00:52.350] 咱们看少了他们好没错。
[00:54.350] 颜色我给你一个彩页。
[00:56.860] 看来这个是规划比较快，外面对下面。
[01:02.550] 您好，您能理解是想看看颜色是吗？我看气色的，我给您拿一个彩页，咱们彩页后面颜色只那上面那不是吗？
[01:12.830] 上面是所有车型的颜色，可能有的颜色不是说社会有着什么，
[01:17.270] 这款是牛仔蓝，外面这才
[01:20.120] 看见你们严格来了。
[01:23.020] 这点头在说一下海洋。
[01:27.200] 这车之前看过。
[01:29.380] 转行。
[01:31.050] 当时没来过旁边，人家没过，没事赶紧留名片，行，你微信下楼天。
[01:36.980] 您稍等，我给你拿个彩页先看看颜色是吧？
[02:10.910] 来看。
[02:14.440] 你好。
[02:15.360] 这一点来目前是6块6个颜色，
[02:19.390] 哪个颜色卖得好，外面这款海洋灰其实目前我卖的比较多的那片。
[02:25.910] 地多就是别的店展车也是这场是吧？对。
[02:29.330] 因为和白的多，其实我觉得牛仔蓝也行。
[02:33.840] 牛仔蓝。
[02:35.030] 其实这颜色还可以，而且的话相当于时间长。
[02:38.470] 了会什么会会不会因为他。
[02:42.210] 这个是金属漆，对，所以才这种期的话还是算比较硬的，比如说要修什么的，比如管星期对它的颜色好好，那好条什么没问题。
[02:53.910] 都好，因为您正常喷漆的话肯定是4S店里电力建设都没有，还是海洋弧菌是
[03:00.130] 洪亮。
[03:02.060] 这棕色不建议后面就不要，我们这点之前看的是哪个事儿，有点没看过牛仔蓝第一次见着牛仔蓝，
[03:12.030] 因为这个颜色特别少是吧？一般颜色没有差异，颜色价格是一样的，对，现在一般都是这样，像以前有差异的那种，可能之前的话像正常来说是白色加钱，
[03:23.110] 因为白车的话本身课就不用调，它会什么，后来有时候有白色就贵了什么的。
[03:28.770] 他现在满大街都是白车太多了，不想选，对，而且这车黑色的也不是特别合适，对没有。
[03:36.300] 不是特上，当你特别你A6你黑的，对，因为他本身属于B级车尺寸的话还不是。
[03:42.430] 特别大的对。
[03:43.460] 不好车平常是给孩子开吗？
[03:45.550] 对，孩子和我老公差两天。
[03:47.350] 他们不能在今天在一块，您给我们看看这价格，车用给您介绍一下吗？
[03:55.680] 这就是我儿子听我不懂。
[03:58.620] 对着这个车的话基本上了解过吗？就是说各个。
[04:02.270] 可以了解透了提出的志愿是吧这种
[04:07.260] 看着之一之一里面高一点，致远比这个
[04:11.940] 高一个，
[04:12.960] 比如资源可能多了一个全液晶仪表，以及像我这个事对导航这一不是创业
[04:19.190] 之一，不是全面介绍。
[04:21.030] 他刚刚才看见水壶，这可能是高配的，我们门口这台车是之一的，我可以要使用指针的时，
[04:28.520] 不是也是液晶的，但是不是强烈经小片我还打了，他不是机械的，对。
[04:34.090] 有点吗？发了吗？
[04:37.180] 想刚才说少了这么就光说对，因为刚才您说想确认一下颜色，目前的话在售基本是6块钱左右。
[04:44.070] 目前卖的房子就是颜色卖得多，其次就是白色，这今有点显老了。
[04:49.240] 外面他不算近，它是属于比较对金融服务，你对可以去外面看一下，内置的就是内饰的话一般都是棕色重播。
[05:00.170] 之一就这两个吗？
[05:04.180] 完全下面
[05:06.110] 这个板子
[05:08.600] 都是知道。
[05:10.850] 他们基本上黑的色彩看都是
[05:17.430] 190的是吧？对以前学先驱
[05:22.080] 之一。
[05:23.410] 致远差点是吧？这三大的这原是4缸就是配置来说。
[05:29.570] 所有车全系。
[05:31.760] 的都是远视贵的，对，是便宜的，下面还有。
[05:37.150] 一个T3就更什么？
[05:39.620] 每个月140平，你说着看着弟弟三看看第四就第四~1。
[05:45.690] 头花板叫。
[05:48.970] 它价格了被一下30车型的话已经去看好了，就是说想看看价格是吧？那款指导价是302,800。
[05:56.230] 30万一亩600块钱是吧？6万。
[05:59.690] 然后置换吗？怎么说置换10万美金做的行没问题，咱们不是这种女孩子这
[06:06.010] 喝点什么？
[06:07.070] 给您倒杯水饮料软件喝茶。
[06:09.310] 不用喝咖啡，你喝点都行，咖啡是吧的吧？
[06:15.150] 那坐着我给您
[06:21.560] 做
[06:22.280] 骚扰我学生30多了还是对。
[06:25.630] 都30。
[06:26.900] 这款就是最便宜的，目前指导价是30万402,900，目前优惠之后是30万。
[06:34.170] 304,000，卫生间和。
[06:36.350] 卫生间从
[06:38.830] 创业的
[06:40.680] 看看我看一下这里调节。
[06:45.030] 要求，
[06:46.640] 我就给你点电话费。
[06:58.550] 姐
[06:59.540] 帮我做三杯咖啡。
[07:01.630] 三对三个章。
[07:04.700] 对正常做。
[07:18.070] 其实内饰基本上风格都一样，他无非说可能尺寸个字多大事。
[07:23.190] 2049对这个是T5，这是250P88T版滚动。
[07:28.660] 目前像油车，我们最大的就是T6的像炭C90，
[07:32.660] 都是二手名品天气，
[07:35.070] 马列2T638，
[07:38.850] 这车开过骂S60，
[07:40.780] 还有试驾过是吧？你要说没事过，咱们这也有试驾车可以感受一下。
[07:47.300] 在哪个店看的车？
[07:49.000] 之前在
[07:50.120] 金盏这边
[07:51.340] 谷歌地球员那里头。
[07:53.420] 什么时候开始了解的？
[07:56.050] 什么时候都将就是说这款车我一直都想10月份肯定上
[08:01.570] 时间过来看看，也大概聊了，看看我给您算了，您说不是特别着急，我就说给您算的也是咱们这个月着急，只要合适价格合适的
[08:10.800] 随便就能就贴了，
[08:24.270] 就开始转账沃尔沃了。
[08:32.040] 我不接受，起码没买迈腾，没有外头没卖私密，我都接受。
[08:42.030] 没事。
[08:43.270] 在这也行。
[08:45.350] 您先给您算一下。
[08:46.710] 我考虑全款还是分期全款。
[08:58.640] 稍等。
[08:59.900] 那是餐厅茶的明白。
[09:03.020] 卖东西。
[09:07.480] 加油地在前头是吧？我还没发现这是加油的。
[09:13.260] 都在后面马上在前面。
[09:15.150] 前面这啥这一块不会是电动的充电的。
[09:20.740] 淀粉的充电能用的吧那本的是吧？
[09:23.550] 我来说。
[09:25.510] 是在后面，我觉得前面那个东西
[09:29.860] 邮箱
[09:32.000] 我也觉得有点不可能再看看。
[09:36.290] 在前面乱七八糟官司这钱都是我刚才说前面这什么加油的是吗？那是家家装充电的是吧？的网络
[09:45.720] 滚动的基本都没怎么卖。
[09:47.950] 他是消停买汽油的挺好，要不现在来说一般就是邮车或者旧电车，
[09:53.940] 之前相混同的都是属于过度阶段，电车组织现在没啥必要，
[09:59.580] 这还不太成熟的。
[10:02.590] 买特斯拉一年不赔你个十几万，对电动车确实
[10:06.590] 就是说买了的话就别考虑置换的问题。
[10:10.060] 省油钱老想这事
[10:13.170] 的。
[10:21.070] S60有很多是吧？
[10:25.770] 混动就麻烦点多就容易出问题是吧？然后得充电，
[10:33.910] 别动过了。
[10:35.240] 冲动。
[11:02.960] 4米76。
[11:06.160] 1米4米。
[11:08.720] 轴距凉米线。
[11:11.230] 2米87，你说这个车我说这我就看一下，
[11:16.990] 这俩C60对标的事
[11:19.180] 像什么三系，
[11:21.010] 对A4。
[11:25.070] 目前的话全款办齐269,000，
[11:28.180] 269,776，
[11:30.120] 差不多是这样。
[11:31.990] 然后因为咱们不是有个置换，我是把置换补贴给您算里了，如果你要说二手车的话，我不知道他们那边给您估过吗？
[11:39.030] 我们那边开开，因为普遍的话，我们店里可能就是二手车这边相对来说价格可能会更合适一些，
[11:45.870] 因为我们这个集团的话，那车不仅。
[11:49.420] 是吃饭吗？
[11:50.810] 还是
[11:51.840] 这置换没有置换上呼叫合适，看看，我觉得这车值不了多少钱了这是，但是你要是外面卖多少呢？
[11:58.650] 国三的是吗？
[12:00.210] 谢谢，好了还行，没事行行。
