[00:07.310] 为
[00:14.530] 教授您好。
[00:15.620] 请问车先生百得利沃尔沃销售观众，您觉得您
[00:20.080] 第一次来这儿，您有约好的销售人员吗？今天？
[00:23.720] 喝点什么水，咱那药茶咖啡朋友我这早点去
[00:27.020] 看看这款车是吧？Sc60，对，你给我介绍他配置行没问题，完了之后把它踊跃的东西给我展示出来，行，我先给你拿个资料过来。
[00:52.570] 开始。
[01:05.720] 咱们产品资料。
[01:07.250] 您是家用是吗？
[01:08.700] 就说您自个开还是自己开？
[01:11.780] 这款车咱买的是一个标配了，咱们较之一豪华版，您是想预算控制多少钱，我给您推荐一个配置的更合适一点。
[01:19.290] 其实我一开始我想拿他了，就这样，对，感觉她下来之后造价挺高，他有点受不了你知道吗？我的预算就是40多万50万，OK销售60了，
[01:32.060] 想考虑时候购车
[01:33.880] 已经是几月份吗？这接近已经两个月，OK我置换还是不算，就是说我想直接
[01:41.800] 外地孩子上哪个省市，哈尔滨
[01:44.770] 当地有店先生。
[01:46.490] 我知道我没法卖，你给我介绍给您，让我跟您说一下，报价的话我们就按照指导价格进行销售了。
[01:54.410] 然后但是来讲的话，您说介绍产品没有问题，是这么跟您解释一下OK，然后这款车是它一个标配，咱们是分三个配置，这个是标配还是一中配，还有一个鼎沸，而中配的话赞成我没摆，
[02:07.890] 这摆了一个标配，白顶配的这款车型的话，您像咱们沃尔沃说实话来讲的话，它主要是比较好的一点就是
[02:15.800] 它的安全和环保。
[02:17.720] 他送到安全的话，你像咱们就车道紧急避障系统，
[02:21.070] 然后还有咱们的主动刹车，都可以做到来保证降低咱们碰撞事故的发生。
[02:26.450] 还有一个环保，就是刚才您二位应该坐在车上可能也看了，车上没有什么味道。
[02:31.330] 对，因为咱们做一场真皮座椅和里边，咱中午都是环保材料，你也可以摸摸咱们皮质，
[02:37.090] 并且咱们中间的显示屏采用一个9英寸的浮动显示和
[02:41.340] 即便阳光照在上班，你也不会说
[02:43.960] 看不清楚它的反射都会非常好，而且像里边的话这些还是很环保材料，所以说它味道非常强。
[02:51.130] 还有一点的话，咱们这个车是后边伟高写了一个沃尔沃亚太，
[02:56.660] 沃尔沃亚太代表意思就是沃尔沃在亚洲生产环太平洋地区销售，
[03:01.680] 说最简单就是咱们这个车是中国生产出口到国外了，所以品质来讲咱们都做到了全球品质，
[03:07.840] 品质来讲都是国外，前两天我看到一个他们在快手上他们发了一个段子，
[03:14.920] 就是说一个车主也是开着这个车之后撞完了之后，它这个系统直接反馈到
[03:22.190] 4S店，对完了歇4S店来，我感觉这个挺好，所以说我看这个它不是返回到彩电，它反馈到咱们的Volvo，on，call的一个售后的服务中心，他会对客户进行一个
[03:34.260] 一个呼叫，如果说要是客户没有进行回复的话，咱们会派医疗人员去跟
[03:40.620] 去给初级救援是吧？这个是咱们沃尔沃的一个非常好的服务，包括王浩就非常的特别好，非常
[03:48.450] 这是它全系的一个标准是吧？
[03:51.050] 您现在用的什么车型？我驾驶证刚下来没开过其他车型，我刚下了5天，
[03:56.630] 有看其他品牌的没有，我上午就看着我问，
[03:59.910] 看着会忘了，因为我写超市哥不给你看过了，我说你要安全。
[04:05.020] 我找您还是您找我，我看明白，行好勒。
[04:08.940] 明天给你。
[04:11.690] 这是您名片，我小智。
[04:15.040] 好。
[04:16.000] 好的，有问题您给我发微信，好好man总再见。
[04:25.250] 孙总您稍等，我这边接一个客户我马上发给
[04:30.420] 看一下，
[04:31.390] 我把所有平安下边的公司给您发过去。
[04:37.600] 现在这个价位多少钱？这390,600它优惠完了之后三现在390,900，这个算我们现在指导价格。
[04:46.590] 他比如说在咱们4S店买的话，它是优惠多少？应该我们现在优惠10万优惠10万，但是我们是只限北京销售，
[04:56.150] 置换的话优惠10万块钱。
[04:58.210] 置换10万对。
[05:00.240] 那个车现在就是说又不你不说啥不说我Y就来了，北京牌子买这个东西，
[05:06.390] 优惠15万，一共15万。
[05:08.780] 知道价格现在知道家这款774,900。
[05:11.960] 624,000。
[05:13.810] 说是去年10万。
[05:15.960] 当然
[05:18.590] 感觉用
[05:20.570] 咱们身板不能用，没那么期待有点儿费劲，你说说看看对60多万那还太行了。
[05:29.030] 刚才我们在做感觉太小了，是一样，是不是一样？
[05:34.550] 确实不太一样。
[05:36.500] SS90现在
[05:39.310] 车站是哪款的？摆的是一个质的运动，
[05:44.500] 还知道加42 09，
[05:46.790] 也优惠10万，现在优惠9万块钱。
[05:52.360] 刚才这个电话是您对我店24小时之内给您打一个回访电话，您看上午下午放晚什么时候方便？
[05:58.810] 你晚上拿。
[06:03.320] 行行咱车友试驾车考虑这是假吗？不用行你拿着行行没有。
[06:09.280] 感谢您光临，谢谢慢走再见。
[06:17.830] 比如说我们和我们当地价位跟差不多是吧？具体不知道您问您当地咱们全款落地，
[06:26.630] 直接落地多少钱是谁下的？
[06:28.730] 全下来的话应该在36期。
[06:32.370] 三十六七。
[06:33.880] 好了。
[06:37.590] 所以说。
