[00:00.000] 坏数据，
[00:03.880] 数据
[00:05.140] 场。
[00:08.100] 咱们车牌号是MP9615
[00:16.030] 二
[00:20.340] 您的联系电话是135这个是吧？
[00:23.480] 1352037208。
[00:27.700] 您是杨秋波先生位女士。
[00:30.390] 杨秋波女士。
[00:37.560] OK
[00:41.730] 数据
[00:50.350] 数据
[00:53.110] 场。
[01:02.470] 坏
[01:03.560] 场。
[01:09.560] 数据
[01:11.880] 句。
[01:13.830] 咱们车大概多少？
[01:15.640] 大概多少公里？
[01:20.340] 三
[01:25.740] 讲
[01:29.840] 找
[01:55.160] 点。
[02:15.010] 咱们这车上回保养是做了一个B保养，
[02:18.880] 他上次是个B上面B那边20谁？
[02:24.660] 2020年5月份。
[02:27.150] 6万，现在多少公里？77万。
[02:32.300] 咱们这儿坐63,000。
[02:35.240] 你那是什么时候的？不知道怎么显示，20年5月29号。
[02:40.500] 这不可能，对，因为我们在D也做过经过，
[02:45.200] 是不是咱们计算你的能查出来是吧？
[02:49.810] 他是不是那时候才结？
[02:52.450] 然后
[02:54.710] 现在开始不理。
[02:56.940] 还没看见吗？他上回坐车都管他，谢谢您，不可能那么点。
[03:01.340] 到了我正在核对信息
[03:06.950] 的问题。
[03:07.770] 等会再问你今天决定等
[03:16.840] 好
[03:22.880] 的。
[03:30.230] 三
[03:37.440] 的
[03:51.500] 话
[04:03.450] 变速箱油什么的换
[04:06.610] 变速箱的油什么的，
[04:09.640] 我说变变速箱油变速箱油什么的换过吗？
[04:15.970] 变得变，就是换没换过变速箱的。
[04:19.950] 邮箱变速箱的对的。
[04:24.550] 不知道了。
[04:27.460] 反正就在你家和金冠这两家的保养我也不懂，
[04:32.450] 变速箱的原因，
[04:35.410] 就6万公里大保养没做过，
[04:46.210] 的。
[04:48.990] 您看看
[04:51.040] 咱们
[04:54.820] 数据、
[04:55.770] 数据、
[05:23.800] 你好好看了。
[05:39.390] 您好。
[05:41.450] 67是吧？
[05:43.690] 我给您登下拍了。
[05:52.370] 数据、
[05:58.160] 数据、
[06:00.770] 机票。
[06:02.630] 坏。
[06:12.700] 三。
[06:16.250] 把
[06:17.220] 要
[06:18.430] 打
[06:20.630] 手机
[06:25.250] 的。
[06:35.520] 后边
[06:38.250] 做什么？
[06:40.500] 用完了。
[06:41.590] 马上要去准备这么深
[06:48.530] 远
[06:50.540] 数据
[06:52.940] 的
[06:56.810] 坏
[06:58.250] 的。
[07:09.120] 远。
[07:18.030] 场
[07:19.900] 数据
[07:26.390] 结果
[07:28.280] 也
[07:29.720] 家
[07:34.130] 关系。
[07:41.030] 数据
[07:43.560] 差不多了，我们大部分
[07:49.440] 没有了对没有。
[07:55.270] 给他换了。
[07:58.360] 换
[07:59.600] 换个城市。
[08:02.510] 你随便不完。
[08:04.560] 你现在自由也不会有今天你
[08:08.520] 电脑
[08:13.220] 我真的
[08:15.000] 这以前是说过有的他当时还说要找个地方给他，
[08:21.580] 到爆最后面谢谢。
[08:27.240] 这回碰到导演，
[08:33.090] 然后上了你们干活在这干啥，你不干活在这干啥呢？
[08:38.730] 我还你妈妈如果
[08:40.800] 你发挥进去的怎么跑钱了，
[08:45.100] 最后你真有你
[08:48.140] 又不干了，老婆受不忙，推荐盲从也没瘦了，
[08:55.940] 都是脑子
[08:58.690] 干，完了没有这是这给您了。
[09:05.010] 微信联系更换的什么配件，就是说确认对没事，这不无所谓，这4S店都能查到，几乎没有用。
[09:15.160] 好好我知道发点什么东西了，你要说一天多了都怪了，登录我负责任的。
[09:23.060] 保险最后
[09:24.580] 没发展几乎都有。
[09:26.400] 今天。
[09:29.120] 对
[09:33.010] 谁知
[09:38.150] 如果还不了，可能要等到明年了，
[09:42.430] 争取你们帮帮我真棒，谁知
[09:48.490] 政府最近
[09:50.360] 不能那个不是咱们不想了，
[09:59.590] 看看你们
[10:04.910] 找
[10:08.150] 数据
[10:12.520] 远远
[10:16.220] 好。
[10:24.910] 二
[10:29.010] 没事到哪了的每分钟下去了。
[10:34.580] 对。
[10:38.510] 主要还是看
[10:40.360] 做
[10:42.910] 是吧？
[10:47.170] 跟C
[10:50.400] 跟你的
[10:55.170] 那个车
[11:03.880] 部分
[11:06.170] 换一下。
[11:10.340] 现在我连山都上不了了。
[11:15.810] 开
[11:18.740] 头一把
[11:22.010] 拍
[11:24.090] 远。
[11:31.200] 正常的常规保养就是A宝跟空调滤芯，
[11:34.830] 然后还有空调清洗，
[11:38.280] 就这三样。
[11:39.380] 空调坏了。
[11:45.310] 这是常规的保养项目，建议常规的保养项目建议您做的就这三样。
[11:51.710] 然后
[11:53.960] 这不是保养换机油，
[11:58.220] 换机油一样换空调的滤芯，做空调的清洗，
[12:04.610] 常规的这是正常需要做的。
[12:09.040] 正常我们建议您做的应该做这些了。
[12:14.250] 然后剩下的
[12:16.860] 要不然我刚才问您6万公里，
[12:19.900] 大保养你做没做过？
[12:21.930] 那里边是什么？
[12:23.700] 就在这三样的基础上，
[12:25.930] 有变速箱、油、
[12:27.890] 皮带、
[12:28.880] 防冻液、
[12:33.380] 那个东西是6万公里应该换，我但是我没有查到记录，所以说我得问您弄没弄。
[12:40.660] 对，如果您说你给我报个价，我看看多少钱怎么弄还是不弄，我就给你报上，如果你要说我说对不起起来我不弄，
[12:49.350] 我就正常给你报这三样就得了，到时候。
[12:53.210] 这个是我给打电话对你问问他，你跟他说说可以。
[12:58.120] 放了，把原来那份扔了。
[13:02.440] 原来那份老了。
[13:08.180] 4 SCP吗？
[13:10.030] 这块。
[13:12.310] 有着你签字的有没有？
[13:15.680] 来我现在您跟他说。
[13:21.190] 按一下那个小伙子
[13:23.270] 想跟你说，先我说跟你说话我有多少
[13:28.690] 完全
[13:32.710] 然后我现在看你了，这在清理我也在旁边。
[13:40.610] 您好先生，
[13:43.100] 正常这个车正常的情况下，做保养的话是三个项目，
[13:49.240] 一个是保养，该做A保养了，
[13:52.880] 然后
[13:55.130] A宝上回就可以上边提示上面，然后
[14:00.230] 还有空调滤芯跟空调清洗，
[14:02.840] 就是这三样正常要做的这事儿。
[14:05.980] 然后建议您做的。
[14:07.520] 剩下的就是有一个事我得问您一下，您这车都开了79,000公里了，
[14:12.040] 6万公里的时候，
[14:14.680] 变速箱的油、
[14:16.560] 火花塞、皮带还有洗积炭，这些大佬的项目您做没做过？
[14:23.200] 对你说了，因为我也不知道是这样，我的电脑系统里是没查到，所以说就能证明这个车在
[14:35.780] 4S店就是往内我们管叫网内，就4S店这个系统里边，
[14:41.210] 无论您是在我们店还是在别的店，我都能查到，就应该是没弄过，然后但是也不排除客户，比如说因为换这些东西比较贵，上别的地换，
[14:53.170] 没背景这些我们的车使用密码，
[14:56.890] 所谓的
[14:58.380] 生态之间的谁知就是没弄过，反正你这里头有金冠的记录是吧？我们就在这个习惯中就是了。
[15:09.300] 你现在查到是18年的吗？
[15:12.800] 我查到上回是六万几做的记录？
[15:16.540] 六万五六万3千一百九十一八年对吧？是不是？
[15:22.710] 他这个日期可能不对，肯定不对，但是它的公里数应该行行，那就
[15:28.430] 元梳理数差不多。
[15:30.800] 上诉力对
[15:33.570] 然后如果要是没做过的话，我就正常按大宝的项目给您报价。
[15:37.630] 然后您看您是做还是不做，让女士到时候跟您再说一声，就这样。
[15:42.170] 谢谢还是你们跟行规都见过是吧？正常6万就该做，你现在都开到8了。
[15:49.840] 你这个事是市场的什么还是什么事业重要的还是你们自己手里常规
[15:58.350] 变速箱、油、火花塞、刹车油，这都是厂家直的。
[16:02.170] 对，还有航空业这几样。
[16:05.610] 这应该家里有多少钱？
[16:07.730] 都加一块我估计得过万了，1万多了。
[16:12.670] 也就是说像车型这个车型一般都是到这么多是吧？
[16:21.570] 对，别的车6都是6万公里大保养。
[16:24.940] 我也要我的我们不是说给你咨询一下。
[16:30.880] 行行。
[16:33.750] 没有像国内的今天30年我明天医保地方了，但
[16:40.190] 没有他的车子也什么，我认为标准必须得做这个结果看电话这样一个什么
[16:48.010] 也有东西，就是说三过去10年你说100年也没事，你年费要打断一下是吧？
[16:55.170] 不是，他这个是怎么来的，都是厂家的保养手册在起来的，就是
[17:02.570] 有把握的他就会吹的。
[17:07.480] 你国外它不那么做，他肯定也得换，他不换他可能周期比咱们国内要长。
[17:13.590] 两个号能用吗？
[17:20.150] 多好吃的，我就那么给你打个比方，那么打个
[17:25.130] 比如说您朋友在美国
[17:27.300] 用一款非常好的机油，就这款机油
[17:30.830] 在国内比如说你做保养是1万公里换一次，人家国外说了我这机油15,000 2万公里换一回，
[17:37.540] 但是它不适合中国地区使用，明白吧？
[17:41.140] 空气不好，燃油油品行驶速度，
[17:47.440] 还有怠速时间都会影响这个东西零售吗？
[17:50.720] 明白。
[17:51.660] 要不然他保养手册就不会有中东版，美洲版，还有中国亚洲，
[17:57.540] 他就不会有那么多版本，是的。
[18:01.820] 您说那不是我不用跟他说，他机油比方不好了，我那个屏幕是不是继续借，车会告诉我，他只能提示你，
[18:13.400] 这个车只能提示换机油，别的它提示不了。
[18:16.520] 你除了机油，还有什么刹车的，有
[18:19.310] 变速箱的这些有防冻液他都没法提升，
[18:23.540] 他没那么智能的学校，
[18:28.970] 要快一点都会怀念咱们省保修的，也还是下的时候，
[18:36.330] 正常每6万做一次6万12万。
[18:40.360] 对，就这样叠加的。
[18:43.250] 咱们有保修吗？比如说你给我弄完了以后，我想一个
[18:48.710] 前面是我帮了是吧对吧？
[18:51.980] 咱们在10 14万以前如果有问题的话，那是我们产量会适当地在增长，不会这是正常您需要保养的项目，
[19:03.720] 他不会给你额外的其他东西，反正
[19:07.400] 不是什么关系，就是整整完了以后14公里以内征求了贴还是的彻底有什么又没那么好，
[19:16.710] 空气也没看这个地方空气不对，还这车就是厂家你们弄完了就没有这些车是这样的，
[19:24.230] 我们给您做正常的维护，
[19:26.590] 正常我们更换的所有的配件，就是我们动作的更换过的东西，
[19:31.900] 它是有一个两年的保修期的。
[19:34.110] 比如说你的
[19:36.800] 21301301536，
[19:41.100] 但是您的车比如说发动机的部件或者变速箱的部件，它出现问题了，
[19:47.480] 跟这次保养没有关系，我们是不承担责任的，
[19:51.320] 明白吗？也就是说简单理解就是这样的，按照厂家给你们的手册，
[19:58.270] 登6万就可以到你们那去把这些东西翻了一边，三，完了变成我给车主人看看，可能跟问题就是别的问题很久没有婚姻的意思吧。
[20:10.290] 对，您要是不想换的话，你也可以这么开着，他也不一定出问题，保险帮助他们对吧？
[20:17.250] 刚刚放下的放下这张照片尝试对，你比如说我不换他能怎么着，你不换他有可能会出问题，但是他有可能不会出问题。
[20:29.500] 人家只不过是让你按照人家的宝宝养的手册说这个东西应该怎么用，我告诉你了怎么用，你就按照我说的用，
[20:37.600] 他应该就没问题了，他也不能百%确定他就一定没问题，你要说我就不按照你说的做，我就自己开自己的，
[20:46.120] 我什么油都不算，你就开，等等等有问题再说。
[20:50.340] 小伙子你这句话比较诚实，我相信就觉着没什么花了，不让您跟我说一句话都不让，我还准备这句话，我就说说什么意思呢？
[21:04.370] 这钱花了好吧？
[21:06.980] 感谢因为准备互动，您的时候在这边做保养，咱们也不会这样，
[21:12.450] 两个的话咱比较合适保养一天
[21:17.460] 6469号别人啥样不知道，我也不给他。
[21:25.370] 一般是
[21:27.170] 打的。
[21:31.050] 我出去接。
[21:32.080] 能省多少钱，你不过就说按照我说的最初的您
[21:40.310] 光换机油空调滤芯跟空调清洗，
