[00:00.000] 2020 75对吧？会稍微三处。
[00:04.140] 行，小米。
[00:05.280] 您里边水稍作对吧？好了，我看看我在门口等一下也行都行。
[00:11.530] 对，李旭光李先生。
[00:19.280] 李先生您好。
[00:22.080] 王子琪叫我小孩的请过来接待您。
[00:25.110] 咱这回是拿本来就放个D200看看对。
[00:28.880] 对咱这摆了一个B18。
[00:30.280] 0。
[00:31.880] 开口有这样的，明天要开会吗？改变了不是在咱们店的变去掉，
[00:37.400] 需要来看动感还是不上了？
[00:39.920] 咱们来看看。
[00:42.150] 行，那就是咱们试试吗？不是。
[00:44.960] 不是，咱就坐下。
[00:46.980] 你说点什么看着看着。
[00:52.420] 我听客服说咱们。
[00:53.730] 是标配是传动轴倒回去。
[00:57.490] 都做做完了。
[00:59.220] 来做。
[01:00.420] 好。
[01:01.340] 然后是上次在那个店在
[01:05.140] 近杏石口路有意见，经过在这跟他们是假的。
[01:10.910] 他们还有一部机器。
[01:12.370] 车。
[01:13.900] 有那还行，因为他们店规模能给上一个，因为B级车毕竟属于那种进口的小型车型，
[01:20.910] 还能上个4架车还不错。
[01:23.630] 那原因不清楚了，还是。
[01:27.430] 后来他们主要是
[01:29.000] 价格什么都报完了，然后就等着我去买呢。
[01:32.340] 然后我正好今天做，我就跟你们聊聊是吧？就到一个地方。
[01:36.460] 他好像我上次跟你们联系的时候，你们说
[01:40.370] you只有一个要和优惠，就其他优惠都没有了，
[01:44.780] 只有一个价格上的好，比如什么6万什么，
[01:48.370] 想问问您要置换保额跟咱们这样OK。
[01:52.770] 主现在是。
[01:53.940] 什么关系？是直系亲属吗？
[01:57.490] 后来
[01:58.530] 我是您的名字叫可以说女儿都算直系亲属都可以给您走重构。
[02:04.340] 什么东西？
[02:05.460] 重构。
[02:06.930] 就重构政策的话，它会在保险上的。
[02:09.640] 的。
[02:11.100] 比普通置换要多一点。
[02:14.300] 您二位现在还在。
[02:17.800] 一个户口本上在一本
[02:29.650] 看看第二摆上。
[02:34.680] 10. 
[02:35.420] 咱们开车
[02:41.120] 石灰
[02:44.180] 的。
[02:46.320] 失败。
[02:47.520] 月光石灰黑，那是您说白咱们那台车
[02:53.300] 到不了。
[02:54.830] 还有。
[02:55.760] 6月15号才从国外下线过来怎么着也得3月最快。
[03:00.070] 也得三。
[03:04.580] 他是7月16号里还有一辆车，
[03:07.620] 我们动感有时尚时尚就这一台我是不是动感？
[03:14.150] 反正这车买动感。
[03:15.780] 俺得多。
[03:16.740] 所以我刚才问您看那些根本还是时尚
