[00:00.000] 还有吗？10亿。
[00:01.980] 对吧？接着说好。
[00:03.580] 徐是吗？
[00:05.280] 1371852
[00:08.190] 3886，
[00:10.250] 然后就是穿条条上衣的。
[00:13.880] 黑白松下。
[00:15.220] 一男一女。
[00:16.790] 看哪个科看S9楼你是比较关注S有吗？
[00:22.370] 来多长时间？
[00:23.950] 16-24来到现在16.46点了。
[00:35.850] 老板
[00:44.850] I小降。
[00:46.000] 这叫做有人接了吗？没人没事。
[00:49.550] 接了，我接上了是一起吗？
[00:53.430] 是轻的。
[00:54.630] 您好。
[00:56.400] 是一起的是吗？
[01:03.790] 咱们一起的是吧？不好意思你接着。
[01:06.900] 没事下来问题。
[01:09.150] 这款是展车是T5之1的，目前指导价是402,900，
[01:14.340] 然后基本上现在全办齐的话，整体应该在33万左右，您是置换吗？
[01:20.400] 不可能，如果要是置换的话，目前这个车有一个置换补贴是12,000。
[01:25.030] 主要就是考虑向旧车是他店里卖的少是吗？
[01:28.600] 是，我说您要说不考虑置换，是因为是想自己在外面卖，
[01:34.300] 是不是？
[01:35.090] 没事你坐车看李，因为这款是低配的，但是沃尔沃的话相对来说
[01:40.770] 配置就是说
[01:42.470] 该有的像主动安全这些城市，
[01:44.810] 安全系统对这个是全系标配的，
[01:47.330] 而且可以坐在我们车里闻一下车里的味道。
[01:50.710] 像高配的话两个车基本上差了一个37,000，主要多的一些像导航以及座椅带一个推脱。
[01:57.290] 后排的遮阳帘以及前排的话像有一个马凯特的音箱，我们中控台是皮质包裹，
[02:04.170] 之前了解过吗？
[02:05.720] 多多少少了解一些，配合最差的没有这种的技术，手机就是说对像发动机这些都是一样的，这些技术是一样的，都是T5的发动机，主要就差一些，像科技，比如说像音箱这些
[02:18.310] 低配怎么买，现在低配全办齐，如果没有置换的话在33万左右，
[02:23.750] 您说了算，应该该店内上保险吗什么之类的。目前全款的话就是说
[02:29.980] 车钱、购置税、保险和上牌，但是保险第一年是店里上，但险种是可以挑的，
[02:35.400] 不会说是全险这些。
[02:38.360] 对。
[02:39.550] 分期如果您要考虑的话，目前这个车贷款最多是两年首付一半没有利息，如果带10万的话是三年也07，
[02:50.440] 政策目前包括分期置换其实都挺合适的。
[02:54.000] 置换的话也不是你们窝里也能置换吗？都可以，只要是有就车就可以。
[02:58.980] 金牌
[02:59.960] 开过来给您做个评估，如果您觉得这价格满意，当然可以没问题。
[03:05.100] 而且置换补贴12,000是给的现金直接减在车架里边，
[03:10.220] 所谓的置换补贴是减
[03:12.860] 是对旧车的评估价，不是置换补贴，就是说如果您拿旧车来换新车，
[03:19.160] 正常二手车我给您做完价格，您觉得合适才会卖给我们，对吧？
[03:23.310] 如果这个情况满足的话，新车你比如说这个车有个402,900，我给您优惠10万，加上置换补贴相当优惠是12,000。
[03:31.930] 我还没明白，我就是说置换补贴这块，
[03:36.010] 厂家给的厂家给直接扣钱，甭管多少都是不管什么车都是什么车都可以，只要是蓝牌
[03:42.670] 就可以，然后车架那个时候咱们店里给您做只有20吨，对，三天就三天给你们签订的。
[03:50.210] 天生一对，可以这么理解。
[03:54.290] 车不要紧，主要是你把车给拿过来，拿个奥拓放这块也是，但是必须在就是说指标人名下的话满半年以上，
[04:03.050] 您不可能就是说假如说咱们说难听懂，对，
[04:06.780] 都是流程牌子的话都是同一个人，对，但是之前遇见过这种情况，就是说比如说倒个指标，
