[00:00.000] 好，现在手机没信号看C。
[00:04.150] 呼呼不肯。
[00:13.290] 霍先生
[00:14.930] 上厕所了。
[00:26.360] 您好，霍先生吗？
[00:27.740] 你好，肖公嘎委托来接电源照明没有。
[00:30.760] 买白色有C200白色的展车没摆，
[00:35.330] 然后我给你查一下白色的应该是有现车底下。
[00:38.720] 对，有红包谁知。
[00:42.960] 不是吗？
[01:00.940] 应该很少在哪买的？
[01:04.600] 买车。
[01:06.000] 好。
[01:08.410] 下午过两
[01:11.570] 哪个260L展车每百200打车大小车一样，我可以带您去看一下。
[01:17.510] 这是第一次来了，
[01:20.020] 下来的速度销售麻烦展开了，还有不是？So咱们奔驰的车型太多。
[01:27.550] 只是摆了部分的展车多少钱？
[01:30.200] 价格我聊全办齐，大概差不多在29万左右，您有置换吗？裸车？
[01:36.800] 裸车的话优惠完在25万多
[01:40.840] 中配的。
[01:42.420] 没有中配C200就一款，您在网上看的话应该是有一个动感情，有一个时尚型，
[01:48.410] 实际上等于就只有时尚型，动感前卫除了外地选中上外地牌的话，就只能以公示价销售，没有额外优惠，这个你得提前知道。
[01:58.720] 没有东西有那公司价值吗？我们可以卖，但是可能与公知价销售，
[02:04.110] 同时价的话30块50 8000这就搁置了，来没事，对最好的只能根据当地开优惠多少钱，有没有车，如果真是当地优惠的时候或者说没有车，
[02:13.820] 你可以考虑在北京，
[02:15.670] 要不然就没意义了。
[02:17.500] 对。
[02:18.810] 安排
[02:20.440] 山东。
[02:22.030] 山东估计这车是吗？
[02:25.110] 河南山东。
[02:29.570] 这里优惠大要求最少的话，北京有个6万多的
[02:34.920] 但是他前提条件是通常
[02:38.340] 这边我有经常
[02:40.230] 国际大厦也可以。
[02:42.810] 好看。
[02:45.100] 北京的价位都是还是花色两个车子这样，然后跟车大小尺寸完全一样的，2601.5岁，谁知
[02:56.770] 女士开旅社开发完全不大小指挥，是不是这样的？
[03:01.600] 水洼的话勘察通知他都可以先喝点什么？
[03:08.480] 他等于是。
[03:09.750] 是200，
[03:11.020] 有种感情情况的时候，实际上在售的200就是时尚，
[03:16.320] 购买925 25万抵押要算下来20多部钱下来大概差不多在9/2左右，然后车架在案金牌的话用完之后是25万多，
[03:26.500] 他是315,800，
[03:28.280] 然后现在又是63,000，
[03:30.500] 一共63,000还是25万多了，全在其他的账户余额，也加上客户对保险上牌那也不是。
[03:37.730] 不换车，我火车。
[03:39.510] 我老车的话那就经常25号车，但是你在北京不存在什么车的问题。
[03:45.010] 金牌对，你在你上京牌的话就不存在堵车的问题，那房子那还早。
[03:52.190] 好。
[03:53.300] 你倒的话那就等于也是在北京上牌了之后再过出去吗？
[03:57.680] 那时候破的过多少，在多少天做过出去，一个月左右我们就不管正常的话给你上传保持手机就正常过来，
[04:07.060] 对吧？这个还弄不到外地。
[04:09.980] 你单直接提到外地去的话，那就315,800就没有多少钱。
[04:14.200] 他应该有我们他不卖，我们卖了。
[04:18.170] 一共拿了
[04:19.280] 27万美元还算对，那就不划算了。
[04:22.910] 你超2万，因为你再从北京打过来过去，你这还能稍微跟差价，你看我们北京买上海之后315,800，你还比你当地
[04:31.900] 贵了算呢。
[04:33.360] 但是
[04:34.300] 对这块我给您大致的查一下，后来跟您说稍微我问一下，看着之前咱们根据我共同维护单位什么时间，
[04:41.350] 简单的给他分享一下，客户一共比上代产品经营，我知道我买了一个资金公司，我们通报销售成本都是都可以在这里，下回咱接通电话，088188也欢迎监督买完了，
[04:55.880] 是吧？对奔驰现在还是行业内第一个承诺不处理，就是在这块。
[05:01.070] 坐着我给您查一下。
[05:06.230] 谁不用让我用了？
[05:08.550] 我了完了手动了，原来我用一下。
[05:11.920] 干嘛？
[05:13.230] 做什么
[05:14.130] 来？
[05:15.880] 影响我这看大白菜的情况。
[05:19.400] 他这样
[05:27.360] 划得快。
[05:28.540] 我看那边我知道您看过的话，我让跟你聊着天，
[05:32.700] 不要条件了再
[05:59.600] 我接到什么客户不是
[06:01.390] 保养6块1。
[06:03.580] 下机吗？
[06:07.960] 小妹加入装吗？
[06:11.310] 你再找一下吗？
[06:14.930] 我说有。
[06:16.280] 你旁边有哪个销售工行答，我的车找个车能听进去。
[06:21.200] 刚才
[06:22.990] 三
[06:24.370] 电车。
[06:25.830] 后面那边。
[06:27.950] 这座
[06:37.350] 989松木实力，
[06:51.270] 这是亮点，什么都还给你讲解一下吗？
[06:55.560] 祖母是绿飞，
[06:57.730] 有一台现车足沐石绿黑内有一点症状，
[07:00.880] 白色的话大概差不多一周左右对吧？
[07:03.880] 白天都没见出来没现车，然后的话基本上月初就能拆线。
[07:08.860] 所以说您那不就可以赶紧确认一下，看到底是怎么着，如果真是说有指标在这边搞一把的话，也可以提前考虑并和生产月工资上一二号的把。
[07:18.400] 也他就分两款是吧？
[07:21.370] 可以，就一款，200的话就一款，您实际在市场上能看到车的就这一款就是时尚。
[07:29.480] 时尚起义，对，然后。
[07:31.000] 您在网上看的话，你实际等于跟咱们一样都能看到三。
[07:34.940] 款我看。
[07:35.670] 三款没有，就只有两款看一下。
[07:38.240] 三块钱。
[07:41.170] 你不用看了，肯定实际载数只有这一款，这个不会错，我。
[07:45.160] 我看看实际在售就这一块，
[07:47.670] 一块是哪一块，我们
[07:55.700] 这个是哪一块？
[07:56.940] 这不是三口吗？
[07:58.360] 20 200L改款，
[08:01.420] 3078这个没有，就这款。
[08:04.790] 202031 31万。
[08:07.510] 5800这不两个这俩是一样的。
[08:10.420] 你看指导价就知道了，这俩是一样的，对指导价是一样的牌子吗？是一样的，对。
[08:16.940] 你后边那俩是一块喝酒动感，没有这车没卖了，
[08:22.690] 重点的实际上没出。
[08:24.890] 就这块对实际在售就是315,800这1块3
[08:31.280] 已经
[08:43.110] 就那一卡车。
