[00:00.000] 捷克后来。
[00:06.870] 数据、
[00:27.120] 场。
[00:28.120] 你好王律师吧？
[00:30.080] 店销售顾问王超，这是我名片。
[00:32.590] 杨芳女士第三发电。
[00:34.250] 电话预约过吗？现在您给您先看一下奔驰的服务公约，这是对咱们客户说有利的地方。
[00:41.250] 听见了怎么黑了？
[00:50.680] 简单跟您说一下咱们这红
[00:52.340] 公约关于后备军以礼相待，重新进行合法得体，明码标价、公开透明配件渠道信息公示，绝不客房销售强制消费，绝不使用假店就送。
[01:01.040] 下面4008181188直接进站针对于我们服务业的电话，
[01:06.760] 而且我们奔驰所有汽车行业内唯一承诺分析顾客服务收取服务费品牌，现在一批特价车价格也比较合适。
[01:14.890] 回去赶紧看一下。
[01:16.980] 这还有什么茶水咖啡什么？
[01:19.140] 他交C300用的，
[01:21.700] 这300动感咱们咱就没放，赶车放的都是260，
[01:25.640] 大小都是一样的。
[01:27.030] 都是都一样吗？没事也都一样。
[01:29.080] 一些特别的配置差异，现车有现车。
[01:34.380] 黑内或者没有，现在有财务应该意见打不开嗨。
[01:40.330] 帽徽中卫。
[01:42.810] 磨黑就是黑的是吗？比黑曜石
[01:46.050] 稍微浅一点，你灰色要深300的300种。
[01:50.840] 石墨黑分类，您上北京牌吗？毛女士，咱们摇号置换，
[01:57.190] 生态退化，什么时候质化？
[01:59.630] 凤凰很经典的故事，
[02:01.660] 哪年的车？
[02:02.880] 10年10年了，还没改款的圆灯不管是吧？
[02:06.700] 你说你开始什么了是吧？
[02:08.540] 今天没开，我说哥您平时开什么？
[02:11.350] 挺好的。
[02:13.180] 准备拿车进行置换掉了。
[02:15.400] 看的就是咱们加入C这款车，在其他家看过这款车吗？
[02:19.360] 也看过。
[02:20.370] 再评价。
[02:21.100] 然后再对比价格，近期都是反映购买了。
[02:24.430] 您是全款购车分期购车全款是吧？
[02:28.550] 我知道就看到你们价格怎么样。
[02:31.890] 之前在哪家面您看的。
[02:36.820] 反正比较偏的店。
[02:39.230] 钱大家价格差不多，电费300，大家车都不太多。
[02:43.200] 因为这种车一般到店一个月大概。
[02:46.740] 15台左右。
[02:48.080] 玩一般都是陆续到店那种。
[02:51.740] 所以你就给我报价。
[02:53.340] 咱们车行不需要再多介绍了是吧？
[02:58.070] 我们有私家车需要在您做试驾吗？暑假是要直接找。
[03:02.690] 价格合适。
[03:04.180] 行，咱们找个地给您算个报价。
[03:07.710] 首先没有上车，
[03:09.090] 现在咱们房子。
[03:10.360] 很着急是吗？
[03:13.670] 还好。
[03:15.480] 一般我了解到基本上所有市面上都没有翻版的歌。
[03:20.880] 我主要想要黑外内，
[03:24.080] 封内也还可以。
[03:26.870] 我知道要给您查一下我们图表。
[04:07.030] 产品做的
[04:11.520] 就拿那个东西了。
[04:13.110] 不用他直接通过上面的信息了。
[04:18.200] 下来。
[04:28.300] 黑内饰是吧？
[04:31.750] 今天还分到一台
[04:34.140] 电车，
[04:35.240] 就被订。
[04:39.350] 刚才您说石墨灰车站，
[04:41.930] 然后刚到了一台在孔还没到
[04:44.600] 推销中国，
[04:46.540] 而在定黑车、黑
[04:49.680] 黑车、
[04:52.680] 结合
[04:56.170] 8月12号生产快的话8月底慢的话9月份
[05:00.310] 太晚了。
[05:01.880] 9月初您就车什么时候验车？
[05:04.920] 9月。
[05:06.460] 他应该到9月底都可以，但是这个时间有点
[05:10.200] 在尽颜色，这符合您要求的。
[05:14.400] 对，黑外黑内你要不想等的话，咱们就来再读了。
[05:18.280] 在的室友吗？
[05:19.840] 备课中。
[05:21.010] 其实黑车中要比飞车飞卖的要好一些，因为外观是黑的，里边是
[05:28.000] 他要是的。
[05:30.500] 我打个报价单算个报价。
[05:33.680] 不算成交了，因为我马上就要准备提车了。
[05:38.450] 我要按我的最高权限来给您算一下，咱们是全款都是吗？
[05:43.200] 多少？
[05:44.230] 因为我在别家已经看好价格了，
[05:49.760] 但是我就在这附近，如果你们家价格到位的话，马上就可以定。
[05:56.550] 给您报多少钱呢？
[05:58.810] 没问题吧？
[06:02.760] 他主要是用现金优惠，然后又送1A1B还有保险，
[06:08.330] 因为一闭都是厂家赠送7月份购车开票对吗？是多少？
[06:12.340] 哪一块138163交C什么394,800，
[06:18.770] 394,800。
[06:23.890] 这个是厂家送的一个ed，7月份公司好像就业B就送一是吧？
[06:30.330] 再加2000~2，那就是你们家也算是吧，对都送也不算优惠。
[06:35.090] 这一行期间厂家特额外优惠，而且厂家还有一个就是分期购车，
[06:39.540] 刚才给您介绍了奔驰分期购车部门有服务费吗？这车总数51.82%，利率非常合适。
[06:46.270] 这个不考虑你就说全款的话跟都一样，这都是一种购买方式，也愿意全款全法院申请分析，我肯定是全款。
[06:54.860] 这个不用你说了，就是说
[06:59.350] 咱们这边还送了
[07:01.800] 保养券送的。
[07:04.230] 您到前台登记。
[07:06.200] 我给你安排一下，我这边介绍客户先生。
[07:10.350] 稍等我去拿来把它
[07:15.560] 好了。
[07:16.360] 评选中国观众没有。
[07:19.790] 谁知他好。
[07:26.830] 直接威胁。
[07:28.480] 直接拿其他的可能。
[07:31.990] 到。
[07:33.020] 出来
[07:34.230] 打，
[07:36.330] 把咱们
[07:38.010] 到
[07:51.170] 到了
[08:49.600] 原来
[08:51.690] 的
[08:53.840] 好吧？
[09:20.160] 看一看这边
[09:22.710] 好的。
[09:30.840] 咖啡。
[09:35.990] 的
[10:54.480] 您好，
[10:55.940] 好。
[10:57.510] 号
[11:02.560] 21
[11:04.200] 还要。
[11:06.120] 你说半期了大概31万多。
[11:10.310] 对，31~32差不多。
[11:19.510] 对个能优惠77,000。
