[00:00.000] D一还有个20多天，一个月应该不去保养是吧？我一个人一头两公里，
[00:07.190] 我用天算
[00:08.200] 一年或1万公里。
[00:10.780] 网上那边太玄了，陈老师开的你零60迈我。
[00:16.230] 弯道也不是特别急。
[00:18.850] 点一下刹车，刷就往左的甩尾巴，
[00:24.710] 还是刹车就完全。
[00:25.830] 爆死了，4个人都不动了，车停住了，没有停住就溜了，
[00:31.020] 打滑了就没整个车撤滑了也对，然后我稍微松点刹车，往这边跑了三三千。
[00:39.910] 有点因为。
[00:40.970] 地下是不是地下有泥什么的呢？
[00:43.040] 没有视频中，
[00:44.720] 目前一下来柏油路。
[00:47.260] 转型路开始对速度也不快。
[00:49.680] 速度。
[00:50.500] 当时也不快，60万。
[00:52.290] 不超过60万。
[00:53.390] 又10万一个转弯，对三个转弯三个转弯应该是。
[00:57.690] 就点杀我这个点。
[01:01.580] 不至于从来没有碰到过开什么车都会碰到这种情况。
[01:07.800] 你感觉轮子就暴死了，
[01:09.800] 动不了了，
[01:11.140] 完了熄了火就好了。
[01:12.350] 了，煤气也没熄火没吃火，然后我就松刹车，松叉车它只能才能把。
[01:18.990] 打开，
[01:19.800] 这孩子天天反正就看这什么运气。
[01:22.660] 哗就冲着那个书就去了，
[01:24.940] 到了跟前挣我赶紧不易再往这边掰，他往那边冲，我肯定是往这边掰了。
[01:30.890] 仪表里有没有什么灯闪的，abs没有，还有一个问题，
[01:36.890] 这天是
[01:38.700] 不知道就车灭了，音响好像是喇叭还在想坑什么的，
[01:43.520] 然后你也查一下音响灭了，这车灭了，反正还有那种像喇叭的声音在响，
[01:50.330] 灭了火了音乐的声音吗？唱出来声音没有唱歌的声音，就像喇叭绷的那种电流声，对。
[01:58.320] 这是还有一个他
[02:00.870] 我看防侧滑的怎么登也这样，应该黄色完了没得按按我先接电话。
[02:09.280] 你好。
[02:10.490] 谁知
[02:18.190] 解决了，谢谢您。
[02:20.140] 说明天过来。
[02:22.950] 好的，谢谢。
[02:26.560] 再见。
[02:30.880] 我还算有点经验，没经验，我看一下哪个灯不亮，来我看一下。
[02:35.340] 什么防侧滑也不量，那个店了以后，因为它量有一个黄灯亮吗？
[02:41.360] 电瓶也不行了，打车费劲。
[02:44.130] 不对，这杂活儿也是电瓶也不行了。
[02:49.350] 你早上走。
[02:51.320] 拿过去。
[02:52.900] 达火也不行了，上火也不行了，是对。
[02:59.040] 我以为电瓶还是什么原因，你再查一下。
[03:03.560] 黄色华的一个还经验的。
[03:06.170] 我的医生你怎么看？
[03:08.100] 没有吧？
[03:09.120] 有反应。
[03:11.400] 我这个朋友接电话这电话真多今天。
[03:13.910] 你好。
[03:16.960] 是的你好着。
[03:18.840] 无论是
[03:23.180] 马上快有结果了，
[03:25.280] 马上快结果刚走完，
[03:26.890] 一会就能给你结果。
[03:30.280] 我说不是，我刚去车间看完，师傅说一会就给我结果了，
[03:35.320] 就这样
[03:36.100] 给我结果马上就告诉你好吗？
[03:38.920] 好了先生，好再见。
[03:56.680] 保养还有1300公里做吗这次？
[03:59.910] 还有1300对，还有1300公里地板养现在住还等1300再做。
[04:07.900] 都行，你不想再跑一次就一起做了，就不用再换了，对。
[04:14.580] 弟弟保养是吧？对有优惠吗？有优惠都有优惠，你帮我看看有没有这个功能。
[04:20.920] 然后还有5
[04:24.190] 跟我一样。
[04:25.260] 尺寸不一样还是型号不一样，那是自己换了是吧？我是在临时当时在外地没闻了都。
[04:34.250] 那就换一样的不一样的对外回来，
[04:37.360] 这不那也有关系是吧？你知道监测的电脑监测它的轮的速度不一样，他会肯定
[04:43.350] 电脑监测到可能有危险，他必须给你刹车，
[04:46.960] 不刹车技术块的话你就有危险了，
[04:49.430] 设施强迫你快发疯了。
[04:57.370] 但还有一个我去年没有换台的时候，走离路上甩屁股摔得特别厉害，在屁股上。
[05:03.880] 那是什么原因？这车不应该，我跟您说他在泥路上后我穿的整个车载甩，不管是后屁股整个车子甩了，
[05:13.330] 就这打滑。
[05:15.370] 还有
[05:16.800] 黄灯亮是黄，我记一下你这多了，这太多了，我到时候跟师傅描述我都记不清了。
[05:24.790] 第八养你你已经录甩尾，
[05:27.900] 尼禄摔尾，
[05:29.660] 那是没换台之前。
[05:32.480] 也是去年
[06:29.280] 百园路出现60迈，行驶的时候三个转弯，
[06:33.260] S弯对。
[06:37.020] 就暴死了，一个是报复了。
[06:53.490] 下雨天
[06:54.880] 每天是吧？是60万，那是与香味还是滑了是吧？
[07:00.630] 还是怀了电脑监测路滑了应该是。
[07:05.010] 怎么会失控，怎么着？
[07:07.770] 你感觉失控了，实际电脑在是嫁给你，为了你安全着想，他给你
[07:12.080] 做刹车制动，不是策划也是我采的时候它就对他有个防侧滑吗？
[07:18.390] 你要如果没有这功能，估计你像那个速度，可能你就像说旁边说什么就可能价格了，
[07:24.520] 他已经介入这个功能了，
[07:27.890] 挺严重的，已经划了划得很厉害了。
[07:33.270] 他电脑要有记录这些。
[07:35.500] 要如果是有问题他有记录，他不是问题的话，比如说这个系统出故障了，它会系统记录，如果是正常工作了，
[07:45.040] 比如说abs或ESP起作用了，
[07:47.900] 为了你的安全它起作用了，他就没劲没记录了，电脑没劲要刹车，正常她不会发生那么厉害，那只是你感觉
[07:55.570] 那只是您感觉的说华能厉害在电脑，不是你他已经都离开路面了，离开路面都把你录底下去了，都快，对，反正要下去了，已经挨着我在路走。
[08:08.190] 你这边倒走外车道走走道里边去了，楼里边然后又
[08:14.110] 出外边了。
[08:16.180] 应该有这种挺严重的实际上。
[08:19.080] 因为我们咱也是老司机了，他干错觉跟是不是一回事儿的？
[08:25.160] 就是空空
[08:40.070] 泥道上也是挺恐怖的，你像两驱的车他也不至于划成那样，
[08:49.790] 一路上也就三3三10迈，
[09:00.110] 你看我描述的是不是这个意思？在雨天柏油路行驶大概车速60迈，
[09:06.470] 有三个S弯，
[09:07.940] 出现刹车、报纸，
[09:10.290] 车辆偏离路线，对是这个意思吧？
[09:22.310] 给我就行。
[09:23.400] 还有一个就是泥路上，
[09:25.300] 我写了
[09:26.600] 尼度甩尾，对。
[09:34.390] 还得黄灯是解除防滑还是什么？
[09:39.140] 不用这功能了。
[09:41.180] 不用防滑功能了，他不过是开的是繁华，这会起作用的，如果是我们
[09:46.910] 做刹车系统的测试，或者是你到检测场去验车的时候，他要把关掉，
[09:52.310] 不让它出现报纸，
[09:54.520] 那个事没什么用是吧？平时也不用就那黄灯的。
[09:59.980] 对，这是一个开关，哪个管道开关有用，现在是关了。
[10:08.160] 这样乐观真正开的是默认是打开的，
[10:12.700] 大概就是增长的
[10:26.360] 流动还有什么？
[10:29.280] 哪个轮胎是换过的？
[10:31.030] 后面的话这是原来A
[10:33.840] 这是我得换成和你原车一样的，哪个是原车，后面是原车的，这也不是原车的车，
[10:40.680] 我这没法换的。
[10:43.080] 轮胎你就自己找地儿，换了点这个轮胎我自己去找了，没法换的，我画的画就4个都得给你换成。
[10:50.300] 你这样也不行，对
[10:52.190] 行驶肯定有影响，对肯定有影响。
[11:03.280] 完了自动系统826560 28，
[11:07.470] 不是我26560 28，
[11:11.150] 2660 28。
[11:13.890] 28厘米。
[11:36.090] 元台是载她吗？
[11:38.160] 我说了。
[11:39.370] 你得换成跟你绿本上一样的，到时验车什么都麻烦。
[11:43.560] 对。
[11:45.120] 没管不要了。
[11:46.540] 你这看型号一样，你这左右都不一样。
[11:50.530] 现在你们验车估计这不行，两个左右都不一样，一样，前面不一样。
[11:56.060] 前面不一样，
[11:57.930] 前面两个也不一样，我用了左右都不一样了。
[12:03.430] 给了钱左右一样，应该是一样的，左右一样都一样。
[12:08.390] 左右一样。
[12:13.680] 左右是一样的。
[12:18.400] 前面两个是一个，后边俩是一个，对。
[12:22.970] 同轴一样没事。
[12:24.530] 你要说要同时不一样的话那就不行了。
[12:27.780] 明白，从头是一样的三角形。
[12:30.310] 您到时候3404轮定位没必要做，现在你轮胎不一样，做出数据做出来也不准。
[12:37.130] 明白了，我不能
[12:38.740] 我爸爸让他们做饭菜的，
[13:50.150] 来金瓜
[13:54.360] 我现在接不了，这事还没接完。
[14:00.260] 你看冷静能接吗？找冷静。
[14:03.000] 章冷静不清，回到轻轨那种冷静，我现在接不了，人家不让他
[14:15.130] 大哥你告诉我，
[14:16.320] 我上了我今天来过电话的话，到时候我也不知道
[14:21.050] 了他的
[14:22.840] 我说业务员找市场没法，我跟你联系咱家早就挂了，我就说啥话就算了。
[14:29.330] 完了冷静长大了，
[14:30.740] 算了我怀孕了，感觉放了文静了。
[14:34.870] 他因为怎么着，他要我说我们今天都干嘛，我说这里边我这东西都哥们什么模式，
[14:42.130] 我说这不用给他这，我就
[14:43.820] 两个到了这，
[14:48.800] 车这个角都有小伤油漆，
[14:52.390] 后面也有。
[14:58.870] 在
[14:59.920] 这边来。
[15:24.560] 你不要我
[15:25.810] 我没法说真的不太高兴了不得行告诉你。
[15:30.310] 好了，先生咱进屋。
[15:33.070] 行，这是我说他们要
[15:36.570] 和
[15:43.820] 卖车的好好。
[15:46.000] 行投入到这边算了，行行，估计他的西轨道什么差不多。
[15:59.820] 这边
[16:01.190] 到了
[16:19.290] 这双
[16:21.940] 陈律
[16:35.030] 有些
[16:36.880] 对方给
[16:41.000] 您的身份证或者驾照了都没拿上，好。
[16:47.920] 身份证号3328231019900421732 73F
[17:04.430] 二
[17:09.830] 号
[17:11.170] 的。
[17:18.480] 要
[17:21.950] 结束
[17:41.720] 提出的。
