[00:00.660] 接待二。
[00:01.620] 二次客户李女士趁着要
[00:10.160] 明天是这样。
[00:16.820] 张军。
[00:18.320] 光真没有。
[00:19.810] 谁知
[00:21.330] 扎一样的。
[00:24.770] 人员上台，你包括开了
[00:27.670] 到家。
[00:29.440] 对。
[00:43.480] 正好撞一起了。
[00:45.960] 我来了我还得找小丹，您这是今天有事是吗？好几个事儿，然后
[00:52.510] 还差不是吧，我和我
[00:54.440] 还是一起的吗？不是吧，对写的。
[00:58.250] 看最后决定哪款。
[01:01.670] 谁知
[01:03.110] lc260豪华，
[01:05.490] 大概有300 300。
[01:07.400] 300也行都行。
[01:09.260] 咱做
[01:12.360] 咱去这边没地儿到了，烧坏了。
[01:17.340] 车怎么着这车都换了。
[01:20.180] 这样对面的车也有车。
[01:24.210] 车的那边那个事的话，这SE260动感型的三号，
[01:29.220] 300的话没有展车。
[01:32.480] 300三三三三百的你只能看是下车，下车可以想看一下。
[01:38.490] 看看看一下开远市下车的我拿钥匙你稍等。
[01:42.920] 我说。
[01:44.330] 等等
[01:45.820] 数据
[01:48.380] 场、
[01:51.910] 场
[01:53.000] 数据
[01:55.870] 数据。
[01:57.880] 客户绑在一起，
[02:05.160] 让你才跟你在哪你帮我带不客户了，两个客户一起来了。
[02:11.510] 客户
[02:13.080] 接客户。
[02:15.480] 客户
[02:19.020] 的
[02:20.140] 的。
[02:22.560] 干嘛去？
[02:25.100] 谁知行行你说说好吗？拜拜。
[02:32.360] 都能看见库存有您用科技应用就不用了，
[02:36.410] 非得赶在一起两个我都服了。
[02:40.060] 一会先帮我评估个车，
[02:42.890] 走这个客户在别处都评估过了，
[02:46.040] 再别说别的店去过，自己在瓜子什么也都不过，是对比过就好吧。
[02:51.960] 这不算说明他卖不了，就是当一个现代
[02:55.920] 销售不是很好的。
[02:58.750] 现在
[03:04.620] 这都不是最新的吗？
[03:09.360] 都规定了。
[03:10.830] 这边是对吧？
[03:19.800] 我这打不开，我妈去看这个附表我怎么先老子打的不对呢？
[03:35.410] 现在两个客户赶在一起，
[03:42.690] 李姐。
[03:44.100] 您进展厅了是吗？
[03:45.700] 行，您在这摇B等我直接带我们师傅看一眼您的车。
[03:51.710] 还是怎么着？
[03:53.450] 看一眼就评估一下你。
[03:55.800] 特别远是吧？
[03:58.210] 我快到了。
[04:00.910] 那也。
[04:02.170] 那也可以，那也行。
[04:03.890] 先看一下看是怎么着。
[04:07.410] 先看一下，行，我带他过去找您。
[04:10.800] 好拜拜。
[04:13.950] 3点。
[04:15.640] 好吧，先看一下你这边空调。
[04:18.420] 把那客户大奖
[04:33.450] 这边
[04:37.130] 咱们签。
[04:38.360] 稍等了一下。
[04:46.000] 要那么大点告诉大家明天收了。
[04:50.790] 理解。
[04:52.360] 就我们评估师，然后他。
[04:54.280] 一眼南车，阿姨咱们可以看一眼您的车。
[04:56.510] 车，然后正好那边有一个客户你们同时来了。
[04:59.330] 然后我去跟他说几句话，你们。
[05:01.600] 先看这车行，谁知往
[05:05.090] 往往前走就在路旁边是吧？
[05:07.800] 开始进入停车场了，停车场就行，我们洗车房子后面对了，没什么事目前。
[05:16.130] 新闻
[05:17.480] 手机都带了。
[05:19.070] 您只要把10日本做就行了，觉得我先不要待着，咱们盒子然后是一个我车旁边就行了，那样白色的保时捷应该是。
[05:29.830] 像这样，谁知08年的对。
[05:34.480] 因为企业家你先那什么，我去那边说句话你吗？
[05:47.070] 我是大车都
[05:48.330] 吃下去了，出去找医生旁边，然后下次你下药，等一会私家车回来了，在开
[05:54.170] 在中间了20分钟了，在这边好了。
[05:58.440] 那天啥都对，今天是您要是这房产的话，三他都有现金优惠，等会给您算一下。
[06:04.750] 好。
[06:05.710] 260也有，
[06:06.900] 200也有，20 360不能做。
[06:09.210] 对他
[06:10.720] 特别优惠，要是想走也可以在网上看着，然后在那边看看还自己睡就行了，你刚才说今天的时间要长，你看看那边准备好完了辛苦就好了，然后你也差了。
[06:26.440] 他
[06:27.790] 放在一起。
[06:29.530] 真的。
[06:31.240] 你要26号华的话，
[06:33.570] 现在你要什么颜色有黑色？
[06:35.830] 没有。
[06:37.040] 黑色的，现在也有现出2003版的话，刚才我给您查一下，刚才我看也告诉了，
[06:43.270] 需要今天有什么优惠，
[06:45.510] 今天有现金汇就在上头给您算的，技术上还有一些现金优惠。
[06:49.880] 上次来看那个单子带了吗？
[06:53.680] 上次给您看到单子带了吗？
[06:55.890] 没带是吗？你没看到现在是一名。
[07:03.860] 你多申请点优惠，要不然我就等着压抑了。
[07:06.600] 您要是再早点，你要再等两个月肯定比现在贵一些。
[07:11.440] 真的不再给你撒谎了。
[07:13.470] 如果说一年到时候怎么
[07:16.100] 不是，我说比现在不会说大幅度的涨，因为今天是涨的也涨到3000 5000的这种情况。
[07:25.520] 这样有活动现场。
[07:27.590] 这个模式的话300三三人，
[07:33.790] 底盘发动机
[07:35.550] 咱不能让，但是这样的话会差异的
[07:41.720] 要
[07:46.960] 完了吗？也行。
[07:50.120] 主要是看你们是想要，反正看您要300还是想要2.0都行。
[07:54.700] 一会儿等零300我都给您算。
[07:56.440] 一下330多。
[07:58.540] 要300枚，300优惠的少，因为300的话现在它本身车就少1000，针对优惠的话可能会更多一些。
[08:07.410] 喂张哥。
[08:09.970] A。
[08:13.800] 没有。
[08:22.810] 行好。
[08:27.000] 行。
[08:29.460] 坏
[08:30.550] 场。
[08:32.120] 200。
