[00:13.040] 开完了是吧？
[00:15.270] 就行这个行。
[00:25.480] 你好，我是百得利之星奔驰的销售，您在什么位置会接待您光辉？
[00:29.830] 正好有台。
[00:37.390] 我想
[00:38.400] 你看着老太太不是想象的，完了在不在琢磨，
[00:42.410] 没了解过这车子排量应该是
[00:50.890] 你们朋友了。
[00:56.780] 网上。
[00:58.360] 黑马行业的就是
[01:10.890] 山林黄。
[01:12.040] 来自我介绍一下本店的销售姓马，行，谢谢您，不好意思让您久等了。
[01:17.330] 王先生是吧？
[01:18.840] 我看看什么创业，想看看为了想看SUV，想看看交B
[01:25.170] 对你先说间接的对吧？这款车
[01:29.640] LV这款车的话是今年新上的车型，对，现在目前
[01:34.730] 内饰包括外观都是全新一个设计，它没有前代车型，
[01:40.770] 不像什么小C以前有老款的什么，然后C有老板，什么S的老板，
[01:46.440] 这就是全新一个车型。
[01:48.370] 对，然后他的话
[01:50.260] 内饰也是现在奔驰最新的设计语言里边都是这种贯穿式的烟，
[01:56.820] 包括像S级一级什么的，用的都是这套内饰。
[02:00.700] 整体空间的话，它算是SUV里边比较实用的车型，
[02:05.040] 大小也合适，空间也合适。
[02:07.780] 然后又是SUV的车身，
[02:10.180] 它整体的车辆的话定位
[02:12.560] SUV入门的这种风格，
[02:16.380] 价位区间的话基本上都是在30万价格区间。
[02:19.660] 对他有高低配之分，它高低配的主要的区别在哪？比如说它高配的话是7段，
[02:26.590] 然后dk是武断。
[02:28.700] 对，然后高配的话可能有电尾门，低配的话可能没有电尾门，
[02:33.860] 然后高配的话可能是
[02:35.970] 电动调节，然后dk是手动调节，
[02:38.890] 那就差在这了。
[02:40.770] 像现在白得快，
[02:43.930] 这是他的200的5座版，也就是gl B200的动感型。
[02:50.050] 他车长多少？
[02:51.080] 一公分长的话是4米63。
[02:53.960] 进去现在是几时几分4个车型，有两款180，两款200，
[02:58.800] 180是什么？180的整体的动力稍微再低一点。
[03:04.700] 对。
[03:05.780] 它的价位。
[03:07.200] 价位向180的话就低于30了，就指导价就低于30了。
[03:12.850] 整个全拿下来。
[03:14.840] 落地价是多少？这车钱优惠。
[03:16.790] 力度也非常的大，这车的话现在是优惠4万。
[03:20.050] 也就是说他比如说。
[03:22.620] 谁知29万。
