[00:00.000] 对。
[00:03.790] 把。
[00:31.240] 关键昨天叫什么博瑞祥驰。
[00:35.200] 他们现在感觉很小那个地方。
[00:37.740] 还是国企？
[00:40.610] 他这个国企就感觉大家都是那种蓝的状态知道吗？
[00:45.170] 钥匙给你，然后驾驶本上的行驶本发没是不本都不要。
[00:51.410] 什么都不要了。
[00:53.390] 来。
[00:55.500] 这
[00:57.110] 这个就得让我奇怪了，您那个什么了？
[01:01.060] 不巧您直接进去到前台rather。
[01:04.160] 我这卡有客户，完了开始厂子谁给您接一下？
[01:07.410] 湖北祥暂时。
[01:08.790] 不会动是吧？应该不会对。
[01:11.090] 后背。
[01:20.720] 从这出去
[01:21.960] 红绿灯过马路，
[01:25.430] 后面看我这边
[01:26.530] 走了，就这样人先蒙烧了。
[01:41.590] 昨天那事这声音我好，我都快崩溃了，我跟你说。
[01:50.150] 我都没这么开，这么晚还没试过生产。
[01:55.400] 也是有杂音是吧？惨着我们
[02:03.650] 也是的声音。
[02:05.990] 能听出来我礼拜四。
[02:12.480] 你说的就是声音。
[02:14.730] 真是好像不是这个是我说的声音，不是这个事。
[02:17.640] 对，因为我都是闭着敲门，我看毕这上面是不是。
[02:20.570] 你这感觉是什么？
[02:32.420] 你关注什么可能听听听不见，
[02:38.100] 听是不是这个声音不是。
[02:41.440] 外面听到你踩的时候，刚才你那个同学描述那个声音特别准确，
[02:47.440] 叫什么子牛子牛的采的时候，
[02:52.430] 他这才在这里的牛牛，
[03:00.230] 脚链谢了，
[03:01.440] 把红色的谢了。
[03:04.010] 把这完了给搁了个变形了。
[03:07.070] 红色脚垫别插在这下边。
[03:09.580] 这脚这就卸了，咱自己解不了。
[03:15.420] 人家本来人人着太板是这个形状的，你非得给垫一东西给它变得变形了。
[03:22.950] 他能不想吗？
[03:24.530] 但是他以前这一年都没想过这酒店坏不来，不是这就磨耗板坏不了。
[03:29.820] 不是他这个声音我跟你说他不是物理的声音，我知道除了轴这块，
[03:35.700] 轴这一块别的想不了。
[03:39.870] 不是我踩的时候我怎么感觉是车里边的声音，不是肯定是车里边就轴这块吗？
[03:47.430] 他不是那种无理的接触那种声音，是感觉E彩的时候是这车什么仪表盘这里边那种声音，
[03:55.790] 比较盘里边的声音不是踩的时候是那种声音，
[03:59.100] 他那个东西得起步，还没起步我还没试过。
[04:03.310] 他是那种的。
[04:07.830] 深挖一下。
[04:16.490] 怎么了？
[04:19.160] 现在等我的我在外边接着车子，
[04:28.150] 你这一天能接多少个？
[04:30.820] 1010多个。
[04:36.560] 你们这上班真早，
[04:38.660] 秋天
[04:39.420] 还得快快的乱七八糟了。
[04:42.650] 看到
[04:45.440] 去打的时候是碾盐湖那种。
[04:52.960] 脚尖肯定是不行了。
[04:55.360] 时间长了脚。
[04:57.310] 脚垫肯定也是不清楚，对，踏板本来人家这喜欢也会给他谁给他垫，给他垫了东西，他容易给它定变形变形了。
[05:06.070] 轴的那块已经变形了，能看出变形了是吧？轴这块想保修不了。
[05:14.280] 给各的，
[05:16.210] 是不是？那块你那块我就能知道。
[05:21.350] 不是底下就不是脚底下声音。
[05:24.490] 你谈的时候是吧，还有声音吗？
[05:27.600] 就是黏糊糊的声音。
[06:06.200] 我那个时候
[06:06.920] 我跟你开多少人没关系，
[06:13.230] 跟开段时间没关系是吧？肯定比如你对你说电流那事儿，
[06:18.920] 肯定不是说发动机，你说开断热了它会出那个声音。
[06:24.430] 主要是热热，
[06:27.050] 热了它会有那种声音，
[06:52.270] 给我发视频声音巨大的声，
[06:54.720] 我怎么能出来生，这就感觉燥，感觉我总觉得在这里边跑不出来。
[07:01.530] 有点什么。
[07:02.950] 爱上画上去就
[07:06.560] 但是你们得上班是吧？
[07:08.390] 我肯定不可能非法了，还有个约的打电话对让去接受过去了，对。
[07:15.180] 到时候到那啥等这时候
[07:18.310] 好事不能出去是吧？
[07:21.080] 是否能开车往外出往宽带原理感觉出不来这事儿。
[07:25.680] 你告诉我，比如说我就让他跑5公里让他回来，还是让他跑10公里还能回来？
[07:31.600] 这5公里到10公里对，他不可能这一天就无限时间的专门订下一个车就给你吃了吗？不可能我明白。
[07:47.310] 就感觉因为我每天上下班10公里，
[07:51.850] 一小块就是开了20公里，大概6公里。
[07:55.260] 对，这也不是100%得出现，但是
[07:58.670] 但是确实出现频率很高。
[08:01.480] 你朋友有没有买这个车的？没有吐槽过的对吧？
[08:05.670] 你看很多朋友买这个车的吗？
[08:10.820] 但是
[08:15.520] 他对这个声音目前来说是没啥问题，就是这样。
[08:20.900] 就感觉没他还
[08:23.880] 我没撒谎记得我听我知道我真没撒谎，是不是撒谎的，你说你现在说
[08:29.240] 他有没有那样的现象？
[08:32.360] 对，我就听了就这块的声音，然后仔细听好像就这块的声音，它这里边有一个主机，就是它的主机，
[08:39.320] 谁的主机就是车队屏幕这车的主。
[08:42.720] 就在这块位置上。
[08:45.510] 对这块。
[08:47.960] 隔天几乎就好像一直在响，然后我熄火之后一直在想着什么时候停下来，我就没管，这是一个开关，它想不了，那只剩把拿下来里边有一个主机来控制这些东西，就跟电脑的主机是的。
[09:00.970] 这应该主机下边水机里边某一个风扇或者
[09:06.670] 那个东西都写了。
[09:09.730] 我本来是一开始光幽门那个声音，然后突然出现出来这个声音，我就怕他又连锁的，你知道吗？
[09:15.570] 好在会有连锁的，我自己我都着急修了，一开始我都没着急，
[09:19.900] 我现在才关门的时候搁着两声，我说也没有太大的那啥，
[09:24.590] 等在出咯吱的山，然后那边车灭了拉手摁一下油门踏板，
[09:30.130] 就往下。
[09:31.440] 你怎么办？会不会真的是
[09:34.280] 我他把小袋百%他对着迎办法他有影响，这以后不好说，你不应该插在下边，我这个酒店我到时候还得看一眼私家车的牛扒，就没有交战情况下油门踏板是什么样的，
[09:47.270] 你非得给他底下垫上这么厚的脚垫，
[09:49.880] 等于它会给它弄变形了。
[09:52.160] 我脚垫我自己还拆不下来，像我们家是开汽车保养店，
[09:58.640] 我嫂子回去给我装了一个说，
[10:01.440] 我说是我还好不好拆，
[10:03.720] 我在北京上找别人差，我差到这东西它正好是全包的，对你肯他肯定会有影响，就是大没事你可以找帅打车，我能让他我能找个师傅什么，
[10:14.010] 找外边的时刻直接能把底下抠开吧，
[10:17.360] 把这一块
[10:20.010] 能换一个。
[10:21.460] 你说这个脚垫吗？
[10:24.580] 反正就有影响是吧？肯定有影响。
[10:27.390] 回去让嫂子给我换一套，对于油门踏板来说，
[10:31.910] 很容易就对比，你看到里面去那边拿新车或者在展厅里面的车，
[10:37.720] 展厅里边是拿开车门，你看脚垫下面奸细有多小，料有多厚，
[10:42.590] 能不给他弄点，这都是塑料的，那周是塑料的。
[10:47.220] 轴是塑料的是吧？
[10:49.040] 而且这个东西它慢慢往前走，往往后走的会影响到你比如本身就老蔡肯定不成，
[10:56.420] 它本身就是受力的东西，
[10:58.220] 你塑料的时候那看不到了。
[11:00.400] 油门踏板的先放一边，对他不出车，
[11:06.110] 他没跑出几公里去，肯定就出不来这种声音。
[11:10.600] 跑出去公里。
[11:22.310] 那个地址跟
[11:23.650] 好好多长时间？
[11:26.110] 可能没关系是吧？
[11:28.160] 我总觉得跑了多少距离之后，它里边开始他要是想
[11:32.720] 他不跑，
[11:34.060] 他跟小孩也得讲，
[12:00.870] 这种东西不会在屏幕上抱抱，
[12:06.950] 一般阶段就知道。
[12:09.250] 对，我和电脑检测。
[12:11.680] 感觉电脑是检测的是什么吧？车
[12:14.860] 车发动机相关的东西。
[12:16.430] 让你话说回来，确实你说看见人人家也没听见说，
[12:20.720] 我觉得是他只能告诉你没人你
[12:23.740] 所以都
[12:26.550] 心里
[12:27.260] 比如说你这来一客户说我这车响，我一上来我哪想
[12:31.360] 不想都是那干嘛，不都这样，
[12:38.160] 想没事儿不好意思，您就能试出来，你听这声音就跟我们一样，我们工作他们提bug也是出现不了，就
[12:45.850] 你过来你先给我付线下是复现不了，就比较难受。
[13:02.240] 上一次
[13:02.940] 每天都想，然后昨天晚上想，昨晚上我不是从林翠路你知道吗？
[13:08.630] 枫林村路开车开到幻影就七八公里，
[13:13.010] 8岁就开始想，
[13:16.260] 到奥林匹克公园那会就开始了。
[13:18.640] 正好中间部分
[13:21.120] 他这个是
[13:29.280] 一开始油门我都不再有，
[13:31.210] 人大部分是无所谓的车，你上回你说这句真理，刹车大大小小都有点毛病，
[13:36.690] 真的那种感觉。
[13:43.480] 是不是油门需要通宵吗？
[13:46.600] 光门才有那块太热还是这样，他一会
[13:51.850] 咱们的有关这边发动机我是你
[13:54.860] 油门来找他不影响这个东西说白了只要是灭了车通过
[13:59.830] 他在场他也行，对，他就是熄了火，它该响还是响，跟油门没什么关系。
[14:05.690] 这是
[14:07.270] 是不是学文的事儿？
[14:10.140] 都不想了，我好了，你比如说现在跟你在车里多少，咱想我现在找师傅给你听着哪的事儿，
[14:16.370] 当然告诉你什么毛病需要怎么拆，
[14:18.310] 比较长了。
[14:39.200] 他跟那个线没关系，但是我把线拔下来抱着结果
[14:50.420] 主席唐还有多少人的话，
[14:53.360] 主席凉快儿。
[14:56.610] 还得多长时间
[14:59.370] 来
[15:05.450] 看过。
[15:07.760] 我觉得是不是等如果是不修的话，我觉得这样出现不了的话，是不是等等我哪天
[15:13.820] 一响，然后我就
[15:16.510] 直接开过来，
[15:18.230] 在路上想到了跟上帝想，我遇到的这几次是这样，只要不灭车，
[15:24.610] 不是灭了车，他也想
[15:26.720] 我过来可能先不灭车吗？
[15:29.690] 过来之后我灭了车才想我灭都一样。
[15:35.640] 但是现在感觉这样的话他出不来，我靠咱不知道啥规律你知道吗？他现在我自己的规律我还没整清楚，
[15:41.960] 你说跟这东西有关系，
[15:44.190] 你这儿在想以后来听一下是不是？他想如果说他想去不响，肯定是这想我都这么听懂。
[15:50.430] 肯定是叫响屋里边对我就说是不是跟这东西装上连线路上，
[15:55.080] 他那边显示插在这边，就一根线插在这边的，保险管理这东西没啥用，我从来没用过，为什么？
[16:01.630] 我头头从来没用过手机联盟年，我都这对手机说能看了，我觉得是当时你看这卡才多少个G的内存，又存不了多少他就满了，但是我觉得这个东西太太
[16:13.900] 应该有很高端的。
[16:15.800] 当时装的时候不应该装什么的，也就这样的，差不多都这样，市面上产品都这样。
[16:22.360] 你们家这个叫什么名？他那个叫号召
[16:25.100] 叫什么会是吧我觉得。
[16:26.700] 你不知道吗？
[16:29.200] 是从来不玩这事。
[16:32.360] 他那没有，我就一会直接那啥。
[16:34.960] 我早知道我拿东西了。
[16:37.200] 我不喜欢那种
[16:46.560] 半手工就。
[16:47.700] 您在这儿在里边这块。
[16:49.780] 你说你没事咱待会
[16:51.920] 反正我在这你该忙忙你的，有事就
[16:55.210] 有时候我出门直接走，现在停电了。
[17:00.480] 停车里边抽烟怎么出来了？
[17:03.480] 车间里不让抽烟。
[17:08.210] 还要等等
[17:10.420] 等等。
[17:21.090] 车间里不能抽烟，这边这属于车间吗？
[17:24.400] 本来也得把外边
[17:28.040] 我们接触
[17:50.480] 你就结婚20万钱，
[17:52.020] 我们家孩子都4岁了，你还4岁了，
[17:55.880] 咱俩差不多了，我八八点差不多，你比我大一岁，
[18:01.200] 你孩子4岁了？
[18:04.510] 挺好的。
[18:11.380] 你其实处于挺快的。
