[00:01.640] 杨女士您的行驶本和驾照您带着的吗？
[00:05.650] 行驶本我看看在车上是吧？我给您过去看车。
[00:12.160] 修。
[00:23.200] 要不您给我
[00:26.600] 车上有没有最终您收一下。
[00:29.190] 您这用。
[00:29.900] 用的都挺好的，没什么问题，对我今天你帮我检查一下，昨天因为我去。
[00:34.770] 临沧城里开了点山路，中间有一个特别泥泞的，第二我就听到他有个鼓包吗离然后我今天托底下就自杀，然后我就不敢开了，但是我后来不开又不行，我就硬蹭过去了，但我后来我爬到车底下检查一下，看好像是没啥问题，行，你给我看看底盘有没有行行，到时候拆迁时候给您看一下地方，你帮我写一下可以。
[00:57.710] 3万公里了29,600
[01:02.590] 车送物品到时候您收一下有没有？
[01:19.390] 要不您帮我拿一下，还有您的驾照或者身份证都行。
[01:32.020] 你们这一层之间对
[01:33.760] 有不同的处理吗？
[01:35.950] 就对方向盘对比什么的。
[01:40.680] 有一条毒的是吗？没有对。
[01:43.360] 您这是客户需求，他有一个158那是自费的，车内的性。
[01:50.820] 生熟。
[02:07.320] 对我刚才上来我知道，因为我给你打电话，一看街机不怎么
[02:13.210] 电话。
[03:11.390] 你伤轮胎得换了，
[03:15.380] 这儿压力阳历真是东西了。
[03:19.710] 不过这种在正面上也要换吗？没这记上，对，没在街上什么东西，这个位置就已经是帘子不了，这地方没有甘斯勒，还真是对。
[03:32.910] 咱们这混太贵不贵？
[03:34.980] 我给您查一下我不贵，因为他们说京东上便宜，
[03:39.480] 买的便宜还是其实差不了多少钱，4S店现在
[03:43.440] 配件也挺便宜，你再不好好看，我这边开尼D真的是太脏了，就不好意思。
[03:48.950] 没事这去
[03:51.170] 路况不一样，这是冒牌的。
[03:53.770] 一会给您查一下。
[03:56.720] 对真是，我就自己还真没看见。
[04:03.210] 25218
[04:06.130] 5P8，
[04:08.960] 还有花纹，我这不应该是我昨天弄的可能一直都有了是吧？
[04:13.230] 能昨天一天吗？不能。
[04:15.370] 这道看不出来是什么时候，肯定也是压了一个尖的石头，大哥开了对歌看有很多
[04:26.070] 这个伤还挺新的，这有可能是昨天的。
[04:30.450] 再看一下刹车还可以。
[04:33.000] 刹车是刹车，对刹车片没事。
[04:36.160] 因为那刹车片是哪个里边背板刹车片
[04:40.170] 怎么能看出来，可能看他后能看到后头都要这么好，这没问题。
[04:47.600] 一行没怎么太开。
[04:58.470] 好，这个钥匙您发现不了，师傅也能发现是吧？里边。
[05:01.970] 对，是未能到底下还有一段呢？
[05:07.200] 上车都没问题。
[05:20.480] 行，您到前台
[05:28.020] 咱们大概多少钱？
[05:30.070] 要查一下。
[05:32.330] 您这有点优惠啥，不能比京东差不多，你说差个200 100块钱，
[05:39.180] 你差不多了，人家肯定不在你这弄上。
[05:47.470] 我以前的东西
[05:48.880] 平时也很讲究的。
[05:50.810] 试图湖的猪杂吗？
[05:53.410] 吐骨的主打的就是便宜。
[05:55.380] 轮胎这怎么会你这东西还出手工费一样吗？
[05:59.460] 但是别管人舒服现在。
[06:02.070] 各种服务。
[06:04.840] 而且
[06:10.340] 您这车是18年2月份买的车？
[06:13.080] 对，13年2月20
[06:16.590] 08。
[06:19.970] 63
[06:24.350] 车2800。
[06:30.220] 咱们
[06:31.390] 您电话1861150
[06:35.110] 5252。
[06:42.010] 二
[06:47.550] 上次是有一个B保养，
[06:50.520] 通过
[06:52.990] 包括雨刷片和空调滤芯了，
[06:55.910] 这车有过一个保养套餐。
[07:00.370] 对这块A宝了吗？对这次做A
[07:03.850] 对A和B网哪个快？
[07:06.480] 快，A小宝好。
[07:12.010] 我的车还有一次免费保就没了是吧？
[07:14.780] 到一共是我看时间
[07:20.090] 有效期到2021年一次，这次还有一次，对，但是您下一次不能超4万公里，
[07:28.050] 时间不能超202011年的2月23号抄不了了，这以前估计成不了。
[07:36.150] 如果要是抄了他这个就作废了，这好像跟我说过，对，他这个就作废了，我先给您查一下。
[07:44.080] 人家店里也收车是吧？
[07:48.230] 你像我的车让你开个两三年，然后保养都挺好的，车况都很好，现在还能收40来万。
[07:57.030] 因为我们这车应该到不了，这程度也到了，你买的时候多少钱？
[08:01.980] 70不到76 60 66 67，反正不到70有2。
[08:07.230] 18年08年的应该
[08:10.910] 30多不应该超过40是吗？我还想
[08:15.870] 应该是。
[08:16.760] 应该先知道吗？
[08:18.240] 没事，到时您看。
[08:22.520] 是做过一次
[08:25.040] 非遗保护单位先签后有诈骗，
[08:28.350] 最后一次第八
[08:39.490] 这次做一个安保，有一个刹车油，这次给电话，
[08:43.110] 这是免费的，你就都给我换了，然后收费的话我自己看你告诉我有什么行。
[08:48.870] 轮胎得换，对轮胎的话，
[08:51.740] 我换完新来会不会和别的排差太多，我觉得他好像还行，两
[08:58.090] 两条前胎磨损得稍微厉害一点，两个后来还可以，尤其是右前也能看到他磨损的量还有一毫米多一点，
[09:05.840] 这要是建议换两条
[09:07.670] 煎饺。
[09:09.050] 共上两个。
[09:10.660] 看。
[09:12.160] 行。
[09:22.230] 这中间
[09:23.720] 不要了。
[09:28.470] 不是有的面有1000完善一直没事，当然没有，只要有了就给封了这院了。
[09:35.570] 对。
[09:37.790] 这次是A宝。
[09:39.760] 刚才绿圈用了一次，您下次再换一次，这次换一个砂石油料，
[09:45.070] 当时有换一次
[09:46.750] 雨刷片和
[09:53.040] 三
[09:54.350] 下次再跟我们say一下。
[10:02.350] 电话了。
[10:08.570] 还有您那车现在是3万公里了，29,600。
[10:13.130] 油路清洗我看您没有做过，那是建议做的，一会您跟您说一下，一会你得同意说对。
[10:22.880] 7:30到。
[10:24.220] 没事您坐一下，我给您打个单子，没事我就赞一下行。
[10:36.010] 这样
[10:37.930] 对
[10:43.480] 保养。
[11:35.420] 保修形式现在填不了。
[11:37.020] 有问题。
[12:59.550] 尤其要
[13:02.590] 继续聊。
[13:14.170] 刘女士，
[13:15.340] 您那车轮胎给您查了一下，
[13:17.800] 您跟您这形式是一样的，应该是1469。
[13:21.840] 1460，对1400 1469，现在对这个情况得在4S店的话，现在属于活动期间，
[13:31.140] 不收工时费还能打19。
[13:33.480] 1469 1400对2。
[13:36.440] 也推几百块钱。
[13:38.250] 没有工时费了，1300块钱，对。
[13:41.120] 1300多万。
[13:43.600] 打完一个9折。
[13:45.330] E1469再打一个91。
[13:47.410] 469对。
[13:48.810] 6×66.9。
[13:51.080] 1300多对。
[13:53.280] 1300左右。
[13:55.450] 你会300多块钱。
[13:57.810] 这是现在最低的价格，就是没有什么别的活动礼券什么能用的。
[14:03.480] 里圈。
[14:04.680] 对，有啥别的其他活动。
[14:07.050] 没有了，现在最高的，因为在4S店的成本价，
[14:10.830] 这个接近成本价的，我们应该是没什么利润。
[14:15.340] 这样不能送点什么东西。
[14:18.800] 价格这样。
[14:20.120] 了，不能送点什么东西了，没有。
[14:22.320] 我这个价格是最低的地下室。
[14:24.800] 对，原来是不打算，原来上个月是不打折，不说不打折不收工时费。
[14:30.690] 他这两个月是可以打一个9折，改9折不收工时费是吧？
[14:35.710] 行就再换，还差300块钱，
[14:39.160] 对不对？
[14:41.650] 一会让车间那边再查一下这配件。
[14:44.890] 这边
[14:45.830] 就是说
[15:40.570] 我就给您更换两个前轮的轮胎。
[15:45.870] 又换一个是吧？
[16:15.110] 其他的再给您进场做一个全车检查，有什么问题再跟您说。
[16:33.360] 更换左前轮胎。
[16:39.830] 大概是。
[16:41.460] 行，报一下您。
[16:55.560] 的。
[17:01.230] 远、
[17:05.490] 数据
[17:07.670] 数据
[17:10.550] 数据
[17:11.900] 了。
[17:13.200] 数据
[17:18.850] 数据、
[17:21.870] 数据、
[17:25.960] 数据
[17:28.280] 的
[17:31.770] 要代表工程，如果这样有的小张影响分析的话，可能感觉你可以先上医院。
[17:38.790] 你下午完了之后，多方有时候就想三点，今天这两次
[17:44.720] 后面
[17:46.000] 大概3.67718%保险正常怎么走？
[17:52.150] 可能那种。
[17:54.630] 你不也不行，
[17:57.080] 不像家一样，
[17:59.960] 不要这个人这个角度
[18:06.760] 看着
[18:08.770] 对大家。
[18:16.590] 前杠
[18:18.510] 在消化。
[18:19.810] 然后
[18:25.520] 或者
[18:26.760] 别人的话。
[18:29.490] 他们这向上就是刚刚出来。
[18:34.470] 你交的钱往年
[18:35.420] 讨论养自己。
[18:36.930] 没多少。
[18:38.160] 哪怕是别人要他过来，就是说。
[18:45.020] 还有什么
[18:46.160] 的？
[18:48.310] 系统现在
[18:50.160] 08。
[18:51.880] 还是。
[18:52.710] 在分配过程代码什么分配类型都分配不了。
[18:56.770] 只能建个单子，知道先干什么，
[19:00.360] 一会还得
[19:05.200] 号。
[19:26.040] 最后。
[19:27.450] 介绍。
[19:29.210] 您帮我签字。
[19:32.230] 对千里马。
[19:37.390] 过。
[19:42.760] 家。
[19:44.060] 你这边行。
[19:50.200] 这边就给您
[19:51.730] 您就休息一会，一会我再查一下库存。
[19:54.700] 等于9点。
[19:58.190] 行好勒行，我再给你打电话，您好。
[20:01.170] 你好。
[20:02.750] 行行好了，我那个是。
[20:05.350] AA200，我刹车一停一停可能老是折腾一天，老有一个顿挫的感觉。
[20:12.370] 您的车牌号是多少？
[20:16.010] 七。
[20:17.080] 3 W 7 W 8. 
[20:20.690] 这您等我会儿。
[20:25.050] 是他让您坐着的是吧？对行行，您稍等一会。
[20:36.590] 昨天见完单子看不到，
[20:38.370] 真烧了。
[20:40.000] 觉得自己
[20:42.850] 03我在网上也查了一下好。
[20:48.890] 就说这边有问题，一会给您看一下。
[20:53.420] 好的。
[20:55.040] 333。
[21:01.160] 这转变到。
[21:05.880] 谁知
[21:16.110] 的
[21:23.600] 过。
[21:25.610] 的
[21:28.450] 是什么卦？
[21:30.400] 踩刹车，
[21:32.240] 我在网上他就跟他这个感觉不一样的，也是刹车后。
[21:37.470] 长相一打，
[21:38.970] 说的基本上毕业了，还有顿挫的感觉。
[21:42.460] 顿挫的感觉，
[21:44.480] 就跟一下跟刹车泵业抱死是那种的，现在有这现象吗？现在如果要是跟您是车友。
[21:51.980] 也有是吧？一会跟您试一下，对，然后您跟我说一下。
[21:57.240] 也没什么故障灯是吧？没有。
[21:59.890] 应该没什么太高。
[22:02.310] 还挺别扭开展。
[22:05.520] 那家里头要是有小孩的什么都快，老觉着踩着喊你不稳。
[22:10.440] 是吧？
[22:14.560] 我真的了。
[22:15.670] 咱们
[22:17.180] 说了，
[22:19.340] 那边不做什么不够，我刚才也在看看观点看看，谢谢这边不能帮
[22:26.970] 听听着点。
