[00:00.000] 潘天寿。
[00:04.010] 商业餐饮业是哪个？
[00:06.440] 我要是买衣服
[00:10.760] 之后，
[00:13.960] 200你刚接完就忘。
[00:20.490] 要是潘琰
[00:21.820] 攀岩吗？
[00:23.530] 是不是？不好意思。
[00:26.990] 要攀岩，不好意思，几张名片销售有可能第一次来咱们店吗？
[00:32.500] 对，有约来这边我之前打过电话，应该他有预约，他们就是打客服电话是吗？
[00:40.430] 行，我接待您。
[00:42.250] 我先给您介绍一个奔驰的服务公约，这边
[00:45.240] 客户为尊以礼相待，诚信经营、合法得体，明码标价，关于透明布线阶段几乎是
[00:51.490] 咱们现在奔驰能做到，就后面这两句话绝不捆绑销售，强制消费型使用现金以及冲，
[00:56.780] 包括您买咱们这边车，不管您全款的或者分期业的贷款的，都没有金融服务费，
[01:03.170] 一样的会有电话400818188交通电话，
[01:06.560] 喝点没喝了咖啡才都有的，不是。
[01:08.780] 喝汤喝我这款7是77座版本，咱们一样车没放，现在有一台试驾车是7座。
[01:17.570] 所以大您看。
[01:18.900] 亚看看，因为现在
[01:21.000] 就想整齐做的。
[01:22.310] 家里人多，平时可能用应急还。
[01:25.470] 一多啥都行。
[01:26.350] 明白您现在开的是吧这边？
[01:28.390] 现在我是有一个电车，
[01:30.660] 电动的对I电动车开得怎么样行吗？电动车反正就省钱，
[01:35.720] 就续航里程短点，对。
[01:37.440] 多少公里？
[01:38.520] 我那是300的，他是18年买的什么内容为的那块。
[01:45.800] 买直接有号就赶紧去弄一下，现在是有指标了。
[01:50.490] 没有，我想上外地牌。
[01:52.540] 上麦地方。
[01:53.840] 能上吗？能上什么地方？
[01:56.180] 我老家长春领导有上海公路，您在当地问过这车吗？
[02:02.040] 价格什么多少没有。
[02:04.180] 没问题，对，直接是良心被
[02:06.940] 当地那边
[02:08.180] 能比这边便宜，不能。
[02:10.070] 因为
[02:10.930] 奔驰这边是卖北京跟卖外地优惠价格是不一样，
[02:16.780] 所以我就说您看您当地问过没什么价格。
[02:20.160] 咱们这块是卖外地的话也没有。
[02:22.470] 你要卖外地我得给您问，反正一般咱们这边卖外地是没有优惠。
[02:31.030] 所以我建议您在当地问责，然后再决定在哪买，这样对于您的来说相对合适一点。
[02:37.830] 现在好像是北京的话得多少？
[02:41.800] 北京你像似断差不多有个4445,000左右。
[02:51.870] 路车下来多少钱？
[02:53.440] 锁车差不多30 28万多了。
[02:57.760] 18万左右7吨左右。
[03:00.720] 我看现在网上有的优惠还有就是了吗？
[03:03.910] 没有。
[03:05.150] 那是综合优惠。
[03:06.780] 他就是有什么礼品或者什么这些，他所有东西都加上，比如说您有置换，有分期有装置什么之类的，所有东西都加上一共有那么多钱。
[03:16.270] 大概28，对28万左右。
[03:25.790] 对，你要说在当地比如说登记能优惠个3万多块钱，
[03:30.150] 这边能有4万多，你要是这边肯定合适，但您当地如果说优惠4万多了，这边再优惠4万多那就不合适了。
[03:38.050] 对吧？
[03:39.240] 主要您建议您在当地先问个看优惠多少钱。
[03:45.080] 行，人家看到那个词不能给他们，我给你看一下车在不在，你稍等。
[03:55.200] 你们班。
[03:56.760] 角D试驾车在吗？
[03:58.920] 这种当然后面了。
[04:25.040] 就你行。
[04:26.140] 亚你不觉得我那个车能卖多少钱呢？
[04:28.940] 10的。
[04:30.160] 1.4的。
[04:32.250] 红。
[04:32.830] 公里。
[04:34.640] 22。
[04:36.240] 正常的13万公里的前两天，
[04:42.240] 我从这拿走的就是他们
[04:45.880] 加上他们后台价钱，加上他们服务费
[04:49.990] 38,000。
[04:51.870] 你估计我那样。
[04:53.640] 那不是这样吧？
[04:55.040] 到我走或十万零几百那一个规则13万公里。
[04:59.040] 车子吗？老心里。
[05:01.210] 是吗？你就比着你也是红色，
[05:04.180] 银灰的。
[05:05.680] 首先你这个红。
[05:07.010] 已经在里面看了留下。
[05:09.770] 然后这儿。
[05:10.950] 22万公里，我国。
[05:12.040] I等卖了。
