[00:00.000] 好娇俏接待，刚才吴强要求换销售营销顾问，
[00:04.100] 他妈回头投诉了部分跟我没关系，这事儿不赖我。
[00:08.550] 谁知
[00:11.720] 书名我一会儿把电话给改了。
[00:15.570] 谁拍？
[00:21.470] 您就睡觉，你这就是说不要尝尝，刚接待完我们也不走流通。
[00:25.870] 那也不能说打电话，有时候你。
[00:29.580] 公司马南给别人了吗？白色都是这两天。
[00:33.590] 不是为你好李先生吗？谁知？
[00:36.910] 您好，我摆了一分钱什么分配我谁知。
[00:42.640] 好，
[00:45.240] 您好。
[00:47.300] 然后刚才我不是说接待的您了，您有什么想了解的，我可以重点一下，我再给你我再跟您聊聊，您说您不说。
[00:55.630] 还有吗？后面的想进去基本上来说我不买车辆这样，因为我之前跟你们同事聊过，
[01:01.730] 然后我还想去找其他人了，他就跟我不能不搭的问题，公司不是说发现销售近几年了。
[01:09.210] 那是这样。
[01:10.570] 因为如果说您觉得他服务还满意的话，现在还是让他等他去提车去了，对，他骑车去了我也跟他联系，他说。
[01:18.120] 他找找你们同事，他们安排不过来人。
[01:21.430] 然后让我到前台去找跟你们销售什么，两个人到时候给你打电话什么啥，对，之前接待您收购是哪个干什么。
[01:30.010] 姓刘。
[01:31.490] 刘帅叫肖，什么明我不知道，行，咱们找个电脑，你想聊什么，我大概介绍一下来听听。
[01:39.780] 欢迎。
[01:41.730] 来您请等一下，不是期货的没地儿了。
[01:45.320] 没有。
[01:46.580] 你有听过吗？
[01:50.200] 所以我也关门我也知道你们搞活动，但是我也同意
[01:54.360] 分析，昨天我后来我了解一下了解一下子优惠。
[01:58.540] 那哥们干脆
[01:59.900] 一问一问他不
[02:03.260] 我给您介绍一下，分价格是32 32%。
[02:06.860] 33我说你这价格比去年还高，他现在就是价格。
[02:10.480] 你说说白了咱买车咱今天也都了解过，对不对？什么价格心里有数了，张口就冒了。
[02:17.040] 然后我说
[02:18.220] 问什么
[02:19.300] 什么都不说。
[02:24.000] 没事我给你
[02:26.160] 就算你
[02:29.840] 三年半
[02:34.490] 咱们有客户吗？我有这么说过。
[02:43.110] 我能听到什么吗？
[02:44.590] 行。
[02:56.930] 转换一个推理的是这个吗？
[03:27.840] 这边啥人少点？
[03:30.100] 重点在
[03:31.770] 点
[03:37.160] 你到这边。
[03:38.730] 这找我。
[03:40.980] 没关系，反正不记得了，没事。
[03:44.560] 行没事，我给您。
[03:46.330] 你什么？
[03:48.370] 我先帮您
[03:49.980] 查一下有什么车，
[04:03.320] 叫什么颜色，白色白色的。
[04:06.420] 来。
[04:12.750] 但是白色跟着它颜色会有价差，差2000块钱，我知道没跟您说过，对。
[04:19.700] 而且他这个价格是这样的，可能他当时没跟人介绍清楚，
[04:23.990] 这个价格也是时效当天的，让您实际提车订车为准，对。
[04:30.140] 他不是我问他，我也说了，我刚才我的话为刚才说了，虽然我是现在车牌还没下来，
[04:37.470] 对吧？
[04:37.780] 但是我来问，首先我的首选是奔驰，我的备选是特斯拉，
[04:43.080] 第三款是宝马首选奔驰出现分歧就是你们家。
[04:48.980] 不好介绍点评，如果介绍这话都说明白了，你介绍的价格你都别我撕点了，对不对？我又不是什么托，我又不是过来。
[04:58.210] 为什么是这样？
[04:59.710] 我跟您说一下先生，有的时候我的老客户我跟您说，为了避免误会咱聊的不错，采访您来了价格有变动不合适。
[05:07.160] 您看我们7月3号昨天有个价格版本，7月1号
[05:11.870] 6月29号、25号、26号变动就会比较快。
[05:16.380] 对，所以说这个退换这个东西就提前跟您说一下，你当时价格为准，他会有他也跟我说了，我说行，你当时价格为准，但今天我来了，
[05:27.590] 我跑一趟我就弄个价格怎么了，
[05:30.840] 然后白色的现在是有现车，
[05:34.910] 然后跟您之前的活动可能不太一样，我给您介绍一下现在的
[05:41.360] 346,800的车型，现在的话
[05:45.220] 正常是优惠65,000，但是白色的会少于2000 63,000，
[05:51.270] 综合优惠的话等于是66,000，然后您买一个13,800的精品装饰礼包，再送您3000的商业险，
[05:58.580] 等于4万
[06:01.850] 46,000。
[06:03.980] 对，综合优惠46,000这车型。
[06:06.510] 然后我给您这个是你们现在搞的活动的话是然后现在有活动是什么？除了正常优惠之外，
[06:14.780] 还有一个是您购买平安保险，带不车险1498那是比较合适的，只要是咱出险修车，
[06:22.650] 他就能送您电视一台，
[06:24.440] 是不是？出险修车，出险修车能陪你2500块钱现金，
[06:29.310] 然后您现在投保这个的话就送您一个55寸的彩电，
[06:33.930] 小米电视，
[06:35.440] 有这么一项活动，
[06:37.400] 实际价格上并没有我给您优惠，车架也是有优惠的，但是您要说跟您之前比的价格我也不收多少钱，您那时候这个
[06:49.150] 跟现在肯定可能会有差异，但是确实是一直在变动的。
[06:54.520] 对，用给您算一下。
[06:58.210] 大概多少钱全下来，行，您帮我算一下，好。
[07:27.110] 指标是您自己的吗？
[07:29.250] 自己的，您还可以享受奔驰厂家的低息。
[07:34.650] 这之前给您介绍过吗？
[07:37.180] 这个没有。
[07:40.460] 他低息也是按照厂家政策，
[07:43.510] 你实际当时购车维护还是会有点变化。
[08:31.960] 确定
[08:34.490] 的。
[08:38.720] 的
[08:39.740] 学院，我们两个给我们客户，我明天
[08:50.790] 这样才行。
[09:02.640] 分期我已经算一下。
[09:05.160] 分期的话是几年？
[09:07.090] 分期的话两年三年都可以那个利息。
[09:10.900] 利息的话我给您看一下明天。
[09:34.420] 我这还真是这一季度
[09:36.590] C的利息是够低的，大家我跟您多说一下。
[09:40.640] 车辆公示价格346,800，然后售价优惠43,000，优惠完的话是20
[09:48.290] 8万
[09:50.030] 3800，
[09:51.960] 然后他现在有个活动是买13,800基本装饰礼包，送您3000的商业险，
[09:57.830] 等于综合优惠46,000，
[09:59.460] 然后购置税这多退少补，跟原来买车都一样，这个国家征收
[10:03.670] 全险的话差不多在12,000左右，这是我帮您估算的，具体险种回头您自己选就行了。
[10:11.150] 验车上牌2500精品装饰礼包包括什么？
[10:14.120] 威固的全车贴膜，
[10:16.670] 然后还有专用行车记录仪，立体脚垫、后备箱垫，现在活动还能再送2000块钱交车礼包，
[10:23.090] 包括一套沾的矫健，还有高尔夫双人载、燃油添加剂、灭火器、钥匙链这一套。
[10:30.460] 您合计下来一共的话337,000左右，但是送3000商业险实际下来的话差不多在
[10:36.800] 30
[10:38.280] 34,000左右，这是估算，因为保险回头您自己选，
[10:44.240] 但是分期的话，
[10:46.290] 还有一个超低息，
[10:47.880] 首付一半带一半，两年期的
[10:51.140] 带141,900，两年的总利息是2960，
[10:57.110] 利率的话是1.99，但是前提对为什么问您是不是自己指标，好多北京借指标的想做做不了。
[11:06.080] 对，所以说你要自己指标，你有这个条件，其实我和我妻子的都可以是吧？咱自己家或者是我俩的背都可以。
[11:14.760] 对，就好多有借朋友亲戚指标的，只要他能同意就行，但是好多那种租纸标的他想做不了，一般租纸标的不可能帮他笔贷款。
[11:24.130] 刚才您说那指标有问题是
[11:27.410] 是这样，我去年我就来过你们奔驰店，再说今年今天有个车牌说夏天时候给我们用，
[11:33.390] 然后现在婚姻政策反馈出来的话，加上手册给一牌后，汽车卡现在你还没法，天津的牌我们怎么用？
[11:41.990] 对你们排按怎么处理，然后我们等到8月份政策出来，
[11:46.450] 看我们家庭手册能不能往前排一排，因为我们也咬了好几年了，咱们俩情况差不多，对。
[11:54.350] 首选是奔驰对不对？那哥们上来就跟我说我这是哪个，
[12:01.550] 反正我也不错，反正非常不好的一次购不起，不好意思跟你们没什么关系。
[12:07.830] 因为我也确实来问你们车这个价格，因为如果我不买房的话，我不可能谁家大一行的没事跑这下工了，是不是？眉毛就跑对。
[12:18.030] 昨天我看那大哥，
[12:19.780] 就是说我们俩吃货命干你们事或明暗，
[12:22.660] 是这么回事是吧？对您可以拍一下没关系。
[12:28.260] 但这个还是我您说的，因为避免有的时候咱聊的不错，回到今天过来他价格
[12:34.300] 可能还会有变动，确实是可以比较快，行知道，到时候是以因为当时买车的时候可能还没再跟你们网上价格，我现在也不问你10点了，你告诉我一个
[12:44.670] 帮助完事，可是现在的车价格很透明，能给您肯定给你们做。
[12:52.040] 娇笑销售主管有什么情况的话，需要反正车方面的您随时演员。
[12:59.090] 行，下次我来画去找找，您是8成可以，咱电话联系行，反正到时候您做什么行业？
[13:06.250] 我刚去的我微信内心都
[13:10.720] 研究完善一点，没事，我什么意思？开卖出很多年了，其实请教朋友的，我觉得工作车方面的您找我，
[13:21.600] 别的地方可能还得麻烦，就
[13:23.640] 没那么多事儿，没有我啥也三三两两。
[13:28.680] 上个班
[13:30.040] 基本上也是在不需要一辆车，没车也
[13:34.400] 现在
[13:35.510] 别没发现疫情期间路上好走了，有车反而方便了，确实是同时出来的，外面基本上。
[13:42.670] 对。
[13:45.800] 行，别的还是您觉得没什么，我就问问价格就这么简单的。
[13:51.630] 不好意思耽误您时间了，因为这两天是这样，确实不好意思，可能是
[13:56.720] 小伙子心浮气躁，这个确实人也比较多，正儿八经的家里麻烦事了，我告诉你我之前来问过是吧？
[14:04.310] 第二次是他来不了，他让我自己去找销售已经很明显了，他就说你可以自己去找销售过来，因为他说他安排人过来，他说
[14:12.130] 都忙的也找不着人，让我自己就是少，他既然让我自己去找，肯定是我在去找个销售，可能就是我下次
[14:19.460] 下次再来的话，就是我自己找人，我或者是上一位，对，然后
[14:24.120] 我就什么话都再说明白，我就问你跟你聊一下价格，直接聊价格，就不跟你要配置什么，你没必要这么介绍配置了。
[14:32.590] 上来云里雾里做那的，有啥说啥就是什么，这车的东西，现在打开手机啪啪一看都太透明了，没有什么漏洞浪费不了，也浪费你的时间也浪费对的时间就
[14:46.130] 很简单的一点是客户也不要点多刘，说实话了我们也不太多留，您是很简单的事，
[14:52.910] 我告诉你我重新买一他也不信，
[14:56.490] 不会没事，后续有什么需要我这边的一性腺跟你握手，我弄咱电话联系我，
[15:04.790] 下次来我就直接找你，找不着给我打电话，咱们电话联系良好。
[15:10.400] 稍等手机。
[15:11.870] 行，您开车来的吗？
[15:16.000] 您前台扫一二维码，免交停车费。
[15:19.620] 慢走前。
[15:20.910] 谢了行了。
[15:25.010] 您从这边直接过来，前台那边也有人把您这就跑了。
[15:29.490] 回家回去感谢来电，再见。
