[00:06.320] 您好邱总了，您这车牌号多少？
[00:09.410] 万1690
[00:11.520] 169说是什么召回什么地方找回东西是吧？我看一下。
[00:17.110] OK什么换前传动轴，
[00:21.000] 从前边插足进去跟往后边走着一边走。
[00:30.430] 重点你要是有回来补充一下。
[00:32.520] 可以了。
[00:33.930] 的。
[00:37.070] 别的都没事要换。
[00:43.130] 的。
[00:53.930] 号
[00:59.850] 的
[01:08.130] 张雄一下是本人吗？对电话11197对身份证尾号是033X OK好了。
[01:18.620] 12. 
[01:21.160] 前段时间刚过来。
[01:23.360] 对刚才做保养I那会没开始了，赶上对你5月份对。
[01:29.590] 6月份开始。
[01:31.470] 我还没开始整改。
[01:35.020] 你的意思要是那是作伴一块，在那会开始一块能给您弄。
[01:39.280] 没开始。
[01:46.630] 预计应该明天能完，然后你要把您要谢限号了吗？这是五菱吗？
[01:53.160] 明天改成50涨睡，明天50明天限行，对你要懒得过来的话，方便我们也可以后天一早给你安排有
[02:02.600] 免费送车的一合作E代驾，好好对小南京来回跑了。
[02:07.080] 你需要您告诉我，我就给您约就行，到时候里边。
[02:11.590] 行。
[02:12.470] 待会我留一个您
[02:14.190] 送的地址给我上班到医院，
[02:17.840] 直接对家里收车就行了，保持通话畅通就可以了。
[02:24.180] 好了，约过来的。
[02:27.470] 行，稍等我一下，我把这马上收完了，行。
[02:32.020] 好勒。
[02:34.920] 咱登记个车就OK，然后我留一地址就行了。
[02:40.250] 是那个理由吗？稍等我打一个单子之后，我写那段要怕乱。
[02:45.800] 并。
[02:51.400] 咱去登的邮票里升就完事儿。
[02:54.800] 我家里地址你说也是在这等吗？我什么待会我问您，您告诉我就行。
[03:03.740] 然后谁知。
[03:05.490] 我写了一个固定的地方，
[03:09.040] 好多车有点乱了，我的达里没有我的家庭住址是吧？只有您录的身份证地址应该不一定是完全跟您现在住的一样的，你看好多人
[03:20.360] 那俩地方不一样。
[03:23.570] 因为之前有的人赶出去都这样都没有，或者单位都有，可能
[03:31.460] 对，然后要是有点
[03:36.490] 最终给您。
[03:39.550] 我一会把我家里钥匙，谢谢行，稍微有点划伤。
[03:46.190] 您收之前咱现在有一个
[03:49.930] 上面还没有开始有一个代步车的补偿险。
[03:54.660] 没跟您提过吧？
[03:56.470] 您买了那个之后，
[03:59.350] 浼
[04:01.360] 修一次车能返您2500元现金，一年有两回机会，
[04:08.110] 比如说兄弟划痕出险修了，然后您额外能获得2500元的现金
[04:13.540] 补偿。
[04:14.570] 啥意思？
[04:16.510] 其实我就是保险少交了。
[04:20.110] 保险多少，保险多交点，但这个也能补回来。
[04:23.560] 不能说时尚，但是你划痕保险修
[04:27.850] 走保险就不用再花钱了是吗？
[04:30.530] 走保险修就部分保险公司花钱，只是会影响一些您的保费，然后我们又补给您。
[04:37.700] 那就相当于
[04:39.630] 没影响多少，就是那几块两那块像两块一样，这还有点事。
[04:45.800] 待到不严重，没什么大的。
[04:51.490] 然后那边大点。
[04:53.270] 应该快对吧？
[04:55.370] 都小燕子。
[04:57.070] 觉得
[04:59.090] 这也叫小演员投票能捎带手炮不影响多少保费。
[05:04.920] 要出一次钱，您几年出过险吗？最近几年一年都没出去。
[05:09.700] 有几年两三年没出，还是三四年了？
[05:12.880] 三年了这个三年是吗？
[05:14.770] 到可以过去让他给您算一下，
[05:17.770] 看看怎么合算。
[05:19.320] 我给你找保险还得花钱是吧？保险是保险，这就额外的一个现金补偿。
[05:26.050] 我知道我交额外补偿，这是有点花钱。
[05:32.200] 1500管一年，
[05:34.080] 一年有两回，无论出您的钱还是对方撞您，对方的责任都可以获得，每一次亮相
[05:41.330] 等于一年合下来是5000
[05:44.690] 相当于挣3500。
[05:47.040] 三。
[05:47.820] 刚才说法就。
[05:49.060] 一。
[05:49.510] 就花生。
[05:50.630] 了。
[05:51.190] 主要就是花生、剐蹭、玻璃这种东西。
[05:54.580] 可以家庭保险的话我。
[05:57.190] 这个爬山已经有几年了，没过对吧？
[06:02.260] 把这就碰个机会，自己修完车还能不亏吗？
[06:06.450] 只要对保险保费影响不大的情况下，比如说它影响1000多块钱又能修了车，
[06:13.110] 钱又补回来，
[06:14.420] 对于您来说合算。
[06:16.170] 有点像你。
[06:18.310] 2000，然后保险上的时候交1000。
[06:20.370] 是吧？
[06:21.230] 对，相当于修一回的话挣1000，修两回的话挣3500。
[06:38.740] 率。
[06:50.790] 的。
[06:53.400] 上。
[06:54.860] 然后这边给您拿汽车站，到时候收车了，那就没用。
