[00:00.650] 7月11号纪委群客户评估接待员，
[00:04.880] 您好。
[00:14.150] 这边不好过了。
[00:16.720] 怎么称呼您？
[00:19.450] 电话137。
[00:21.880] 13716861686979979013716869，好勒。
[01:00.360] 还有照片。
[01:01.490] 好看。
[01:05.540] 数据
[01:31.530] 口径没有。
[01:59.770] 您车的形式。
[02:04.750] 维修保养都是在合作的。
[02:07.310] 不是。
[02:09.190] 去年
[02:10.880] 去年
[02:12.010] 10月份在海南做，
[02:17.470] 是09年到12年工程是过户。
[02:19.810] 对之前是我爸用，当时不是他买Q还没有指标。
[02:23.660] 好莱坞有指标了，然后就拨到我这来了。
[02:26.650] 09年那也都是北京牌照。
[02:28.870] 对，当时还损失了号还没保住，应该年份不够
[02:32.880] 了。
[02:33.900] 不过
[03:19.400] 跟
[03:20.610] 买个车也有关系是吧？
[03:22.120] 一个就是等于低价的话，价格最多保留三天的时间，没事这个我没找着，我不
[03:28.900] 如果说过了价格的话或者这个日期的话，价格就无效了，没事。
[03:35.070] 你先看看。
[03:38.490] 因为他
[03:41.660] 工资多少？
[03:43.600] 怎么知道我看啥车？
[03:45.600] 可能差差不多太多。
[03:49.040] 反正
[03:51.110] 肯定是20万以内。
[03:54.040] 20万以内。
[03:55.920] 4S店。
[04:31.160] 比二是高。
[04:33.010] 您的是吧？
[04:36.030] 20万就算了，咱就
[04:38.550] 简单看一看。
[04:40.330] 对您。
[04:41.850] 没事，您把车门锁好了。
[04:50.520] 行，咱就进屋我跟销售说一下好吧？
[04:56.240] 别的没什么了，没事。
[04:57.620] 没事，我登记一下就完事了。
[05:09.150] 您好，评估师陆王，这是我名片。
[05:12.930] 请您出山车的行驶本车钥匙，
[05:15.800] 车里没有贵重物品，
[05:21.150] 跟您介绍一下咱这边的评估流程，咱这边会有一个静态评估和动态评估，今天先会给您做一个静态评估，
[05:28.890] 时间大概20分钟左右，
[05:31.100] 到时候会给您一个报价，
[05:32.720] 把报价三个工作日有效。
[05:36.140] 如果说您家觉得价格合适过来交车的时候，咱这边会对您车进行一下试车。
[05:43.020] 您看我是车的时候有什么需要注意的吗？
[05:47.900] 有个问题跟您验证一下，您车维修保养都是在4S店做的，
[06:30.360] 基本型客户评估接待完毕。
