[00:01.070] 接车。
[00:08.030] 等你的时候看一下您车。
[00:10.650] 再一个呢
[00:16.310] 那不可能的。
[00:18.460] 嗯
[00:19.890] 嗯
[00:25.540] 都在哪边？呢
[00:27.020] 393。
[00:29.970] 村里边有贵重东西吗？噢您没贵重东西把钥匙给我我。那个
[00:34.500] 唉对，没错。
[00:37.600] 没事走。
[00:39.050] 753。
[00:50.910] 好的可以。
[00:52.120] 行可以了。
[00:53.000] 啊
[00:58.630] 您说您这杠是切的是吗？这还？
[01:01.600] 对，这原车不是这样的是吗？
[01:09.880] 我就要不然。
[01:10.540] 就是
[01:11.020] 我就让我们在现场跟您说。
[01:12.710] 嗯不用。
[01:17.320] 这杠倒是挺厉害的。这个
[01:22.230] 那怎么切吧我就不知道了。
[01:24.830] 这东西我应该应该能切了，我先给您报价，吧噢我也卖了，那个是这样的，他那个下边这个圆呢是切出来的。
[01:34.280] 对，他这样他要是切就是切的这个口摆在上面，所以就这样行行，要不切成这样你就别给他接了，他应该应该没问题，吧我先给您报价。
[01:44.270] 吧
[01:44.670] 先给您报价，报完价之后然后那个再跟您说再再那什么再再再说。
[01:50.390] 现在那报价那个看里边有点损坏了，看这杠用不用换，让咱们车间的师傅看一眼行吗？嗯
[01:57.220] 现在让他来是吗？呃不不，您就放着我正常的报价，到时候我会给您信了。
[02:02.990] 我到时候给您打电话。
[02:04.460] 啊你大概修都修了多长时间？
[02:06.130] 啊
[02:06.530] 呃就像那个差不多得4天。吧
[02:10.030] 4天左右。
[02:11.410] 呃如果说要是我看您这里边
[02:15.220] 这尾灯也是哈对。
[02:17.520] 我怕就一下车怼了。
[02:19.670] 对对，因为您的您看这里边应该撞击的力度应该不小不到里头钢铁什么变没变行，反正声音最大峰医生。
[02:27.340] 对，再再一个就是涉及到您这车的，我不知道里边现在损伤的程度，啊
[02:32.770] 就是说不知道里边配件，如果里边配件损坏多了，如果要是北京有件还好说，如果要是没件的话，
[02:38.990] 就是说时间有可能会更长一些，但是我给您打电话。
[02:42.490] 我下礼拜还想用车，呢下礼拜今天礼拜几就礼拜三。
[02:46.710] 礼拜三按常规来说应该是差不多，我礼拜一去车队，按常规来说应该是差不多，就是修完应该没问题，行。
[02:54.600] 您看吧有有什么事我我及时联系您好吧？我赶紧让他给您报价，对我赶紧让他给您报价。
[03:00.090] 嗯也不用跟我报也不跟我反正都保险公司出。
[03:02.940] 嘛
[03:04.270] 车来没来这修过是吗？在这儿修过没有吧？
[03:07.030] 没来过。这
[03:08.240] 别的地方去。
[03:18.220] 您车里边还有贵重东西吗？
[03:21.060] 没事没事，你去了吧没关系的。
[03:23.480] 没过去这种东西，您去那个前台那等会吧外边挺热的，待会那个什么弄弄完我找你去。
[03:29.940] 嗯
[03:34.110] 多久。啊
[03:34.990] 呃五六分钟。
[03:36.780] 吧
[03:39.490] 后边那个
[03:41.270] 嗯
[03:46.070] 可以不可以？
[03:47.450] 嗯我也不愿意再跟他讲，
[03:51.400] 放在下面的酒是老车。
[03:53.640] 不是，它是三者。
[03:55.370] 这老婆
[03:57.120] 老师不好推，他不是不能推，主要是女的，其实我感觉成功率高一点，就录音。
[04:02.590] 哈哈哈哈哈哈哈
[04:11.760] 我操
[04:16.110] 能摔坏吗？
[04:21.520] 162488。
[06:13.630] 这样啊
[06:16.350] 啊
[06:17.360] 啊
[06:22.840] 嗯行没问题可以。
[06:25.620] 然后
[06:29.930] 行好了好了。
[06:42.720] 没问题好。
[06:44.150] 嗯嗯嗯
[09:36.430] 唉
[09:39.620] 东莞后北山大学现在好了，
[09:42.020] 我跟你说事，我想。
[09:52.950] 这东西不用拿就拿，吧噢那东西不用拿，您就把贵重的东西拿走就行。
[10:04.450] 这是要换妈说了。
[10:06.240] 没有，咱那开单子让他进里边去给您报价去。
[10:09.750] 嗯
[10:16.920] 我还记得了啊嗯行。
