[00:00.000] 你那个弄完了一样。
[00:01.520] 说
[00:04.560] 杨勇都签字了，不要什么
[00:08.380] 说。
[00:13.470] 对就这两。
[00:14.850] 一个是829900，一个54060。
[00:18.730] 对。
[00:19.940] 还有一个咱们还声明，
[00:21.900] 他说先给主机升级什么685。
[00:24.210] 5032. 
[00:28.510] 他们反正技师说是
[00:30.550] 先生主义再生。
[00:31.890] 行
[00:36.910] 谁知
[00:41.010] 行，
[01:09.090] 手。
[01:10.970] 1
[01:13.800] 场
[01:14.870] 坏、
[01:16.080] 坏
[01:20.040] 数据
[01:23.590] 场。
[01:24.910] 数据、
[01:27.000] 数据
[01:29.720] 的
[01:33.330] 号
[01:38.930] 远。
[01:43.370] 地方
[01:55.080] 的
[02:00.670] 我先让客户先把客车给客户交了。
[02:07.900] 没有，系统里面没有。
[02:10.660] 没有对。
[02:11.590] 一开始不是。
[02:12.850] 谁知。
[02:17.050] 不我知道你用弄完之后你得到财务去给他冲到AC P里边，要不然这系统里面是用不了的。
[02:23.180] 是因为你。
[02:25.580] 不是你应该得到财务通。
[02:27.430] 因为现在。
[02:31.910] 我知道现在上线不是上新的卡片系统，
[02:35.860] 但是他最后用的时候他也得在AP里边用。
[02:38.270] 不是。
[02:40.090] 对吧？
[02:41.070] 186。
[02:44.000] 三。
[02:45.350] 没有这系统里边还是没有ACT。
[02:51.690] 对，然后我先让客户走再说。
[02:53.360] 对吧？
[02:55.180]  OK好好。
[03:21.050] 李先生你好，百得利保养好了可以过来取车了。
[03:27.030] 没事。
[03:32.380] 花。
[03:35.310] 数据、
[03:41.640] 坏。
[03:47.230] 数据
[03:55.090] 下
[03:56.080] 远
[03:57.720] 的。
[04:01.090] 一。
[04:02.270] 在车载车间吗？
[04:04.510] 吗。
[04:05.270] 让应该是为A了，把卡关了，就是京H10318。
[04:13.920] 了。
[04:15.880] 又那会说是一个B保养零点几个0.9个工式的，
[04:21.890] 为
[04:25.330] 你打单子
[04:29.660] 的。
[04:31.090] H10318
[04:36.880] 给
[04:39.820] 五。
[04:41.720] 可以考虑态度都差，
[04:53.250] 你微信号多少号？
[05:01.150] 一起选。
[05:02.700] 但是我知道手机能不能查到。
[05:09.850] 等一下。
[05:13.170] 人家马路
[05:18.790] 数据
[05:22.050] 也
[05:24.880] 我给您打一张单子出来就行了，然后您像咱这车像在保养的时候还是一样，一年或1万公里之后，
[05:31.500] 到期有提醒按照提醒保养就行了。
[05:35.670] 回去了一句话，
[05:44.360] 三。
[05:49.730] 要
[06:06.830] 家里看看
[06:09.640] 场。
[06:16.210] 场。
[06:17.200] 远场。
[06:24.190] 花、
[06:25.790] 坏数据、
[06:31.390] 数据
[06:38.280] 花。
[06:39.430] 数据。
[06:40.640] 月。
[06:50.240] 的
[06:51.890] 做完之后放在APP。
[06:56.330] 保养我不知道我这俩。
[06:59.310] 肉我操三天了还没抽，你丫干嘛呢？
[07:05.670] 还有。
[07:06.840] 我这给你点
[07:08.850] 这是。
[07:11.780] 了
[07:16.830] 销售的看到给你做个D保养的单子，你留一份就行了，然后我给你把车开过来。
[07:22.410] 回来。
[07:23.980] 我就直接开门搞完了。
[07:26.280] 该说的话，
[07:31.440] 的
[07:37.350] 远。
[07:42.470] 数据
[07:45.920] 的
[07:47.660] 的
[07:50.330] 的
[07:54.390] 数据
[07:57.240] 的
[08:03.510] 场。
[08:12.010] 了。
[08:15.570] 坏数据。
[08:19.000] 数据
[08:20.130] 的
[08:22.760] 剧场。
[08:26.800] 场、
[08:36.950] 场
[08:39.250] 场
[08:40.250] 数据
[08:42.130] 场
[08:43.190] 句。
[08:45.640] 句
[08:49.170] 打
[08:53.050] 的。
[08:54.570] 所以
[08:56.290] 三
[09:00.230] 号。
[09:02.730] 了
[09:21.050] 应该叫车，一会B形，
[09:24.840] 然后你们的
[09:31.410] 谁知
[09:45.770] 数据。
[09:57.200] 情况
[09:59.480] 9125752792527什么记录表？
[10:07.390] 给丢失
[10:09.120] 保险
[10:10.000] 91227
[10:26.670] 号。
[10:30.200] 操作。
[10:40.640] 场、
[10:43.570] 你好
[10:50.870] 场
[10:54.320] 花。
[10:59.250] 怎么。
[10:59.980] 办什么业务？
[11:01.710] 保险、
[11:02.800] 出版前检查是吗？
[11:11.620] 第六
[11:34.760] 数据、
[11:44.570] 点。
[11:47.180] 车上掉
[11:55.880] 车
[11:58.110] 数据
[12:00.490] 五
[12:03.400] 场
[12:04.560] 的。
[12:15.130] 坏
[12:16.840] 数据
[12:18.690] 的
[12:23.680] 的
[12:24.930] 场
[12:26.160] 的。
[12:32.480] 的。
[12:34.030] 号。
[12:36.990] 的。
[12:40.080] 的
[12:42.150] 数据。
[12:49.470] 场
[12:50.850] 的
[12:52.510] 号码。
